交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CEF,201501,50,50.2,49.5,50.2,-0.5,-0.99%,395,50.2,1026,50,50.2,51,47.6,,
2015/1/5,CEF,201502,50,50.1,49.7,50.1,-0.6,-1.18%,76,50.1,454,50,50.3,51,47.75,,
2015/1/5,CEF,201503,-,-,-,-,-,-,-,50.0,207,49.85,50.2,50.7,40.95,,
2015/1/5,CEF,201506,-,-,-,-,-,-,-,49.9,1830,49.6,50.1,50.2,46,,
2015/1/5,CEF,201509,-,-,-,-,-,-,-,50.4,21,-,50.2,48.85,48.2,,
2015/1/6,CEF,201501,49.3,49.3,48.3,48.5,-1.7,-3.39%,321,48.5,982,48.4,48.7,51,47.6,,
2015/1/6,CEF,201502,49.2,49.2,48.2,48.55,-1.55,-3.09%,96,48.55,405,48.35,48.75,51,47.75,,
2015/1/6,CEF,201503,48.45,48.45,48.45,48.45,-1.55,-3.10%,2,48.45,205,48.15,48.7,50.7,40.95,,
2015/1/6,CEF,201506,48.8,48.8,48.45,48.45,-1.45,-2.91%,10,48.45,1820,48,48.65,50.2,46,,
2015/1/6,CEF,201509,-,-,-,-,-,-,-,48.7,21,-,48.7,48.85,48.2,,
2015/1/7,CEF,201501,48.5,49.3,48.5,48.95,0.45,0.93%,159,48.95,1032,48.9,49,51,47.6,,
2015/1/7,CEF,201502,49.35,49.35,49.05,49.1,0.55,1.13%,135,49.1,440,48.85,49.05,51,47.75,,
2015/1/7,CEF,201503,-,-,-,-,-,-,-,48.9,205,48.7,49,50.7,40.95,,
2015/1/7,CEF,201506,48.85,48.85,48.85,48.85,0.4,0.83%,1,48.85,1819,48.5,49,50.2,46,,
2015/1/7,CEF,201509,-,-,-,-,-,-,-,49.15,21,-,49,48.85,48.2,,
2015/1/8,CEF,201501,49.6,49.9,49.45,49.7,0.75,1.53%,222,49.7,1002,49.7,49.8,51,47.6,,
2015/1/8,CEF,201502,49.55,49.9,49.55,49.75,0.65,1.32%,44,49.75,457,49.65,49.85,51,47.75,,
2015/1/8,CEF,201503,-,-,-,-,-,-,-,49.65,205,49.5,49.8,50.7,40.95,,
2015/1/8,CEF,201506,-,-,-,-,-,-,-,49.6,1819,49.3,49.8,50.2,46,,
2015/1/8,CEF,201509,-,-,-,-,-,-,-,49.9,21,-,50.3,48.85,48.2,,
2015/1/9,CEF,201501,50.3,50.3,49.65,49.75,0.05,0.10%,467,49.75,990,49.7,49.9,51,47.6,,
2015/1/9,CEF,201502,50.2,50.2,49.65,49.85,0.1,0.20%,135,49.85,475,49.65,49.95,51,47.75,,
2015/1/9,CEF,201503,50,50,50,50,0.35,0.70%,1,50.0,205,49.45,49.9,50.7,40.95,,
2015/1/9,CEF,201506,50,50,50,50,0.4,0.81%,1,50.0,1818,49.3,49.9,50.2,46,,
2015/1/9,CEF,201509,-,-,-,-,-,-,-,49.95,21,-,50.4,48.85,48.2,,
2015/1/12,CEF,201501,49.15,49.5,48.95,49.2,-0.55,-1.11%,365,49.2,928,49.2,49.35,51,47.6,,
2015/1/12,CEF,201502,49.2,49.5,49,49.3,-0.55,-1.10%,98,49.3,465,49.15,49.45,51,47.75,,
2015/1/12,CEF,201503,-,-,-,-,-,-,-,49.45,205,48.85,49.35,50.7,40.95,,
2015/1/12,CEF,201506,-,-,-,-,-,-,-,49.45,1818,48.8,49.35,50.2,46,,
2015/1/12,CEF,201509,-,-,-,-,-,-,-,49.4,21,-,49.85,48.85,48.2,,
2015/1/13,CEF,201501,49.4,50.5,49.4,50.2,1,2.03%,418,50.2,932,50.1,50.4,51,47.6,,
2015/1/13,CEF,201502,49.7,50.4,49.65,50.1,0.8,1.62%,201,50.1,494,50.1,50.4,51,47.75,,
2015/1/13,CEF,201503,-,-,-,-,-,-,-,50.2,205,49.95,50.4,50.7,40.95,,
2015/1/13,CEF,201506,-,-,-,-,-,-,-,50.1,1818,49.7,50.4,50.2,46,,
2015/1/13,CEF,201509,-,-,-,-,-,-,-,50.4,21,-,50.9,48.85,48.2,,
2015/1/14,CEF,201501,50.5,50.6,49.5,49.8,-0.4,-0.80%,344,49.8,760,49.75,49.8,51,47.6,,
2015/1/14,CEF,201502,50.6,50.6,49.6,49.8,-0.3,-0.60%,139,49.8,429,49.75,49.85,51,47.75,,
2015/1/14,CEF,201503,49.95,49.95,49.65,49.65,-0.55,-1.10%,2,49.65,204,49.6,49.85,50.7,40.95,,
2015/1/14,CEF,201506,49.95,49.95,49.55,49.85,-0.25,-0.50%,6,49.85,1812,49.35,49.85,50.2,46,,
2015/1/14,CEF,201509,-,-,-,-,-,-,-,50.0,21,-,50.3,48.85,48.2,,
2015/1/15,CEF,201501,49.9,49.95,49.3,49.55,-0.25,-0.50%,299,49.55,713,49.5,49.55,51,47.6,,
2015/1/15,CEF,201502,49.9,49.95,49.35,49.5,-0.3,-0.60%,171,49.5,455,49.45,49.5,51,47.75,,
2015/1/15,CEF,201503,-,-,-,-,-,-,-,49.4,204,49.3,49.55,50.7,40.95,,
2015/1/15,CEF,201506,49.8,49.8,49.35,49.6,-0.25,-0.50%,4,49.6,1808,49.1,49.5,50.2,46,,
2015/1/15,CEF,201509,-,-,-,-,-,-,-,49.75,21,-,50,48.85,48.2,,
2015/1/16,CEF,201501,49.35,49.5,48.65,49.15,-0.4,-0.81%,371,49.15,630,48.95,49.25,51,47.6,,
2015/1/16,CEF,201502,49.35,49.35,48.7,49.15,-0.35,-0.71%,191,49.15,403,49,49.3,51,47.75,,
2015/1/16,CEF,201503,49.35,49.35,49.35,49.35,-0.05,-0.10%,1,49.35,203,48.85,49.3,50.7,40.95,,
