交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CFF,201501,70.5,71.6,70.1,71.4,-0.1,-0.14%,25,71.4,81,71.3,71.7,72.3,65.1,,
2015/1/5,CFF,201502,71,71.3,70,71.3,-0.2,-0.28%,23,71.3,44,71.3,71.7,72.4,65.5,,
2015/1/5,CFF,201503,-,-,-,-,-,-,-,71.3,0,-,-,-,-,,
2015/1/5,CFF,201506,-,-,-,-,-,-,-,71.8,0,-,-,-,-,,
2015/1/5,CFF,201509,-,-,-,-,-,-,-,72.0,0,-,-,71.2,68.5,,
2015/1/6,CFF,201501,69.5,70.6,69.5,69.5,-1.9,-2.66%,76,69.2,74,68.9,69.5,72.3,65.1,,
2015/1/6,CFF,201502,71,71,69.5,69.6,-1.7,-2.38%,53,69.2,49,69,69.4,72.4,65.5,,
2015/1/6,CFF,201503,-,-,-,-,-,-,-,69.1,0,-,-,-,-,,
2015/1/6,CFF,201506,-,-,-,-,-,-,-,69.6,0,-,-,-,-,,
2015/1/6,CFF,201509,-,-,-,-,-,-,-,69.8,0,-,-,71.2,68.5,,
2015/1/7,CFF,201501,68.5,69.5,68.4,68.7,-0.5,-0.72%,21,68.7,78,68.2,68.6,72.3,65.1,,
2015/1/7,CFF,201502,69,69.3,68.4,68.4,-0.8,-1.16%,25,68.4,51,68.2,68.6,72.4,65.5,,
2015/1/7,CFF,201503,-,-,-,-,-,-,-,68.6,0,-,-,-,-,,
2015/1/7,CFF,201506,-,-,-,-,-,-,-,69.1,0,-,-,-,-,,
2015/1/7,CFF,201509,-,-,-,-,-,-,-,69.3,0,-,-,71.2,68.5,,
2015/1/8,CFF,201501,69,73.1,69,72.4,3.7,5.39%,76,72.4,107,72.1,72.4,73.1,65.1,,
2015/1/8,CFF,201502,70.6,72.8,70.3,72.1,3.7,5.41%,33,72.1,66,72.1,72.3,72.8,65.5,,
2015/1/8,CFF,201503,-,-,-,-,-,-,-,72.3,0,-,-,-,-,,
2015/1/8,CFF,201506,-,-,-,-,-,-,-,72.8,0,-,-,-,-,,
2015/1/8,CFF,201509,-,-,-,-,-,-,-,73.0,0,-,-,71.2,68.5,,
2015/1/9,CFF,201501,72.7,73,72,72,-0.4,-0.55%,78,72.0,128,72,72.1,73.1,65.1,,
2015/1/9,CFF,201502,72.2,72.7,71.9,71.9,-0.2,-0.28%,25,71.9,80,71.8,72.1,72.8,65.5,,
2015/1/9,CFF,201503,-,-,-,-,-,-,-,71.9,0,-,-,-,-,,
2015/1/9,CFF,201506,-,-,-,-,-,-,-,72.4,0,-,-,-,-,,
2015/1/9,CFF,201509,-,-,-,-,-,-,-,72.6,0,-,-,71.2,68.5,,
2015/1/12,CFF,201501,72,73.9,72,73.8,1.8,2.50%,92,73.8,144,73.8,74,73.9,65.1,,
2015/1/12,CFF,201502,72.1,73.8,72,73.7,1.8,2.50%,42,73.7,105,73.6,73.9,73.8,65.5,,
2015/1/12,CFF,201503,-,-,-,-,-,-,-,73.7,0,-,-,-,-,,
