交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/10/11,CH1,202210  ,14.95,16.55,14.95,16.45,0.9,5.79%,2276.0,16.4,31662,16.4,16.45,17.95,14.3,,一般,,
2022/10/11,CH1,202211  ,15.05,16.4,15.05,16.4,0.9,5.81%,145.0,16.3,1315,16.2,16.4,16.4,14.3,,一般,,
2022/10/11,CH1,202212  ,16.25,16.25,16.25,16.25,0.75,4.84%,35.0,16.35,262,16.15,16.4,20.95,13,,一般,,
2022/10/11,CH1,202303  ,16,16,16,16,0.6,3.90%,3.0,16.15,147,15.95,-,18.4,13.1,,一般,,
2022/10/11,CH1,202306  ,-,-,-,-,-,-,0.0,16,2,15.8,-,15.85,13.1,,一般,,
2022/10/12,CH1,202210  ,16.3,16.5,15.35,16.25,-0.15,-0.91%,1590.0,16.3,30887,16.25,16.3,17.95,14.3,,一般,,
2022/10/12,CH1,202211  ,16,16.1,15.5,16.1,-0.2,-1.23%,130.0,16.15,1365,16.1,16.2,16.4,14.3,,一般,,
2022/10/12,CH1,202212  ,15.55,16,15.55,16,-0.35,-2.14%,34.0,16.1,259,15.9,16.25,20.95,13,,一般,,
2022/10/12,CH1,202303  ,-,-,-,-,-,-,0.0,16.05,147,15.7,-,18.4,13.1,,一般,,
2022/10/12,CH1,202306  ,-,-,-,-,-,-,0.0,15.9,2,15.55,-,15.85,13.1,,一般,,
2022/10/13,CH1,202210  ,16.25,17.1,16.25,16.75,0.45,2.76%,976.0,16.8,30660,16.75,16.8,17.95,14.3,,一般,,
2022/10/13,CH1,202211  ,16.4,16.95,16.4,16.6,0.45,2.79%,311.0,16.65,1534,16.55,16.65,16.95,14.3,,一般,,
2022/10/13,CH1,202212  ,16.85,16.85,16.35,16.5,0.4,2.48%,12.0,16.5,249,16.45,16.65,20.95,13,,一般,,
