交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CHF,201501,16.1,17.3,16,17.3,1.1,6.79%,3954,17.3,4656,17.3,-,17.3,13.85,,
2015/1/5,CHF,201502,16.25,17.3,16.1,17.3,1.1,6.79%,1739,17.3,1948,17.3,-,17.3,14.35,,
2015/1/5,CHF,201503,16.7,17.3,16.7,17.3,1.1,6.79%,7,17.3,80,17.2,-,17.3,11.65,,
2015/1/5,CHF,201506,-,-,-,-,-,-,-,17.35,9254,-,-,14.85,11.85,,
2015/1/5,CHF,201509,-,-,-,-,-,-,-,17.35,4,-,-,16.7,11.85,,
2015/1/6,CHF,201501,17.3,17.55,17.05,17.25,-0.05,-0.29%,5605,17.25,4577,17.2,17.25,17.55,13.85,,
2015/1/6,CHF,201502,17.35,17.55,17.05,17.2,-0.1,-0.58%,2225,17.2,2072,17.2,17.25,17.55,14.35,,
2015/1/6,CHF,201503,-,-,-,-,-,-,-,17.25,80,17.1,17.3,17.3,11.65,,
2015/1/6,CHF,201506,-,-,-,-,-,-,-,17.3,9254,-,17.3,14.85,11.85,,
2015/1/6,CHF,201509,-,-,-,-,-,-,-,17.3,4,-,17.25,16.7,11.85,,
2015/1/7,CHF,201501,17.3,18.3,16.85,17.75,0.5,2.90%,7283,17.75,4968,17.7,17.75,18.3,13.85,,
2015/1/7,CHF,201502,17.15,18.35,16.9,17.75,0.55,3.20%,3186,17.75,2441,17.7,17.75,18.35,14.35,,
2015/1/7,CHF,201503,16.95,16.95,16.95,16.95,-0.3,-1.74%,4,17.7,80,17.6,17.8,17.3,11.65,,
2015/1/7,CHF,201506,16.95,16.95,16.95,16.95,-0.35,-2.02%,4,17.8,9250,-,17.8,16.95,11.85,,
2015/1/7,CHF,201509,-,-,-,-,-,-,-,17.8,4,-,17.75,16.7,11.85,,
2015/1/8,CHF,201501,18.1,18.95,18.05,18.85,1.1,6.20%,5822,18.75,4365,18.75,18.85,18.95,13.85,,
2015/1/8,CHF,201502,18.2,18.9,18.2,18.8,1.05,5.92%,2104,18.8,2319,18.75,18.85,18.9,14.35,,
2015/1/8,CHF,201503,18.25,18.8,18.25,18.8,1.1,6.21%,18,18.8,80,18.65,18.8,18.8,11.65,,
2015/1/8,CHF,201506,-,-,-,-,-,-,-,18.8,9250,18.25,18.85,16.95,11.85,,
2015/1/8,CHF,201509,-,-,-,-,-,-,-,18.8,4,-,18.85,16.7,11.85,,
2015/1/9,CHF,201501,19,19.05,18.5,18.5,-0.25,-1.33%,4098,18.5,4347,18.45,18.5,19.05,13.85,,
2015/1/9,CHF,201502,19.05,19.1,18.5,18.5,-0.3,-1.60%,1563,18.5,2491,18.45,18.5,19.1,14.35,,
2015/1/9,CHF,201503,18.8,18.8,18.5,18.5,-0.3,-1.60%,6,18.5,80,18.35,18.55,18.8,11.65,,
2015/1/9,CHF,201506,18.8,-,-,18.8,0,0.00%,9250,18.55,12,17.95,18.55,16.95,11.85,,
2015/1/9,CHF,201509,-,-,-,-,-,-,-,18.55,4,-,19,16.7,11.85,,
2015/1/12,CHF,201501,18.5,19.2,18.25,18.4,-0.1,-0.54%,4359,18.35,3899,18.3,18.4,19.2,13.85,,
2015/1/12,CHF,201502,18.65,19.2,18.3,18.35,-0.15,-0.81%,1969,18.35,2590,18.3,18.4,19.2,14.35,,
2015/1/12,CHF,201503,18.85,18.9,18.3,18.35,-0.15,-0.81%,41,18.35,80,18.2,18.45,18.9,11.65,,
2015/1/12,CHF,201506,-,-,-,-,-,-,-,18.4,12,17.8,18.45,16.95,11.85,,
2015/1/12,CHF,201509,-,-,-,-,-,-,-,18.4,4,-,18.55,16.7,11.85,,
2015/1/13,CHF,201501,18.4,18.6,18.15,18.25,-0.1,-0.54%,2471,18.25,3568,18.25,18.3,19.2,13.85,,
2015/1/13,CHF,201502,18.35,18.6,18.15,18.25,-0.1,-0.54%,1303,18.25,2528,18.2,18.25,19.2,14.35,,
2015/1/13,CHF,201503,18.45,18.5,18.15,18.5,0.15,0.82%,22,18.2,86,18.1,18.3,18.9,11.65,,
2015/1/13,CHF,201506,-,-,-,-,-,-,-,18.3,12,17.7,18.35,16.95,11.85,,
2015/1/13,CHF,201509,-,-,-,-,-,-,-,18.3,4,-,18.65,16.7,11.85,,
2015/1/14,CHF,201501,18.25,18.7,18.25,18.3,0.05,0.27%,1921,18.3,3220,18.25,18.3,19.2,13.85,,
2015/1/14,CHF,201502,18.25,18.7,18.25,18.25,0,0.00%,1325,18.25,2832,18.2,18.3,19.2,14.35,,
2015/1/14,CHF,201503,-,-,-,-,-,-,-,18.25,86,18.1,18.35,18.9,11.65,,
2015/1/14,CHF,201506,-,-,-,-,-,-,-,18.35,12,17.7,18.35,16.95,11.85,,
2015/1/14,CHF,201509,-,-,-,-,-,-,-,18.35,4,-,18.6,16.7,11.85,,
2015/1/15,CHF,201501,18.5,18.6,18.1,18.2,-0.1,-0.55%,2044,18.2,2933,18.15,18.2,19.2,13.85,,
2015/1/15,CHF,201502,18.5,18.55,18.1,18.2,-0.05,-0.27%,1262,18.2,3019,18.15,18.2,19.2,14.35,,
2015/1/15,CHF,201503,-,-,-,-,-,-,-,18.15,86,18.05,18.25,18.9,11.65,,
2015/1/15,CHF,201506,-,-,-,-,-,-,-,18.25,12,17.65,18.25,16.95,11.85,,
2015/1/15,CHF,201509,-,-,-,-,-,-,-,18.25,4,-,18.7,16.7,11.85,,
2015/1/16,CHF,201501,18.05,18.25,17.55,17.8,-0.4,-2.20%,2570,17.8,2553,17.75,17.85,19.2,13.85,,
2015/1/16,CHF,201502,18.2,18.25,17.55,17.75,-0.45,-2.47%,2906,17.75,2869,17.75,17.8,19.2,14.35,,
2015/1/16,CHF,201503,17.65,17.75,17.65,17.75,-0.4,-2.20%,5,17.75,89,17.65,17.85,18.9,11.65,,
2015/1/16,CHF,201506,-,-,-,-,-,-,-,17.85,12,17.25,17.95,16.95,11.85,,
2015/1/16,CHF,201509,-,-,-,-,-,-,-,17.85,4,-,18.3,16.7,11.85,,
2015/1/19,CHF,201501,17.8,18.75,17.8,18.6,0.8,4.49%,1814,18.6,2213,18.55,18.65,19.2,13.85,,
2015/1/19,CHF,201502,18,18.75,18,18.6,0.85,4.79%,2136,18.6,3129,18.55,18.6,19.2,14.35,,
2015/1/19,CHF,201503,18.45,18.5,18.45,18.5,0.75,4.23%,3,18.5,92,18.45,18.5,18.9,11.65,,
2015/1/19,CHF,201506,-,-,-,-,-,-,-,18.65,12,18.05,18.55,16.95,11.85,,
