交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CJF,201501,17.4,17.55,17.4,17.55,-0.25,-1.40%,52,17.55,69,17.55,17.65,17.8,17,,
2015/1/5,CJF,201502,17.5,17.55,17.5,17.5,-0.3,-1.69%,20,17.5,23,17.55,17.65,17.85,17.05,,
2015/1/5,CJF,201503,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/5,CJF,201506,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/5,CJF,201509,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/6,CJF,201501,17.35,17.4,17.3,17.4,-0.15,-0.85%,46,17.4,39,17.1,17.35,17.8,17,,
2015/1/6,CJF,201502,17.3,17.4,17.3,17.4,-0.1,-0.57%,20,17.4,23,17.1,17.3,17.85,17.05,,
2015/1/6,CJF,201503,-,-,-,-,-,-,-,17.25,0,-,-,-,-,,
2015/1/6,CJF,201506,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/6,CJF,201509,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/7,CJF,201501,17.2,17.2,17.1,17.2,-0.2,-1.15%,25,17.2,39,17.05,17.3,17.8,17,,
2015/1/7,CJF,201502,17.15,17.2,17.15,17.2,-0.2,-1.15%,12,17.2,25,17.05,17.3,17.85,17.05,,
2015/1/7,CJF,201503,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/1/7,CJF,201506,-,-,-,-,-,-,-,17.5,0,-,-,-,-,,
2015/1/7,CJF,201509,-,-,-,-,-,-,-,17.45,0,-,-,-,-,,
2015/1/8,CJF,201501,17.35,17.4,17.35,17.4,0.2,1.16%,20,17.4,27,17.35,17.55,17.8,17,,
2015/1/8,CJF,201502,17.3,17.4,17.3,17.4,0.2,1.16%,2,17.4,24,17.3,17.55,17.85,17.05,,
2015/1/8,CJF,201503,-,-,-,-,-,-,-,17.35,0,-,-,-,-,,
2015/1/8,CJF,201506,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/8,CJF,201509,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/9,CJF,201501,-,-,-,-,-,-,-,17.45,27,17.3,17.55,17.8,17,,
2015/1/9,CJF,201502,17.4,17.4,17.4,17.4,0,0.00%,10,17.4,24,17.35,17.55,17.85,17.05,,
2015/1/9,CJF,201503,-,-,-,-,-,-,-,17.4,0,-,-,-,-,,
2015/1/9,CJF,201506,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/1/9,CJF,201509,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/12,CJF,201501,17.35,17.35,17.35,17.35,-0.1,-0.57%,20,17.35,27,17.25,17.5,17.8,17,,
2015/1/12,CJF,201502,-,-,-,-,-,-,-,17.3,24,17.25,17.5,17.85,17.05,,
2015/1/12,CJF,201503,-,-,-,-,-,-,-,17.3,0,-,-,-,-,,
2015/1/12,CJF,201506,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/12,CJF,201509,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
2015/1/13,CJF,201501,17.45,17.55,17.45,17.5,0.15,0.86%,58,17.5,35,17.45,17.65,17.8,17,,
2015/1/13,CJF,201502,17.45,17.55,17.45,17.5,0.2,1.16%,50,17.5,34,17.4,17.65,17.85,17.05,,
2015/1/13,CJF,201503,-,-,-,-,-,-,-,17.45,0,-,-,-,-,,
2015/1/13,CJF,201506,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/13,CJF,201509,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/1/14,CJF,201501,17.3,17.3,17.3,17.3,-0.2,-1.14%,14,17.3,40,17.15,17.45,17.8,17,,
2015/1/14,CJF,201502,17.45,17.45,17.35,17.35,-0.15,-0.86%,15,17.35,37,17.3,17.45,17.85,17.05,,
2015/1/14,CJF,201503,-,-,-,-,-,-,-,17.25,0,17.35,-,-,-,,
2015/1/14,CJF,201506,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
2015/1/14,CJF,201509,-,-,-,-,-,-,-,17.55,0,-,-,-,-,,
2015/1/15,CJF,201501,17.25,17.25,17.25,17.25,-0.05,-0.29%,10,17.25,40,17.2,17.45,17.8,17,,
2015/1/15,CJF,201502,-,-,-,-,-,-,-,17.3,37,17.25,17.45,17.85,17.05,,
2015/1/15,CJF,201503,-,-,-,-,-,-,-,17.2,0,17.25,-,-,-,,
2015/1/15,CJF,201506,-,-,-,-,-,-,-,17.55,0,-,-,-,-,,
2015/1/15,CJF,201509,-,-,-,-,-,-,-,17.5,0,-,-,-,-,,
2015/1/16,CJF,201501,17.2,17.2,17.2,17.2,-0.05,-0.29%,8,17.2,36,17.15,17.3,17.8,17,,
2015/1/16,CJF,201502,17.2,17.25,17.15,17.25,-0.05,-0.29%,19,17.25,41,17.15,17.25,17.85,17.05,,
2015/1/16,CJF,201503,-,-,-,-,-,-,-,17.2,0,17.15,-,-,-,,
2015/1/16,CJF,201506,-,-,-,-,-,-,-,17.5,0,-,-,-,-,,
2015/1/16,CJF,201509,-,-,-,-,-,-,-,17.45,0,-,-,-,-,,
2015/1/19,CJF,201501,17.45,17.45,17.35,17.35,0.15,0.87%,10,17.35,36,17.15,17.4,17.8,17,,
2015/1/19,CJF,201502,17.4,17.4,17.3,17.3,0.05,0.29%,20,17.3,42,17.3,17.4,17.85,17.05,,
2015/1/19,CJF,201503,-,-,-,-,-,-,-,17.35,0,-,-,-,-,,
2015/1/19,CJF,201506,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/19,CJF,201509,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
