交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CKF,201501,46.45,46.6,46.2,46.4,-0.6,-1.28%,287,46.4,1181,46.35,46.45,50.2,44.15,,
2015/1/5,CKF,201502,46.25,46.6,46.1,46.35,-0.6,-1.28%,102,46.35,414,46.3,46.4,47.15,44.25,,
2015/1/5,CKF,201503,-,-,-,-,-,-,-,46.35,207,46.1,46.45,50.5,44.85,,
2015/1/5,CKF,201506,-,-,-,-,-,-,-,46.35,856,-,46.4,52,45.6,,
2015/1/5,CKF,201509,46.5,46.5,46.5,46.5,-0.55,-1.17%,2,46.5,302,-,46.6,47.25,46.5,,
2015/1/6,CKF,201501,46.15,46.2,44.8,45,-1.4,-3.02%,223,45.0,1217,45,45.05,50.2,44.15,,
2015/1/6,CKF,201502,46.2,46.2,44.95,45,-1.35,-2.91%,87,45.0,398,44.95,45,47.15,44.25,,
2015/1/6,CKF,201503,45.1,45.1,45.1,45.1,-1.25,-2.70%,5,44.9,212,44.7,45.05,50.5,44.85,,
2015/1/6,CKF,201506,45.5,45.5,45.3,45.3,-1.05,-2.27%,7,44.9,849,-,45.05,52,45.3,,
2015/1/6,CKF,201509,-,-,-,-,-,-,-,45.1,302,-,45.2,47.25,46.5,,
2015/1/7,CKF,201501,45.05,45.3,45.05,45.05,0.05,0.11%,162,45.05,1124,45,45.15,50.2,44.15,,
2015/1/7,CKF,201502,45.05,45.3,45,45.05,0.05,0.11%,96,45.05,404,45.05,45.2,47.15,44.25,,
2015/1/7,CKF,201503,-,-,-,-,-,-,-,44.95,212,44.9,45.15,50.5,44.85,,
2015/1/7,CKF,201506,-,-,-,-,-,-,-,44.95,849,-,45.15,52,45.3,,
2015/1/7,CKF,201509,-,-,-,-,-,-,-,45.15,302,-,45.3,47.25,46.5,,
2015/1/8,CKF,201501,45.45,45.95,45.45,45.75,0.7,1.55%,44,45.75,1116,45.6,45.85,50.2,44.15,,
2015/1/8,CKF,201502,45.6,45.9,45.6,45.75,0.7,1.55%,28,45.75,410,45.55,45.85,47.15,44.25,,
2015/1/8,CKF,201503,-,-,-,-,-,-,-,45.65,212,45.55,45.85,50.5,44.85,,
2015/1/8,CKF,201506,-,-,-,-,-,-,-,45.65,849,45.05,45.85,52,45.3,,
2015/1/8,CKF,201509,-,-,-,-,-,-,-,45.85,302,-,46.35,47.25,46.5,,
2015/1/9,CKF,201501,46.05,46.05,45.75,45.8,0.05,0.11%,56,45.8,1140,45.7,45.9,50.2,44.15,,
2015/1/9,CKF,201502,46.1,46.1,45.75,45.75,0,0.00%,58,45.75,457,45.7,45.9,47.15,44.25,,
2015/1/9,CKF,201503,-,-,-,-,-,-,-,45.7,212,45.65,45.9,50.5,44.85,,
2015/1/9,CKF,201506,-,-,-,-,-,-,-,45.7,849,45.2,45.9,52,45.3,,
2015/1/9,CKF,201509,-,-,-,-,-,-,-,45.9,302,-,46.4,47.25,46.5,,
