交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CM1,201503,-,-,-,-,-,-,-,12.95,4249,-,-,16.2,14.05,,
2015/1/6,CM1,201503,-,-,-,-,-,-,-,12.6,4249,-,-,16.2,14.05,,
2015/1/7,CM1,201503,-,-,-,-,-,-,-,12.7,4249,-,-,16.2,14.05,,
2015/1/8,CM1,201503,-,-,-,-,-,-,-,12.8,4249,-,-,16.2,14.05,,
2015/1/9,CM1,201503,-,-,-,-,-,-,-,12.9,4249,-,-,16.2,14.05,,
2015/1/12,CM1,201503,-,-,-,-,-,-,-,12.75,4249,-,-,16.2,14.05,,
2015/1/13,CM1,201503,-,-,-,-,-,-,-,12.9,4249,-,-,16.2,14.05,,
2015/1/14,CM1,201503,-,-,-,-,-,-,-,12.8,4249,-,-,16.2,14.05,,
2015/1/15,CM1,201503,-,-,-,-,-,-,-,12.85,4249,-,-,16.2,14.05,,
2015/1/16,CM1,201503,-,-,-,-,-,-,-,12.6,4249,-,-,16.2,14.05,,
2015/1/19,CM1,201503,-,-,-,-,-,-,-,12.7,4249,-,-,16.2,14.05,,
2015/1/20,CM1,201503,-,-,-,-,-,-,-,12.8,4249,-,-,16.2,14.05,,
2015/1/21,CM1,201503,-,-,-,-,-,-,-,12.85,4249,12.7,12.95,16.2,14.05,,
2015/1/22,CM1,201503,-,-,-,-,-,-,-,12.95,4249,12.8,13.1,16.2,14.05,,
2015/1/23,CM1,201503,13.05,13.05,13.05,13.05,0.1,0.77%,25,12.95,4249,12.8,13.1,16.2,13.05,,
2015/1/26,CM1,201503,13.05,13.05,13.05,13.05,0.1,0.77%,25,13.1,4249,13.05,13.25,16.2,13.05,,
2015/1/27,CM1,201503,-,-,-,-,-,-,-,13.2,4249,13.1,13.35,16.2,13.05,,
2015/1/28,CM1,201503,13.2,13.2,13.2,13.2,0,0.00%,5,13.3,4249,13.15,13.4,16.2,13.05,,
2015/1/29,CM1,201503,13.25,13.25,13.2,13.2,-0.1,-0.75%,10,13.15,4254,13,13.3,16.2,13.05,,
2015/1/30,CM1,201503,13.1,13.1,13.1,13.1,-0.05,-0.38%,7,13.05,4254,12.95,13.2,16.2,13.05,,
2015/2/2,CM1,201503,13,13.05,13,13.05,0,0.00%,35,13.15,4259,13.1,13.35,16.2,13,,
2015/2/3,CM1,201503,-,-,-,-,-,-,-,13.2,4259,-,-,16.2,13,,
