交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/06/21,CS1,202207  ,39.65,41,39.55,40.95,1.9,4.87%,1855.0,40.9,5422,40.95,41,49.75,36.7,,一般,,
2022/06/21,CS1,202208  ,39.7,40.65,39.5,40.65,1.8,4.63%,36.0,40.85,81,40.5,40.7,43.7,39.5,,一般,,
2022/06/21,CS1,202209  ,-,-,-,-,-,-,0.0,40.7,11,40.45,41.2,47.1,37,,一般,,
2022/06/21,CS1,202212  ,-,-,-,-,-,-,0.0,40.95,5,40.3,41.2,47,28.2,,一般,,
2022/06/22,CS1,202207  ,41.25,41.25,37.55,38.3,-2.6,-6.36%,1327.0,38.15,4703,38.25,38.4,49.75,36.7,,一般,,
2022/06/22,CS1,202208  ,40.1,40.1,37.7,38.2,-2.65,-6.49%,8.0,38.1,81,-,38.65,43.7,37.7,,一般,,
2022/06/22,CS1,202209  ,-,-,-,-,-,-,0.0,38.15,11,-,38.75,47.1,37,,一般,,
2022/06/22,CS1,202212  ,-,-,-,-,-,-,0.0,38.2,5,-,39.15,47,28.2,,一般,,
2022/06/23,CS1,202207  ,38.55,39,37.25,37.75,-0.4,-1.05%,721.0,37.65,4509,37.8,37.85,49.75,36.7,,一般,,
2022/06/23,CS1,202208  ,38.5,38.5,37.85,37.95,-0.15,-0.39%,7.0,37.55,84,37.4,38.1,43.7,37.7,,一般,,
2022/06/23,CS1,202209  ,-,-,-,-,-,-,0.0,37.85,11,37.35,-,47.1,37,,一般,,
2022/06/23,CS1,202212  ,-,-,-,-,-,-,0.0,37.7,5,37.2,-,47,28.2,,一般,,
2022/06/24,CS1,202207  ,37.75,38.45,36.7,37.35,-0.3,-0.80%,388.0,37.15,4395,37.3,37.4,49.75,36.7,,一般,,
2022/06/24,CS1,202208  ,38.5,38.5,36.5,36.5,-1.05,-2.80%,5.0,37,83,36.7,37.5,43.7,36.5,,一般,,
2022/06/24,CS1,202209  ,37.9,37.9,37.9,37.9,0.05,0.13%,1.0,37.35,10,36.65,-,47.1,37,,一般,,
2022/06/24,CS1,202212  ,-,-,-,-,-,-,0.0,37.2,5,36.5,-,47,28.2,,一般,,
2022/06/27,CS1,202207  ,37.75,39.05,37.5,37.75,0.6,1.62%,477.0,37.7,4349,37.7,37.8,49.75,36.7,,一般,,
2022/06/27,CS1,202208  ,38.5,38.5,37.9,37.9,0.9,2.43%,2.0,37.6,83,-,37.8,43.7,36.5,,一般,,
