交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/23,CZ1,201508,16.05,16.3,16,16.3,0.35,2.19%,6,16.3,584,15.7,16.35,17.6,15.05,,
2015/7/23,CZ1,201509,16.1,16.3,16.1,16.3,0.45,2.84%,35,16.3,230,-,16.5,24,15.95,,
2015/7/24,CZ1,201508,16.9,16.9,15.85,15.95,-0.35,-2.15%,186,15.9,529,15.95,16.65,17.6,15.05,,
2015/7/24,CZ1,201509,16.1,16.1,15.8,15.8,-0.5,-3.07%,23,15.85,211,-,16.4,24,15.8,,
2015/7/27,CZ1,201508,15.65,15.9,14.8,15.1,-0.8,-5.03%,220,15.15,516,-,16.15,17.6,14.8,,
2015/7/27,CZ1,201509,15.7,15.9,14.85,15.05,-0.8,-5.05%,186,15.1,165,-,16.1,24,14.85,,
2015/7/28,CZ1,201508,14.8,14.8,14.45,14.6,-0.55,-3.63%,47,14.55,501,14.35,14.85,17.6,14.45,,
2015/7/28,CZ1,201509,14.8,14.85,14.35,14.65,-0.45,-2.98%,163,14.6,140,14.25,14.85,24,14.35,,
2015/7/29,CZ1,201508,14.75,15.25,14.75,14.9,0.35,2.41%,14,15.0,501,14.75,15.1,17.6,14.45,,
2015/7/29,CZ1,201509,14.9,15.15,14.75,14.75,0.15,1.03%,14,14.95,140,14.75,15.1,24,14.35,,
2015/7/30,CZ1,201508,15.45,15.45,15.35,15.35,0.35,2.33%,2,15.2,500,14.4,15.65,17.6,14.45,,
2015/7/30,CZ1,201509,15.35,15.35,15.35,15.35,0.4,2.68%,1,15.15,140,14.8,16.25,24,14.35,,
2015/7/31,CZ1,201508,15,15.15,15,15.15,-0.05,-0.33%,65,15.15,500,14.4,15.65,17.6,14.45,,
2015/7/31,CZ1,201509,-,-,-,-,-,-,-,15.1,140,14.85,-,24,14.35,,
2015/8/3,CZ1,201508,15.5,15.85,15.4,15.85,0.7,4.62%,13,15.9,502,14.45,16.1,17.6,14.45,,
2015/8/3,CZ1,201509,-,-,-,-,-,-,-,15.9,140,15.7,15.95,24,14.35,,
2015/8/4,CZ1,201508,15.7,15.9,15.65,15.65,-0.25,-1.57%,66,16.0,522,14.45,16.05,17.6,14.45,,
2015/8/4,CZ1,201509,15.7,15.85,15.6,15.85,-0.05,-0.31%,41,15.75,165,15.5,15.95,24,14.35,,
2015/8/5,CZ1,201508,16.1,16.2,16.1,16.2,0.2,1.25%,51,16.25,572,16.1,16.5,17.6,14.45,,
2015/8/5,CZ1,201509,16.2,16.3,16.2,16.3,0.55,3.49%,38,16.3,190,16.15,16.5,24,14.35,,
2015/8/6,CZ1,201508,16,16,16,16,-0.25,-1.54%,1,16.05,572,15.6,16.2,17.6,14.45,,
2015/8/6,CZ1,201509,16.05,16.05,16.05,16.05,-0.25,-1.53%,1,16.05,190,15.75,16.1,24,14.35,,
2015/8/7,CZ1,201508,-,-,-,-,-,-,-,15.9,572,15.6,16,17.6,14.45,,
2015/8/7,CZ1,201509,-,-,-,-,-,-,-,15.9,190,15.7,15.9,24,14.35,,
2015/8/10,CZ1,201508,16.35,16.4,16.35,16.4,0.5,3.14%,56,16.35,572,15.6,16.5,17.6,14.45,,
2015/8/10,CZ1,201509,16.35,16.35,16.35,16.35,0.45,2.83%,50,16.3,215,-,16.4,24,14.35,,
2015/8/11,CZ1,201508,16,16,16,16,-0.35,-2.14%,2,16.0,572,15.6,16.45,17.6,14.45,,
2015/8/11,CZ1,201509,16.35,16.35,15.95,15.95,-0.35,-2.15%,26,15.95,240,15.7,16.4,24,14.35,,
2015/8/12,CZ1,201508,15.8,15.8,15.4,15.4,-0.6,-3.75%,38,15.45,572,15.35,15.95,17.6,14.45,,
2015/8/12,CZ1,201509,15.4,15.45,15.4,15.45,-0.5,-3.13%,55,15.5,265,15.35,15.85,24,14.35,,
2015/8/13,CZ1,201508,15.45,15.45,15.45,15.45,0,0.00%,44,15.45,553,14.1,16,17.6,14.45,,
2015/8/13,CZ1,201509,15.45,15.45,15.4,15.45,-0.05,-0.32%,71,15.45,290,15.25,16.45,24,14.35,,
2015/8/14,CZ1,201508,15.6,15.6,15.3,15.3,-0.15,-0.97%,28,15.35,534,14.1,15.95,17.6,14.45,,
2015/8/14,CZ1,201509,15.5,15.5,15.3,15.3,-0.15,-0.97%,33,15.35,290,15.2,15.8,24,14.35,,
2015/8/17,CZ1,201508,14.9,14.9,14.9,14.9,-0.45,-2.93%,70,14.9,517,14.4,16,17.6,14.45,,
2015/8/17,CZ1,201509,14.9,14.9,14.9,14.9,-0.45,-2.93%,25,14.85,315,14.7,15.05,24,14.35,,
2015/8/18,CZ1,201508,14.95,14.95,14.8,14.8,-0.1,-0.67%,196,14.95,372,14.65,15.95,17.6,14.45,,
2015/8/18,CZ1,201509,-,-,-,-,-,-,-,14.9,315,14.65,15.05,24,14.35,,
2015/8/19,CZ1,201508,14.9,14.9,14.55,14.65,-0.3,-2.01%,113,0.0,324,-,14.8,17.6,14.45,,
2015/8/19,CZ1,201509,14.85,14.85,14.45,14.6,-0.3,-2.01%,53,14.6,315,14.35,14.6,24,14.35,,
2015/8/20,CZ1,201509,14.7,14.7,14.65,14.65,0.05,0.34%,25,14.65,315,-,14.75,24,14.35,,
2015/8/21,CZ1,201509,14.4,14.45,14.4,14.45,-0.2,-1.37%,109,14.45,253,14.2,15.8,24,14.35,,
2015/8/24,CZ1,201509,13.5,13.5,13.05,13.05,-1.4,-9.69%,7,13.3,255,-,-,24,13.05,,
2015/8/25,CZ1,201509,13.1,13.5,13.1,13.5,0.2,1.50%,139,13.5,190,12.95,14.55,24,13.05,,
2015/8/26,CZ1,201509,13.45,13.45,13.4,13.4,-0.1,-0.74%,11,13.55,190,-,14.8,24,13.05,,
2015/8/27,CZ1,201509,13.9,13.9,13.9,13.9,0.35,2.58%,3,13.9,193,13.5,-,24,13.05,,
2015/8/28,CZ1,201509,14.05,14.15,14,14.1,0.2,1.44%,70,14.15,193,13.65,14.6,24,13.05,,
2015/8/31,CZ1,201509,13.95,13.95,13.95,13.95,-0.2,-1.41%,10,14.15,193,13.65,14.65,24,13.05,,
2015/9/1,CZ1,201509,13.95,13.95,13.9,13.9,-0.25,-1.77%,25,13.95,193,13,15.45,24,13.05,,
2015/9/2,CZ1,201509,13.95,14.05,13.95,14,0.05,0.36%,40,14.0,208,13.6,14.3,24,13.05,,
2015/9/3,CZ1,201509,14,14,14,14,0,0.00%,13,14.0,211,13.5,14.2,24,13.05,,
2015/9/4,CZ1,201509,14.05,14.1,13.9,13.95,-0.05,-0.36%,101,13.8,214,13.6,14.15,24,13.05,,
2015/9/7,CZ1,201509,13.85,13.9,13.8,13.8,0,0.00%,42,13.8,214,13.65,14.5,24,13.05,,
2015/9/8,CZ1,201509,-,-,-,-,-,-,-,13.9,214,13.85,14.25,24,13.05,,
2015/9/9,CZ1,201509,14.2,14.35,14.2,14.35,0.45,3.24%,41,14.55,213,14.35,14.95,24,13.05,,
2015/9/10,CZ1,201509,14.5,14.85,14.5,14.85,0.3,2.06%,44,14.85,189,14.75,15,24,13.05,,
2015/9/11,CZ1,201509,14.75,14.75,14.75,14.75,-0.1,-0.67%,5,14.75,184,14.7,15.95,24,13.05,,
2015/9/14,CZ1,201509,15.05,15.05,14.8,14.8,0.05,0.34%,23,14.8,180,14.75,15.95,24,13.05,,
2015/9/15,CZ1,201509,-,-,-,-,-,-,-,14.75,180,-,16.15,24,13.05,,
2015/9/16,CZ1,201509,-,-,-,-,-,-,-,0.0,175,-,14.75,24,13.05,,
2015/7/27,CZ1,201508/201509,-0.05,-0.05,-0.05,-0.05,-,-,1,-,-,-0.05,0.05,-0.05,-0.05,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/11/7,CZ1,201711,15.5,16.85,15.5,16.6,-0.5,-2.92%,1246,16.6,11776,16.55,16.6,19.15,15.5,,一般,,
2017/11/7,CZ1,201712,16,16.7,16,16.3,-0.45,-2.69%,314,16.35,9080,16.3,16.35,20.6,15.95,,一般,,
2017/11/8,CZ1,201711,16.6,16.85,16.55,16.85,0.25,1.51%,985,16.9,11700,16.8,16.9,19.15,15.5,,一般,,
2017/11/8,CZ1,201712,16.6,16.7,16.4,16.55,0.2,1.22%,65,16.55,9084,16.5,16.6,20.6,15.95,,一般,,
2017/11/9,CZ1,201711,17,17.45,17,17.2,0.3,1.78%,1102,17.3,11563,17.2,17.3,19.15,15.5,,一般,,
2017/11/9,CZ1,201712,16.65,17,16.65,16.85,0.3,1.81%,208,16.95,9089,16.8,16.9,20.6,15.95,,一般,,
2017/11/10,CZ1,201711,17.35,17.4,17.25,17.35,0.05,0.29%,568,17.3,11164,17.3,17.35,19.15,15.5,,一般,,
2017/11/10,CZ1,201712,17.05,17.05,16.9,17,0.05,0.29%,194,17.05,9083,16.95,17.05,20.6,15.95,,一般,,
2017/11/13,CZ1,201711,17.15,17.15,16.85,17.05,-0.25,-1.45%,947,17.1,10883,17,17.1,19.15,15.5,,一般,,
2017/11/13,CZ1,201712,16.8,16.85,16.6,16.85,-0.2,-1.17%,243,17,9082,16.85,16.95,20.6,15.95,,一般,,
2017/11/14,CZ1,201711,17.05,17.3,16.65,16.8,-0.3,-1.75%,1373,16.8,9969,16.7,16.8,19.15,15.5,,一般,,
2017/11/14,CZ1,201712,17,17,16.6,16.65,-0.35,-2.06%,207,16.65,9206,16.6,16.7,20.6,15.95,,一般,,
2017/11/15,CZ1,201711,16.85,17.05,16.75,16.9,0.1,0.60%,1014,0,9418,16.9,16.95,19.15,15.5,,一般,,
2017/11/15,CZ1,201712,16.75,17,16.65,16.9,0.25,1.50%,58,16.9,9209,16.8,16.9,20.6,15.95,,一般,,
2017/11/16,CZ1,201712,16.7,16.85,16.7,16.8,-0.1,-0.59%,83,16.8,9210,16.75,16.8,20.6,15.95,,一般,,
2017/11/17,CZ1,201712,16.8,16.8,16.75,16.8,0,0.00%,25,16.8,9209,16.7,16.8,20.6,15.95,,一般,,
2017/11/20,CZ1,201712,16.85,16.95,16.75,16.75,-0.05,-0.30%,209,16.75,9209,16.75,16.85,20.6,15.95,,一般,,
2017/11/21,CZ1,201712,16.85,16.85,16.75,16.8,0.05,0.30%,9,16.8,9209,16.75,16.8,20.6,15.95,,一般,,
2017/11/22,CZ1,201712,16.7,17,16.7,16.9,0.1,0.60%,65,16.9,9215,16.85,16.9,20.6,15.95,,一般,,
2017/11/23,CZ1,201712,16.8,16.8,16.7,16.75,-0.15,-0.89%,62,16.75,9215,16.7,16.8,20.6,15.95,,一般,,
2017/11/24,CZ1,201712,16.8,16.8,16.75,16.8,0.05,0.30%,23,16.8,9215,16.8,16.85,20.6,15.95,,一般,,
2017/11/27,CZ1,201712,16.8,16.9,16.7,16.8,0,0.00%,80,16.8,9258,16.7,16.8,20.6,15.95,,一般,,
2017/11/28,CZ1,201712,16.9,17.05,16.9,16.95,0.15,0.89%,122,16.9,9295,16.9,16.95,20.6,15.95,,一般,,
2017/11/29,CZ1,201712,17,17,16.7,16.85,-0.05,-0.30%,59,16.85,9298,16.8,16.85,20.6,15.95,,一般,,
2017/11/30,CZ1,201712,16.85,17,16.85,16.9,0.05,0.30%,320,16.95,9305,16.85,17,20.6,15.95,,一般,,
2017/12/1,CZ1,201712,17.15,17.15,16.8,16.85,-0.1,-0.59%,420,16.85,9305,16.8,16.9,20.6,15.95,,一般,,
2017/12/4,CZ1,201712,17,17.65,16.9,17.55,0.7,4.15%,130,17.6,9309,17.55,17.65,20.6,15.95,,一般,,
2017/12/5,CZ1,201712,17.65,17.75,17.3,17.3,-0.3,-1.70%,140,17.4,9324,17.3,17.4,20.6,15.95,,一般,,
2017/12/6,CZ1,201712,17.05,17.2,16.5,16.6,-0.8,-4.60%,199,16.65,9332,16.6,16.65,20.6,15.95,,一般,,
2017/12/7,CZ1,201712,16.55,16.65,16.3,16.45,-0.2,-1.20%,78,16.3,9304,16.25,16.4,20.6,15.95,,一般,,
2017/12/8,CZ1,201712,16.55,16.55,16.4,16.45,0.15,0.92%,58,16.5,9303,16.45,16.6,20.6,15.95,,一般,,
2017/12/11,CZ1,201712,16.55,16.55,16.5,16.55,0.05,0.30%,1017,16.6,9450,16.55,16.6,20.6,15.95,,一般,,
2017/12/12,CZ1,201712,16.5,16.5,16.5,16.5,-0.1,-0.60%,20,16.45,9430,16.4,16.55,20.6,15.95,,一般,,
2017/12/13,CZ1,201712,16.6,16.7,16.6,16.65,0.2,1.22%,64,16.7,9483,16.6,16.75,20.6,15.95,,一般,,
2017/12/14,CZ1,201712,16.85,16.85,16.7,16.8,0.1,0.60%,517,16.8,9997,16.75,16.8,20.6,15.95,,一般,,
2017/12/15,CZ1,201712,16.65,16.65,16.65,16.65,-0.15,-0.89%,1,16.65,9997,16.6,16.75,20.6,15.95,,一般,,
2017/12/18,CZ1,201712,16.6,16.65,16.5,16.65,0,0.00%,26,16.6,9997,16.55,16.65,20.6,15.95,,一般,,
2017/12/19,CZ1,201712,16.55,16.55,16.3,16.3,-0.3,-1.81%,7,16.3,9993,16.25,16.3,20.6,15.95,,一般,,
2017/12/20,CZ1,201712,16.3,16.55,16.3,16.55,0.25,1.53%,1049,0,10031,16.55,16.6,20.6,15.95,,一般,,
2017/11/10,CZ1,201711/201712,-0.3,-0.3,-0.3,-0.3,-,-,1,-,-,-0.5,-0.3,-0.3,-0.3,,一般,8.0,
2017/11/15,CZ1,201711/201712,0.04,0.04,0.04,0.04,-,-,1,-,-,-,-,0.04,0.04,,一般,15.0,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/08/29,CZ1,201809  ,12.75,13,12.75,12.9,0.2,1.57%,346.0,13,805,12.85,13,16,12.75,,一般,,
2018/08/29,CZ1,201810  ,12.8,13,12.8,12.95,0.25,1.97%,269.0,12.95,227,12.9,13,13.65,12.8,,一般,,
2018/08/29,CZ1,201812  ,-,-,-,-,-,-,0.0,13,6,12.9,-,15.2,13.5,,一般,,
2018/08/29,CZ1,201906  ,-,-,-,-,-,-,0.0,13.25,1,-,-,14.15,14.15,,一般,,
2018/08/30,CZ1,201809  ,12.8,12.85,12.8,12.85,-0.15,-1.15%,3.0,12.9,803,12.75,12.85,16,12.75,,一般,,
2018/08/30,CZ1,201810  ,12.95,12.95,12.8,12.8,-0.15,-1.16%,6.0,12.9,227,12.8,12.9,13.65,12.8,,一般,,
2018/08/30,CZ1,201812  ,-,-,-,-,-,-,0.0,12.9,6,12.8,-,15.2,13.5,,一般,,
2018/08/30,CZ1,201906  ,-,-,-,-,-,-,0.0,13.15,1,12,-,14.15,14.15,,一般,,
2018/08/31,CZ1,201809  ,12.85,12.9,12.85,12.9,0,0.00%,16.0,13,805,12.85,12.95,16,12.75,,一般,,
2018/08/31,CZ1,201810  ,12.85,12.85,12.85,12.85,-0.05,-0.39%,1.0,12.95,227,12.85,12.95,13.65,12.8,,一般,,
2018/08/31,CZ1,201812  ,-,-,-,-,-,-,0.0,13,6,12.8,-,15.2,13.5,,一般,,
2018/08/31,CZ1,201906  ,-,-,-,-,-,-,0.0,13.25,1,11.9,-,14.15,14.15,,一般,,
2018/08/29,CZ1,201809/201810     ,0.01,0.01,0,0,-,-,221.0,-,-,0,0.01,0.01,-0.02,,一般,38.0,
2018/09/03,CZ1,201809  ,13,13,12.9,12.9,-0.1,-0.77%,20.0,12.9,802,12.85,12.9,16,12.75,,一般,,
2018/09/03,CZ1,201810  ,12.95,-,-,12.95,0,0.00%,11.0,12.9,227,12.85,12.95,13.65,12.8,,一般,,
2018/09/03,CZ1,201812  ,-,-,-,-,-,-,0.0,12.9,6,12.85,-,15.2,13.5,,一般,,
2018/09/03,CZ1,201906  ,-,-,-,-,-,-,0.0,13.15,1,-,-,14.15,14.15,,一般,,
2018/09/04,CZ1,201809  ,12.9,12.9,12.85,12.85,-0.05,-0.39%,21.0,12.9,807,12.85,13,16,12.75,,一般,,
2018/09/04,CZ1,201810  ,12.8,12.8,12.8,12.8,-0.1,-0.78%,3.0,12.85,227,12.85,12.95,13.65,12.8,,一般,,
2018/09/04,CZ1,201812  ,-,-,-,-,-,-,0.0,12.9,6,12.85,-,15.2,13.5,,一般,,
2018/09/04,CZ1,201906  ,-,-,-,-,-,-,0.0,13.15,1,-,-,14.15,14.15,,一般,,
2018/09/05,CZ1,201809  ,-,-,-,-,-,-,0.0,12.7,807,12.65,12.9,16,12.75,,一般,,
2018/09/05,CZ1,201810  ,-,-,-,-,-,-,0.0,12.8,227,12.7,12.9,13.65,12.8,,一般,,
2018/09/05,CZ1,201812  ,-,-,-,-,-,-,0.0,12.7,6,12.7,-,15.2,13.5,,一般,,
2018/09/05,CZ1,201906  ,-,-,-,-,-,-,0.0,12.95,1,-,-,14.15,14.15,,一般,,
2018/09/06,CZ1,201809  ,12.6,12.6,12.6,12.6,-0.1,-0.79%,10.0,12.6,798,12.6,12.65,16,12.6,,一般,,
2018/09/06,CZ1,201810  ,-,-,-,-,-,-,0.0,12.65,227,12.6,12.7,13.65,12.8,,一般,,
2018/09/06,CZ1,201812  ,-,-,-,-,-,-,0.0,12.6,6,12.6,-,15.2,13.5,,一般,,
2018/09/06,CZ1,201906  ,-,-,-,-,-,-,0.0,12.85,1,11.75,-,14.15,14.15,,一般,,
2018/09/07,CZ1,201809  ,12.6,12.6,12.3,12.35,-0.25,-1.98%,15.0,12.35,791,12.35,12.45,16,12.3,,一般,,
2018/09/07,CZ1,201810  ,12.55,12.55,12.35,12.35,-0.3,-2.37%,2.0,12.35,228,12.4,12.45,13.65,12.35,,一般,,
2018/09/07,CZ1,201812  ,-,-,-,-,-,-,0.0,12.35,6,12.4,-,15.2,13.5,,一般,,
2018/09/07,CZ1,201906  ,-,-,-,-,-,-,0.0,12.6,1,-,-,14.15,14.15,,一般,,
2018/09/10,CZ1,201809  ,12.15,12.15,12.1,12.1,-0.25,-2.02%,49.0,12.1,814,12.05,12.15,16,12.1,,一般,,
2018/09/10,CZ1,201810  ,12.15,12.15,12.15,12.15,-0.2,-1.62%,1.0,12.1,228,12.05,12.2,13.65,12.15,,一般,,
2018/09/10,CZ1,201812  ,-,-,-,-,-,-,0.0,12.1,6,12.05,-,15.2,13.5,,一般,,
2018/09/10,CZ1,201906  ,-,-,-,-,-,-,0.0,12.35,1,-,-,14.15,14.15,,一般,,
2018/09/11,CZ1,201809  ,12.2,12.25,12.2,12.25,0.15,1.24%,25.0,12.25,804,12.2,12.3,16,12.1,,一般,,
2018/09/11,CZ1,201810  ,-,-,-,-,-,-,0.0,12.25,228,12.2,12.35,13.65,12.15,,一般,,
2018/09/11,CZ1,201812  ,-,-,-,-,-,-,0.0,12.25,6,12.2,-,15.2,13.5,,一般,,
2018/09/11,CZ1,201906  ,-,-,-,-,-,-,0.0,12.5,1,-,-,14.15,14.15,,一般,,
2018/09/12,CZ1,201809  ,12.3,12.3,12.2,12.25,0,0.00%,14.0,12.25,804,12.2,12.3,16,12.1,,一般,,
2018/09/12,CZ1,201810  ,-,-,-,-,-,-,0.0,12.25,228,12.15,12.35,13.65,12.15,,一般,,
2018/09/12,CZ1,201812  ,-,-,-,-,-,-,0.0,12.25,6,12.15,-,15.2,13.5,,一般,,
2018/09/12,CZ1,201906  ,-,-,-,-,-,-,0.0,12.5,1,-,-,14.15,14.15,,一般,,
2018/09/13,CZ1,201809  ,12.3,12.4,12.25,12.35,0.1,0.82%,15.0,12.35,801,12.25,12.45,16,12.1,,一般,,
2018/09/13,CZ1,201810  ,-,-,-,-,-,-,0.0,12.35,228,12.25,12.5,13.65,12.15,,一般,,
2018/09/13,CZ1,201812  ,-,-,-,-,-,-,0.0,12.35,6,12.25,-,15.2,13.5,,一般,,
2018/09/13,CZ1,201906  ,-,-,-,-,-,-,0.0,12.6,1,-,-,14.15,14.15,,一般,,
2018/09/14,CZ1,201809  ,12.3,12.3,12.3,12.3,-0.05,-0.40%,11.0,12.4,800,12.35,12.4,16,12.1,,一般,,
2018/09/14,CZ1,201810  ,12.25,12.25,12.25,12.25,-0.1,-0.81%,5.0,12.4,228,12.3,12.5,13.65,12.15,,一般,,
2018/09/14,CZ1,201812  ,-,-,-,-,-,-,0.0,12.4,6,12.3,-,15.2,13.5,,一般,,
2018/09/14,CZ1,201906  ,-,-,-,-,-,-,0.0,12.65,1,-,-,14.15,14.15,,一般,,
2018/09/17,CZ1,201809  ,12.3,12.3,12.25,12.25,-0.15,-1.21%,14.0,12.25,793,12.2,12.3,16,12.1,,一般,,
2018/09/17,CZ1,201810  ,-,-,-,-,-,-,0.0,12.25,228,12.2,12.35,13.65,12.15,,一般,,
2018/09/17,CZ1,201812  ,-,-,-,-,-,-,0.0,12.25,6,12.2,-,15.2,13.5,,一般,,
2018/09/17,CZ1,201906  ,-,-,-,-,-,-,0.0,12.5,1,-,-,14.15,14.15,,一般,,
