交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/10/31,CZ2,201812  ,-,-,-,-,-,-,0.0,11.25,26,-,-,15.2,10.9,,一般,,
2018/10/31,CZ2,201906  ,-,-,-,-,-,-,0.0,11.35,18,-,-,14.15,11.45,,一般,,
2018/11/01,CZ2,201812  ,-,-,-,-,-,-,0.0,11.15,26,11.05,11.2,15.2,10.9,,一般,,
2018/11/01,CZ2,201906  ,-,-,-,-,-,-,0.0,11.25,18,-,-,14.15,11.45,,一般,,
2018/11/02,CZ2,201812  ,-,-,-,-,-,-,0.0,11.2,26,11.15,11.3,15.2,10.9,,一般,,
2018/11/02,CZ2,201906  ,-,-,-,-,-,-,0.0,11.35,18,-,-,14.15,11.45,,一般,,
2018/11/05,CZ2,201812  ,11.3,11.3,11.3,11.3,0.1,0.89%,1.0,11.3,26,11.2,11.35,15.2,10.9,,一般,,
2018/11/05,CZ2,201906  ,-,-,-,-,-,-,0.0,11.4,18,-,-,14.15,11.45,,一般,,
2018/11/06,CZ2,201812  ,11.3,11.3,11.25,11.3,0,0.00%,7.0,11.3,22,11.25,11.3,15.2,10.9,,一般,,
2018/11/06,CZ2,201906  ,-,-,-,-,-,-,0.0,11.3,18,-,-,14.15,11.45,,一般,,
2018/11/07,CZ2,201812  ,-,-,-,-,-,-,0.0,11.25,22,11.3,11.4,15.2,10.9,,一般,,
2018/11/07,CZ2,201906  ,-,-,-,-,-,-,0.0,11.3,18,-,-,14.15,11.45,,一般,,
2018/11/08,CZ2,201812  ,-,-,-,-,-,-,0.0,11.4,22,11.35,11.45,15.2,10.9,,一般,,
2018/11/08,CZ2,201906  ,-,-,-,-,-,-,0.0,11.45,18,-,-,14.15,11.45,,一般,,
2018/11/09,CZ2,201812  ,-,-,-,-,-,-,0.0,11.25,22,11.2,11.3,15.2,10.9,,一般,,
2018/11/09,CZ2,201906  ,-,-,-,-,-,-,0.0,11.25,18,-,-,14.15,11.45,,一般,,
2018/11/12,CZ2,201812  ,-,-,-,-,-,-,0.0,11.35,22,11.35,11.4,15.2,10.9,,一般,,
2018/11/12,CZ2,201906  ,-,-,-,-,-,-,0.0,11.35,18,-,-,14.15,11.45,,一般,,
