交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CZF,201501,22.55,22.75,22.35,22.5,0.15,0.67%,324,22.5,778,22.45,22.7,22.75,17.65,,
2015/1/5,CZF,201502,22.75,22.75,22.4,22.45,0.05,0.22%,327,22.45,291,22.45,22.65,22.75,19.25,,
2015/1/5,CZF,201503,-,-,-,-,-,-,-,22.35,1,-,-,19.45,17,,
2015/1/5,CZF,201506,-,-,-,-,-,-,-,22.55,2,-,-,22.05,17.6,,
2015/1/5,CZF,201509,-,-,-,-,-,-,-,22.6,0,-,-,-,-,,
2015/1/6,CZF,201501,22.7,22.7,22.35,22.35,-0.15,-0.67%,384,22.35,739,22.2,22.5,22.75,17.65,,
2015/1/6,CZF,201502,22.6,22.6,22.35,22.35,-0.1,-0.45%,276,22.35,278,22.15,22.55,22.75,19.25,,
2015/1/6,CZF,201503,-,-,-,-,-,-,-,22.2,1,-,-,19.45,17,,
2015/1/6,CZF,201506,-,-,-,-,-,-,-,22.4,2,-,-,22.05,17.6,,
2015/1/6,CZF,201509,-,-,-,-,-,-,-,22.45,0,-,-,-,-,,
2015/1/7,CZF,201501,22.7,23.75,22.7,23.15,0.8,3.58%,992,23.15,674,22.05,23.25,23.75,17.65,,
2015/1/7,CZF,201502,22.75,23.8,22.75,23.25,0.9,4.03%,663,23.25,328,22,23.3,23.8,19.25,,
2015/1/7,CZF,201503,-,-,-,-,-,-,-,23.0,1,-,-,19.45,17,,
2015/1/7,CZF,201506,-,-,-,-,-,-,-,23.2,2,-,-,22.05,17.6,,
2015/1/7,CZF,201509,-,-,-,-,-,-,-,23.25,0,-,-,-,-,,
2015/1/8,CZF,201501,23.3,23.7,22.8,22.8,-0.35,-1.51%,421,22.8,682,22.65,23.6,23.75,17.65,,
2015/1/8,CZF,201502,23.6,23.65,22.85,22.85,-0.4,-1.72%,543,22.85,402,22.7,23.55,23.8,19.25,,
2015/1/8,CZF,201503,-,-,-,-,-,-,-,22.65,1,21.75,-,19.45,17,,
2015/1/8,CZF,201506,-,-,-,-,-,-,-,22.85,2,-,-,22.05,17.6,,
2015/1/8,CZF,201509,-,-,-,-,-,-,-,22.9,0,-,-,-,-,,
2015/1/9,CZF,201501,23.2,24.35,23.05,24.35,1.55,6.80%,754,24.35,642,24.35,-,24.35,17.65,,
2015/1/9,CZF,201502,23.15,24.4,23,24.4,1.55,6.78%,964,24.4,573,24.35,-,24.4,19.25,,
2015/1/9,CZF,201503,23.7,23.85,23.7,23.85,1.2,5.30%,2,23.85,2,24.2,-,23.85,17,,
2015/1/9,CZF,201506,23.8,23.8,23.8,23.8,0.95,4.16%,1,23.8,2,-,-,23.8,17.6,,
2015/1/9,CZF,201509,-,-,-,-,-,-,-,24.45,0,-,-,-,-,,
2015/1/12,CZF,201501,24.3,24.4,23.85,24.3,-0.05,-0.21%,540,24.3,754,24.05,24.3,24.4,17.65,,
2015/1/12,CZF,201502,24.2,24.4,23.8,24.05,-0.35,-1.43%,481,24.05,641,24,24.35,24.4,19.25,,
2015/1/12,CZF,201503,-,-,-,-,-,-,-,23.8,2,-,25,23.85,17,,
2015/1/12,CZF,201506,-,-,-,-,-,-,-,23.75,2,22.85,-,23.8,17.6,,
2015/1/12,CZF,201509,-,-,-,-,-,-,-,24.4,0,-,-,-,-,,
2015/1/13,CZF,201501,24.4,25.15,24.2,24.5,0.2,0.82%,572,24.5,651,24.4,24.5,25.15,17.65,,
2015/1/13,CZF,201502,24.45,25.1,24.3,24.45,0.4,1.66%,539,24.45,719,24.35,24.5,25.1,19.25,,
2015/1/13,CZF,201503,-,-,-,-,-,-,-,24.45,2,24.3,24.55,23.85,17,,
2015/1/13,CZF,201506,24.95,24.95,24.95,24.95,1.2,5.05%,1,24.45,2,24.3,24.55,24.95,17.6,,
2015/1/13,CZF,201509,-,-,-,-,-,-,-,24.6,0,24.25,24.55,-,-,,
2015/1/14,CZF,201501,24.8,24.8,24.25,24.45,-0.05,-0.20%,221,24.45,704,24.25,24.45,25.15,17.65,,
2015/1/14,CZF,201502,24.85,24.85,24.25,24.3,-0.15,-0.61%,262,24.3,701,24.2,24.4,25.1,19.25,,
2015/1/14,CZF,201503,-,-,-,-,-,-,-,24.4,2,24.15,24.5,23.85,17,,
2015/1/14,CZF,201506,24.5,24.5,24.4,24.4,-0.05,-0.20%,3,24.4,1,24.15,24.5,24.95,17.6,,
2015/1/14,CZF,201509,-,-,-,-,-,-,-,24.55,0,24.1,24.5,-,-,,
2015/1/15,CZF,201501,24,24,23,23.35,-1.1,-4.50%,1203,23.35,480,23.25,23.35,25.15,17.65,,
2015/1/15,CZF,201502,24.05,24.1,23,23.3,-1,-4.12%,755,23.3,667,23.2,23.4,25.1,19.25,,
2015/1/15,CZF,201503,23.1,23.1,23.1,23.1,-1.3,-5.33%,1,23.1,2,23.15,23.4,23.85,17,,
2015/1/15,CZF,201506,-,-,-,-,-,-,-,23.3,1,23.15,23.4,24.95,17.6,,
2015/1/15,CZF,201509,-,-,-,-,-,-,-,23.45,0,23.1,23.4,-,-,,
2015/1/16,CZF,201501,23.45,24.3,22.8,23.8,0.45,1.93%,885,23.75,381,23.7,23.8,25.15,17.65,,
2015/1/16,CZF,201502,23.6,24.25,22.85,23.75,0.45,1.93%,922,23.75,706,23.65,23.8,25.1,19.25,,
2015/1/16,CZF,201503,24,24,24,24,0.9,3.90%,1,23.75,2,23.6,23.85,24,17,,
2015/1/16,CZF,201506,24,24,24,24,0.7,3.00%,1,23.75,1,23.6,23.85,24.95,17.6,,
2015/1/16,CZF,201509,24,24,24,24,0.55,2.35%,1,23.7,0,23.55,23.85,24,24,,
2015/1/19,CZF,201501,23.5,23.75,23,23.05,-0.7,-2.95%,530,23.05,212,22.9,23.25,25.15,17.65,,
2015/1/19,CZF,201502,23.7,23.7,23,23.05,-0.7,-2.95%,643,23.05,611,22.95,23.3,25.1,19.25,,
2015/1/19,CZF,201503,23.35,23.35,23.35,23.35,-0.4,-1.68%,1,23.1,2,22.85,23.3,24,17,,
2015/1/19,CZF,201506,-,-,-,-,-,-,-,23.05,1,22.8,23.35,24.95,17.6,,
2015/1/19,CZF,201509,-,-,-,-,-,-,-,23.0,0,22.7,23.45,24,24,,
2015/1/20,CZF,201501,23.4,23.55,22.95,23.15,0.1,0.43%,394,23.15,170,23,23.25,25.15,17.65,,
2015/1/20,CZF,201502,23.35,23.55,22.95,23.25,0.2,0.87%,412,23.25,525,23.05,23.25,25.1,19.25,,
2015/1/20,CZF,201503,-,-,-,-,-,-,-,23.2,2,22.85,23.3,24,17,,
2015/1/20,CZF,201506,-,-,-,-,-,-,-,23.15,1,22.8,23.3,24.95,17.6,,
2015/1/20,CZF,201509,-,-,-,-,-,-,-,23.1,0,22.75,23.3,24,24,,
2015/1/21,CZF,201501,23.6,23.65,23,23.2,0.05,0.22%,184,0.0,123,-,23.35,25.15,17.65,,
2015/1/21,CZF,201502,23.5,23.7,23.3,23.3,0.05,0.22%,327,23.3,534,23.3,23.45,25.1,19.25,,
2015/1/21,CZF,201503,-,-,-,-,-,-,-,23.25,2,22.85,23.55,24,17,,
2015/1/21,CZF,201506,-,-,-,-,-,-,-,23.2,1,-,-,24.95,17.6,,
2015/1/21,CZF,201509,-,-,-,-,-,-,-,23.15,0,-,-,24,24,,
2015/1/22,CZF,201502,23.4,23.5,23.15,23.2,-0.1,-0.43%,391,23.2,558,23.2,23.3,25.1,19.25,,
2015/1/22,CZF,201503,23.3,23.3,23.15,23.25,0,0.00%,176,23.25,45,23.15,23.35,24,17,,
2015/1/22,CZF,201506,-,-,-,-,-,-,-,23.1,1,-,-,24.95,17.6,,
2015/1/22,CZF,201509,-,-,-,-,-,-,-,23.05,0,-,-,24,24,,
2015/1/22,CZF,201512,-,-,-,-,-,-,-,23.55,0,-,-,-,-,,
2015/1/23,CZF,201502,23.45,23.45,22.9,23.1,-0.1,-0.43%,302,23.1,623,23.05,23.15,25.1,19.25,,
2015/1/23,CZF,201503,23.3,23.35,22.9,23.1,-0.15,-0.65%,263,23.1,74,23.05,23.2,24,17,,
2015/1/23,CZF,201506,-,-,-,-,-,-,-,23.0,1,-,-,24.95,17.6,,
2015/1/23,CZF,201509,-,-,-,-,-,-,-,22.95,0,-,-,24,24,,
2015/1/23,CZF,201512,-,-,-,-,-,-,-,23.45,0,-,-,-,-,,
2015/1/26,CZF,201502,23.25,23.9,23.1,23.15,0.05,0.22%,694,23.15,626,23.15,23.25,25.1,19.25,,
2015/1/26,CZF,201503,23.25,23.75,23.15,23.25,0.15,0.65%,327,23.25,172,23.15,23.3,24,17,,
2015/1/26,CZF,201506,-,-,-,-,-,-,-,23.05,1,-,-,24.95,17.6,,
2015/1/26,CZF,201509,-,-,-,-,-,-,-,23.0,0,-,-,24,24,,
2015/1/26,CZF,201512,-,-,-,-,-,-,-,23.5,0,-,-,-,-,,
2015/1/27,CZF,201502,23.8,23.8,23.15,23.3,0.15,0.65%,310,23.3,632,23.25,23.4,25.1,19.25,,
2015/1/27,CZF,201503,23.7,23.7,23.25,23.25,0,0.00%,123,23.25,187,23.25,23.45,24,17,,
2015/1/27,CZF,201506,-,-,-,-,-,-,-,23.2,1,21.8,-,24.95,17.6,,
2015/1/27,CZF,201509,-,-,-,-,-,-,-,23.15,0,-,-,24,24,,
2015/1/27,CZF,201512,-,-,-,-,-,-,-,23.65,0,-,-,-,-,,
2015/1/28,CZF,201502,23.05,23.1,22.9,22.95,-0.35,-1.50%,409,22.95,586,22.9,23,25.1,19.25,,
2015/1/28,CZF,201503,23.1,23.1,22.9,22.95,-0.3,-1.29%,373,22.95,269,22.9,22.95,24,17,,
2015/1/28,CZF,201506,-,-,-,-,-,-,-,22.85,1,-,-,24.95,17.6,,
2015/1/28,CZF,201509,-,-,-,-,-,-,-,22.8,0,-,-,24,24,,
2015/1/28,CZF,201512,-,-,-,-,-,-,-,23.3,0,-,-,-,-,,
2015/1/29,CZF,201502,23,23.15,22.1,22.2,-0.75,-3.27%,691,22.2,523,22.15,22.4,25.1,19.25,,
2015/1/29,CZF,201503,23.2,23.2,22.15,22.45,-0.5,-2.18%,651,22.45,263,22.2,22.45,24,17,,
2015/1/29,CZF,201506,-,-,-,-,-,-,-,22.1,1,21.65,-,24.95,17.6,,
2015/1/29,CZF,201509,-,-,-,-,-,-,-,22.05,0,-,-,24,24,,
2015/1/29,CZF,201512,-,-,-,-,-,-,-,22.55,0,-,-,-,-,,
2015/1/30,CZF,201502,22.2,22.5,21.9,22.45,0.25,1.13%,678,22.45,549,22.4,22.5,25.1,19.25,,
2015/1/30,CZF,201503,22.35,22.45,21.85,22.45,0,0.00%,347,22.45,280,22.35,22.45,24,17,,
2015/1/30,CZF,201506,-,-,-,-,-,-,-,22.35,1,22.3,22.6,24.95,17.6,,
