交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DD1,201503,-,-,-,-,-,-,-,8.96,1187,-,-,9.88,9.27,,
2015/1/5,DD1,201506,-,-,-,-,-,-,-,8.96,243,-,-,10.15,9.13,,
2015/1/6,DD1,201503,-,-,-,-,-,-,-,8.87,1187,8.9,-,9.88,9.27,,
2015/1/6,DD1,201506,-,-,-,-,-,-,-,8.87,243,-,-,10.15,9.13,,
2015/1/7,DD1,201503,-,-,-,-,-,-,-,8.89,1187,-,-,9.88,9.27,,
2015/1/7,DD1,201506,-,-,-,-,-,-,-,8.89,243,-,-,10.15,9.13,,
2015/1/8,DD1,201503,-,-,-,-,-,-,-,8.97,1187,-,-,9.88,9.27,,
2015/1/8,DD1,201506,-,-,-,-,-,-,-,8.97,243,-,-,10.15,9.13,,
2015/1/9,DD1,201503,-,-,-,-,-,-,-,8.97,1187,-,-,9.88,9.27,,
2015/1/9,DD1,201506,-,-,-,-,-,-,-,8.97,243,-,-,10.15,9.13,,
2015/1/12,DD1,201503,-,-,-,-,-,-,-,8.92,1187,8.89,-,9.88,9.27,,
2015/1/12,DD1,201506,-,-,-,-,-,-,-,8.92,243,-,-,10.15,9.13,,
2015/1/13,DD1,201503,-,-,-,-,-,-,-,8.92,1187,8.9,-,9.88,9.27,,
2015/1/13,DD1,201506,-,-,-,-,-,-,-,8.92,243,-,-,10.15,9.13,,
2015/1/14,DD1,201503,-,-,-,-,-,-,-,8.9,1187,-,-,9.88,9.27,,
2015/1/14,DD1,201506,-,-,-,-,-,-,-,8.9,243,-,-,10.15,9.13,,
2015/1/15,DD1,201503,-,-,-,-,-,-,-,8.87,1187,-,-,9.88,9.27,,
2015/1/15,DD1,201506,-,-,-,-,-,-,-,8.87,243,-,-,10.15,9.13,,
2015/1/16,DD1,201503,-,-,-,-,-,-,-,8.8,1187,8.81,-,9.88,9.27,,
2015/1/16,DD1,201506,-,-,-,-,-,-,-,8.8,243,-,-,10.15,9.13,,
2015/1/19,DD1,201503,-,-,-,-,-,-,-,8.83,1187,-,-,9.88,9.27,,
2015/1/19,DD1,201506,-,-,-,-,-,-,-,8.83,243,-,-,10.15,9.13,,
2015/1/20,DD1,201503,-,-,-,-,-,-,-,8.92,1187,-,-,9.88,9.27,,
2015/1/20,DD1,201506,-,-,-,-,-,-,-,8.92,243,-,-,10.15,9.13,,
2015/1/21,DD1,201503,-,-,-,-,-,-,-,8.89,1187,8.85,-,9.88,9.27,,
2015/1/21,DD1,201506,-,-,-,-,-,-,-,8.89,243,-,-,10.15,9.13,,
2015/1/22,DD1,201503,-,-,-,-,-,-,-,8.91,1187,8.9,8.97,9.88,9.27,,
2015/1/22,DD1,201506,-,-,-,-,-,-,-,8.9,243,-,-,10.15,9.13,,
2015/1/23,DD1,201503,8.94,8.95,8.94,8.95,0.04,0.45%,20,8.95,1202,8.89,8.96,9.88,8.94,,
2015/1/23,DD1,201506,-,-,-,-,-,-,-,8.92,243,-,-,10.15,9.13,,
2015/1/26,DD1,201503,-,-,-,-,-,-,-,8.89,1202,8.85,8.92,9.88,8.94,,
2015/1/26,DD1,201506,-,-,-,-,-,-,-,8.86,243,-,-,10.15,9.13,,
2015/1/27,DD1,201503,-,-,-,-,-,-,-,8.93,1202,8.9,8.97,9.88,8.94,,
2015/1/27,DD1,201506,-,-,-,-,-,-,-,8.92,243,-,-,10.15,9.13,,
2015/1/28,DD1,201503,8.88,8.88,8.88,8.88,-0.05,-0.56%,25,8.9,1227,8.85,8.91,9.88,8.88,,
2015/1/28,DD1,201506,-,-,-,-,-,-,-,8.89,243,-,-,10.15,9.13,,
2015/1/29,DD1,201503,8.87,8.87,8.85,8.85,-0.05,-0.56%,150,8.85,1236,-,8.88,9.88,8.85,,
2015/1/29,DD1,201506,-,-,-,-,-,-,-,8.86,243,-,-,10.15,9.13,,
2015/1/30,DD1,201503,8.85,8.85,8.83,8.83,-0.02,-0.23%,55,8.83,1241,-,8.88,9.88,8.83,,
2015/1/30,DD1,201506,-,-,-,-,-,-,-,8.8,243,-,-,10.15,9.13,,
2015/2/2,DD1,201503,8.83,8.83,8.83,8.83,0,0.00%,25,8.83,1216,8.82,8.89,9.88,8.83,,
2015/2/2,DD1,201506,-,-,-,-,-,-,-,8.78,243,-,-,10.15,9.13,,
2015/2/3,DD1,201503,-,-,-,-,-,-,-,8.84,1216,8.8,8.87,9.88,8.83,,
2015/2/3,DD1,201506,-,-,-,-,-,-,-,8.8,243,-,-,10.15,9.13,,
2015/2/4,DD1,201503,8.86,8.87,8.84,8.87,0.03,0.34%,50,8.85,1202,8.81,8.88,9.88,8.83,,
2015/2/4,DD1,201506,-,-,-,-,-,-,-,8.81,243,-,-,10.15,9.13,,
2015/2/5,DD1,201503,-,-,-,-,-,-,-,8.82,1202,8.81,8.87,9.88,8.83,,
2015/2/5,DD1,201506,-,-,-,-,-,-,-,8.81,243,-,-,10.15,9.13,,
2015/2/6,DD1,201503,-,-,-,-,-,-,-,8.8,1202,8.79,8.86,9.88,8.83,,
2015/2/6,DD1,201506,-,-,-,-,-,-,-,8.79,243,-,-,10.15,9.13,,
2015/2/9,DD1,201503,-,-,-,-,-,-,-,8.82,1202,8.82,8.89,9.88,8.83,,
2015/2/9,DD1,201506,-,-,-,-,-,-,-,8.83,243,-,-,10.15,9.13,,
2015/2/10,DD1,201503,-,-,-,-,-,-,-,8.86,1202,8.83,8.9,9.88,8.83,,
2015/2/10,DD1,201506,-,-,-,-,-,-,-,8.88,243,-,-,10.15,9.13,,
2015/2/11,DD1,201503,-,-,-,-,-,-,-,8.83,1202,-,8.89,9.88,8.83,,
2015/2/11,DD1,201506,-,-,-,-,-,-,-,8.85,243,-,-,10.15,9.13,,
2015/2/12,DD1,201503,-,-,-,-,-,-,-,8.85,1202,8.81,8.88,9.88,8.83,,
2015/2/12,DD1,201506,-,-,-,-,-,-,-,8.85,243,-,-,10.15,9.13,,
2015/2/13,DD1,201503,-,-,-,-,-,-,-,8.89,1202,8.84,8.91,9.88,8.83,,
