交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/07/26,DF1,201808  ,40.4,42.15,40.05,40.55,0.75,1.88%,587.0,40.55,4308,40.75,40.95,45.9,40.05,,一般,,
2018/07/26,DF1,201809  ,40.55,42,40.55,41.35,1.65,4.16%,227.0,40.85,762,40.55,40.85,45.9,40.55,,一般,,
2018/07/27,DF1,201808  ,40.6,41.6,40.6,40.6,0.05,0.12%,195.0,40.6,4294,40.5,40.75,45.9,40.05,,一般,,
2018/07/27,DF1,201809  ,40.95,41.5,40.6,40.6,-0.25,-0.61%,63.0,40.6,760,40.55,40.75,45.9,40.55,,一般,,
2018/07/30,DF1,201808  ,40.95,41.3,40.85,40.85,0.25,0.62%,165.0,40.85,4256,40.95,41.15,45.9,40.05,,一般,,
2018/07/30,DF1,201809  ,41.25,41.25,41,41,0.4,0.99%,32.0,40.9,768,40.95,41.15,45.9,40.55,,一般,,
2018/07/31,DF1,201808  ,40.35,40.4,39.2,39.55,-1.3,-3.18%,81.0,39.6,4249,39.55,39.65,45.9,39.2,,一般,,
2018/07/31,DF1,201809  ,39.9,39.9,39.45,39.45,-1.45,-3.55%,12.0,39.45,768,39.55,39.65,45.9,39.45,,一般,,
2018/07/26,DF1,201808/201809     ,0.05,0.05,0.05,0.05,-,-,50.0,-,-,-0.16,0.01,0.05,-0.07,,一般,38.0,
2018/07/27,DF1,201808/201809     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,11.0,
2018/07/30,DF1,201808/201809     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,14.0,
2018/07/31,DF1,201808/201809     ,0,0,-0.01,-0.01,-,-,5.0,-,-,-0.01,0.05,0.05,-0.07,,一般,5.0,
2018/08/01,DF1,201808  ,39.8,41.25,39.8,41,1.4,3.54%,556.0,41.05,3891,40.9,41,45.9,39.2,,一般,,
2018/08/01,DF1,201809  ,40.8,41.15,40.6,41.15,1.7,4.31%,53.0,41.15,763,40.9,41.05,45.9,39.45,,一般,,
2018/08/02,DF1,201808  ,40.6,41.1,40.5,40.95,-0.1,-0.24%,160.0,40.8,3852,40.7,40.85,45.9,39.2,,一般,,
2018/08/02,DF1,201809  ,40.6,41.05,40.6,40.9,-0.25,-0.61%,19.0,40.8,763,40.7,40.9,45.9,39.45,,一般,,
2018/08/03,DF1,201808  ,41.2,41.25,40.6,40.6,-0.2,-0.49%,122.0,40.6,3794,40.5,40.75,45.9,39.2,,一般,,
2018/08/03,DF1,201809  ,41,41.2,40.85,40.9,0.1,0.25%,36.0,40.6,782,40.55,40.75,45.9,39.45,,一般,,
2018/08/06,DF1,201808  ,40.5,40.75,40.45,40.5,-0.1,-0.25%,946.0,40.5,3232,40.4,40.55,45.9,39.2,,一般,,
2018/08/06,DF1,201809  ,40.7,40.7,40.5,40.5,-0.1,-0.25%,546.0,40.5,1326,40.35,40.55,45.9,39.45,,一般,,
2018/08/07,DF1,201808  ,40.55,40.55,40.25,40.25,-0.25,-0.62%,537.0,40.25,2798,40.25,40.35,45.9,39.2,,一般,,
2018/08/07,DF1,201809  ,40.65,40.65,40.25,40.35,-0.15,-0.37%,518.0,40.35,1770,40.3,40.4,45.9,39.45,,一般,,
2018/08/08,DF1,201808  ,40.5,41,40.45,40.6,0.35,0.87%,597.0,40.7,2754,40.5,40.65,45.9,39.2,,一般,,
2018/08/08,DF1,201809  ,40.6,41.05,40.6,40.65,0.3,0.74%,19.0,40.8,1770,40.6,40.75,45.9,39.45,,一般,,
2018/08/09,DF1,201808  ,40.55,40.8,40.3,40.6,-0.1,-0.25%,256.0,40.6,2553,40.65,40.7,45.9,39.2,,一般,,
2018/08/09,DF1,201809  ,40.65,40.75,40.25,40.75,-0.05,-0.12%,164.0,40.75,1908,40.65,40.75,45.9,39.45,,一般,,
2018/08/10,DF1,201808  ,40.65,42,40.65,42,1.4,3.45%,527.0,42,2215,41.75,42,45.9,39.2,,一般,,
2018/08/10,DF1,201809  ,41.15,41.8,41.15,41.8,1.05,2.58%,436.0,41.8,2310,41.75,42.05,45.9,39.45,,一般,,
2018/08/13,DF1,201808  ,42.35,43.6,41.95,42.25,0.25,0.60%,1014.0,42.25,1485,42.2,42.4,45.9,39.2,,一般,,
2018/08/13,DF1,201809  ,43,43.65,41.95,42.3,0.5,1.20%,538.0,42.3,2798,42.15,42.4,45.9,39.45,,一般,,
2018/08/14,DF1,201808  ,42.85,43.5,42.65,43.25,1,2.37%,217.0,43.35,1314,43.3,43.5,45.9,39.2,,一般,,
2018/08/14,DF1,201809  ,42.85,43.45,42.65,43.3,1,2.36%,84.0,43.45,2794,43.3,43.45,45.9,39.45,,一般,,
2018/08/15,DF1,201808  ,43.3,43.3,42.3,42.45,-0.9,-2.08%,591.0,0,998,42.45,42.5,45.9,39.2,,一般,,
2018/08/15,DF1,201809  ,43.35,43.35,42.4,42.4,-1.05,-2.42%,444.0,42.5,3191,42.35,42.45,45.9,39.45,,一般,,
2018/08/16,DF1,201809  ,41.55,42.05,41.45,41.75,-0.75,-1.76%,42.0,42.1,3188,42,42.15,45.9,39.45,,一般,,
2018/08/17,DF1,201809  ,42.8,42.95,42.2,42.2,0.1,0.24%,52.0,42.2,3206,42.15,42.35,45.9,39.45,,一般,,
2018/08/20,DF1,201809  ,42.5,42.5,42.05,42.1,-0.1,-0.24%,16.0,42.1,3207,42,42.25,45.9,39.45,,一般,,
2018/08/21,DF1,201809  ,42.35,42.8,42.15,42.75,0.65,1.54%,84.0,42.8,3196,42.65,42.8,45.9,39.45,,一般,,
2018/08/22,DF1,201809  ,42.75,43.2,42.75,42.95,0.15,0.35%,42.0,43,3196,42.75,43,45.9,39.45,,一般,,
2018/08/23,DF1,201809  ,43.2,43.3,42.8,42.95,-0.05,-0.12%,23.0,43.05,3196,42.95,43.05,45.9,39.45,,一般,,
2018/08/24,DF1,201809  ,42.7,42.95,42.65,42.65,-0.4,-0.93%,42.0,42.75,3163,42.65,42.75,45.9,39.45,,一般,,
2018/08/27,DF1,201809  ,43,43.5,43,43.3,0.55,1.29%,119.0,43.3,3121,43.3,43.35,45.9,39.45,,一般,,
2018/08/28,DF1,201809  ,43.45,43.45,43.05,43.1,-0.2,-0.46%,152.0,43.1,3013,42.95,43.1,45.9,39.45,,一般,,
2018/08/29,DF1,201809  ,43.15,43.3,43.15,43.25,0.15,0.35%,92.0,43.25,2943,43.2,43.35,45.9,39.45,,一般,,
