交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DJF,201501,341,343.5,338.5,343,-3,-0.87%,30,343.0,113,343,345.5,355.5,329,,
2015/1/5,DJF,201502,340,343,340,343,-4.5,-1.29%,8,343.0,15,342.5,345,348,332.5,,
2015/1/5,DJF,201503,-,-,-,-,-,-,-,343.0,4,339.5,345.5,337.5,301.5,,
2015/1/5,DJF,201506,-,-,-,-,-,-,-,344.0,0,-,-,-,-,,
2015/1/5,DJF,201509,-,-,-,-,-,-,-,345.5,0,-,-,-,-,,
2015/1/6,DJF,201501,340,342.5,338,341.5,-1.5,-0.44%,20,341.5,110,340,344,355.5,329,,
2015/1/6,DJF,201502,341,341,341,341,-2,-0.58%,1,341.0,15,339.5,343.5,348,332.5,,
2015/1/6,DJF,201503,-,-,-,-,-,-,-,341.5,4,336,344,337.5,301.5,,
2015/1/6,DJF,201506,-,-,-,-,-,-,-,342.5,0,-,-,-,-,,
2015/1/6,DJF,201509,-,-,-,-,-,-,-,344.0,0,-,-,-,-,,
2015/1/7,DJF,201501,339.5,340,337.5,337.5,-4,-1.17%,15,337.5,111,336.5,338.5,355.5,329,,
2015/1/7,DJF,201502,339,339,336,337.5,-3.5,-1.03%,3,337.5,18,336,338.5,348,332.5,,
2015/1/7,DJF,201503,-,-,-,-,-,-,-,337.5,4,335,339,337.5,301.5,,
2015/1/7,DJF,201506,-,-,-,-,-,-,-,338.5,0,-,-,-,-,,
2015/1/7,DJF,201509,-,-,-,-,-,-,-,340.0,0,-,-,-,-,,
2015/1/8,DJF,201501,343.5,348,343.5,348,10.5,3.11%,53,348.0,111,347,349,355.5,329,,
2015/1/8,DJF,201502,346,347.5,346,347,9.5,2.81%,9,347.0,15,346.5,349,348,332.5,,
2015/1/8,DJF,201503,-,-,-,-,-,-,-,348.0,4,345,349.5,337.5,301.5,,
2015/1/8,DJF,201506,-,-,-,-,-,-,-,349.0,0,341,349.5,-,-,,
2015/1/8,DJF,201509,-,-,-,-,-,-,-,350.5,0,-,350,-,-,,
2015/1/9,DJF,201501,357,357.5,342,342,-6,-1.72%,72,342.0,88,341.5,342.5,357.5,329,,
