交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DLF,201501,93.1,93.1,93.1,93.1,-0.5,-0.53%,3,93.1,30,92.7,93.4,93.8,91.6,,
2015/1/5,DLF,201502,93.1,93.2,93.1,93.2,-0.2,-0.21%,6,93.2,6,93.1,93.4,93.4,92.3,,
2015/1/5,DLF,201503,-,-,-,-,-,-,-,93.1,71,90.1,-,96.8,91.1,,
2015/1/5,DLF,201506,-,-,-,-,-,-,-,93.1,185,91.7,93.7,92.7,90.7,,
2015/1/5,DLF,201509,-,-,-,-,-,-,-,93.8,42,-,-,93.6,91,,
2015/1/6,DLF,201501,92.3,92.3,92.1,92.1,-1,-1.07%,3,92.1,30,92.2,93.5,93.8,91.6,,
2015/1/6,DLF,201502,92.8,92.8,92.6,92.6,-0.6,-0.64%,2,92.6,5,92.2,92.9,93.4,92.3,,
2015/1/6,DLF,201503,-,-,-,-,-,-,-,92.1,71,88.8,-,96.8,91.1,,
2015/1/6,DLF,201506,-,-,-,-,-,-,-,92.1,185,91.7,93.7,92.7,90.7,,
2015/1/6,DLF,201509,-,-,-,-,-,-,-,92.8,42,92.1,-,93.6,91,,
2015/1/7,DLF,201501,92.7,92.7,92.5,92.6,0.5,0.54%,8,92.6,34,92,92.6,93.8,91.6,,
2015/1/7,DLF,201502,-,-,-,-,-,-,-,92.4,5,92,92.7,93.4,92.3,,
2015/1/7,DLF,201503,-,-,-,-,-,-,-,92.6,71,91.7,-,96.8,91.1,,
2015/1/7,DLF,201506,-,-,-,-,-,-,-,92.6,185,91.7,93.7,92.7,90.7,,
2015/1/7,DLF,201509,-,-,-,-,-,-,-,93.3,42,92.2,-,93.6,91,,
2015/1/8,DLF,201501,92.9,93.3,92.9,93.1,0.5,0.54%,6,93.1,32,92.8,93.5,93.8,91.6,,
2015/1/8,DLF,201502,-,-,-,-,-,-,-,92.9,5,92.8,93.7,93.4,92.3,,
2015/1/8,DLF,201503,-,-,-,-,-,-,-,93.1,71,88.8,-,96.8,91.1,,
2015/1/8,DLF,201506,-,-,-,-,-,-,-,93.1,185,91.7,93.7,92.7,90.7,,
2015/1/8,DLF,201509,-,-,-,-,-,-,-,93.8,42,-,-,93.6,91,,
2015/1/9,DLF,201501,-,-,-,-,-,-,-,93.2,32,92.8,93.5,93.8,91.6,,
2015/1/9,DLF,201502,-,-,-,-,-,-,-,93.0,5,92.7,93.5,93.4,92.3,,
2015/1/9,DLF,201503,-,-,-,-,-,-,-,93.2,71,91.7,-,96.8,91.1,,
2015/1/9,DLF,201506,-,-,-,-,-,-,-,93.2,185,91.7,93.7,92.7,90.7,,
