交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DNF,201501,19.25,19.4,19.25,19.3,-0.3,-1.53%,64,19.3,189,19.25,19.4,19.75,18.7,,
2015/1/5,DNF,201502,19.3,19.4,19.25,19.3,-0.2,-1.03%,46,19.3,149,19.3,19.4,19.65,18.8,,
2015/1/5,DNF,201503,-,-,-,-,-,-,-,19.4,30,-,20.4,19.2,18.7,,
2015/1/5,DNF,201506,-,-,-,-,-,-,-,19.4,17,-,-,19.2,18.5,,
2015/1/5,DNF,201509,-,-,-,-,-,-,-,19.6,36,-,20.4,19.7,18.75,,
2015/1/6,DNF,201501,19.1,19.1,18.9,18.9,-0.4,-2.07%,10,18.9,190,18.8,19,19.75,18.7,,
2015/1/6,DNF,201502,19.05,19.05,18.9,18.9,-0.4,-2.07%,13,18.9,148,18.85,19,19.65,18.8,,
2015/1/6,DNF,201503,-,-,-,-,-,-,-,19.0,30,18.8,20,19.2,18.7,,
2015/1/6,DNF,201506,-,-,-,-,-,-,-,19.0,17,-,-,19.2,18.5,,
2015/1/6,DNF,201509,-,-,-,-,-,-,-,19.2,36,-,20,19.7,18.75,,
2015/1/7,DNF,201501,18.95,19,18.9,19,0.1,0.53%,7,19.0,191,18.85,19,19.75,18.7,,
2015/1/7,DNF,201502,18.95,18.95,18.95,18.95,0.05,0.26%,10,18.95,138,18.9,19.05,19.65,18.8,,
2015/1/7,DNF,201503,-,-,-,-,-,-,-,19.1,30,18.95,20,19.2,18.7,,
2015/1/7,DNF,201506,-,-,-,-,-,-,-,19.1,17,-,-,19.2,18.5,,
2015/1/7,DNF,201509,-,-,-,-,-,-,-,19.3,36,-,20,19.7,18.75,,
2015/1/8,DNF,201501,19.2,19.25,19.15,19.2,0.2,1.05%,14,19.2,183,19.05,19.45,19.75,18.7,,
2015/1/8,DNF,201502,19.15,19.2,19.15,19.2,0.25,1.32%,31,19.2,138,19.1,19.4,19.65,18.8,,
2015/1/8,DNF,201503,-,-,-,-,-,-,-,19.3,30,-,-,19.2,18.7,,
2015/1/8,DNF,201506,-,-,-,-,-,-,-,19.3,17,-,-,19.2,18.5,,
2015/1/8,DNF,201509,-,-,-,-,-,-,-,19.5,36,-,20.45,19.7,18.75,,
2015/1/9,DNF,201501,19.25,19.35,19.25,19.35,0.15,0.78%,6,19.35,180,19.25,19.4,19.75,18.7,,
2015/1/9,DNF,201502,19.25,19.35,19.25,19.35,0.15,0.78%,18,19.35,142,19.25,19.4,19.65,18.8,,
2015/1/9,DNF,201503,-,-,-,-,-,-,-,19.4,30,-,20.4,19.2,18.7,,
2015/1/9,DNF,201506,-,-,-,-,-,-,-,19.4,17,-,-,19.2,18.5,,
2015/1/9,DNF,201509,-,-,-,-,-,-,-,19.65,36,-,20.4,19.7,18.75,,
2015/1/12,DNF,201501,19.2,19.35,19.2,19.3,-0.05,-0.26%,17,19.3,177,19.2,19.45,19.75,18.7,,
2015/1/12,DNF,201502,19.25,19.3,19.25,19.3,-0.05,-0.26%,16,19.3,136,19.15,19.4,19.65,18.8,,
2015/1/12,DNF,201503,-,-,-,-,-,-,-,19.35,30,-,20.45,19.2,18.7,,
2015/1/12,DNF,201506,-,-,-,-,-,-,-,19.35,17,-,-,19.2,18.5,,
2015/1/12,DNF,201509,-,-,-,-,-,-,-,19.6,36,-,20.45,19.7,18.75,,
2015/1/13,DNF,201501,19.45,19.45,19.4,19.4,0.1,0.52%,12,19.4,167,19.35,19.5,19.75,18.7,,
2015/1/13,DNF,201502,19.3,19.45,19.3,19.4,0.1,0.52%,28,19.4,139,19.4,19.45,19.65,18.8,,
2015/1/13,DNF,201503,-,-,-,-,-,-,-,19.45,30,-,19.95,19.2,18.7,,
2015/1/13,DNF,201506,-,-,-,-,-,-,-,19.45,17,-,20.05,19.2,18.5,,
2015/1/13,DNF,201509,-,-,-,-,-,-,-,19.7,36,-,20.2,19.7,18.75,,
2015/1/14,DNF,201501,19.45,19.45,19.3,19.3,-0.1,-0.52%,43,19.3,183,19.3,19.45,19.75,18.7,,
2015/1/14,DNF,201502,19.45,19.45,19.3,19.3,-0.1,-0.52%,23,19.3,149,19.3,19.45,19.65,18.8,,
2015/1/14,DNF,201503,-,-,-,-,-,-,-,19.35,30,-,20.45,19.2,18.7,,
2015/1/14,DNF,201506,-,-,-,-,-,-,-,19.35,17,-,20.45,19.2,18.5,,
2015/1/14,DNF,201509,-,-,-,-,-,-,-,19.6,36,-,20.45,19.7,18.75,,
2015/1/15,DNF,201501,19.25,19.25,19.25,19.25,-0.05,-0.26%,1,19.25,182,19.15,19.45,19.75,18.7,,
2015/1/15,DNF,201502,19.4,19.45,19.25,19.25,-0.05,-0.26%,27,19.25,139,19.1,19.45,19.65,18.8,,
2015/1/15,DNF,201503,-,-,-,-,-,-,-,19.1,30,-,20.45,19.2,18.7,,
2015/1/15,DNF,201506,-,-,-,-,-,-,-,19.1,17,-,20.45,19.2,18.5,,
2015/1/15,DNF,201509,-,-,-,-,-,-,-,19.55,36,-,20.45,19.7,18.75,,
2015/1/16,DNF,201501,18.9,18.95,18.9,18.95,-0.3,-1.56%,36,18.95,182,18.85,19,19.75,18.7,,
2015/1/16,DNF,201502,19.05,19.05,18.9,19,-0.25,-1.30%,138,19.0,80,18.9,19,19.65,18.8,,
2015/1/16,DNF,201503,-,-,-,-,-,-,-,18.85,30,-,20,19.2,18.7,,
2015/1/16,DNF,201506,-,-,-,-,-,-,-,18.85,17,-,20,19.2,18.5,,
2015/1/16,DNF,201509,-,-,-,-,-,-,-,19.25,36,-,20,19.7,18.75,,
2015/1/19,DNF,201501,19.1,19.1,18.8,18.85,-0.1,-0.53%,19,18.85,169,18.8,19.05,19.75,18.7,,
2015/1/19,DNF,201502,19.1,19.1,18.85,18.85,-0.15,-0.79%,15,18.85,69,18.85,19.05,19.65,18.8,,
2015/1/19,DNF,201503,-,-,-,-,-,-,-,18.85,30,18.85,20.05,19.2,18.7,,
2015/1/19,DNF,201506,-,-,-,-,-,-,-,18.85,17,-,20.05,19.2,18.5,,
2015/1/19,DNF,201509,-,-,-,-,-,-,-,19.15,36,-,20.05,19.7,18.75,,
2015/1/20,DNF,201501,18.95,18.95,18.9,18.9,0.05,0.27%,27,18.9,168,18.8,18.95,19.75,18.7,,
2015/1/20,DNF,201502,18.95,19,18.95,18.95,0.1,0.53%,26,18.95,62,18.85,19,19.65,18.8,,
2015/1/20,DNF,201503,-,-,-,-,-,-,-,18.9,30,18.95,19.95,19.2,18.7,,
