交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DOF,201501,15.35,15.35,15.2,15.3,-0.1,-0.65%,701,15.3,1109,15.2,15.4,15.65,14.65,,
2015/1/5,DOF,201502,15.3,15.35,15.25,15.35,0,0.00%,555,15.35,286,15.2,15.35,15.55,14.95,,
2015/1/5,DOF,201503,-,-,-,-,-,-,-,15.25,13,-,-,16.3,14.65,,
2015/1/5,DOF,201506,-,-,-,-,-,-,-,15.4,40,-,-,16.3,14.6,,
2015/1/5,DOF,201509,-,-,-,-,-,-,-,15.5,0,-,-,-,-,,
2015/1/6,DOF,201501,15.15,15.15,14.8,14.8,-0.5,-3.27%,575,14.8,966,14.75,14.85,15.65,14.65,,
2015/1/6,DOF,201502,15.15,15.15,14.8,14.8,-0.55,-3.58%,529,14.8,316,14.75,14.9,15.55,14.8,,
2015/1/6,DOF,201503,-,-,-,-,-,-,-,14.75,13,14.6,-,16.3,14.65,,
2015/1/6,DOF,201506,-,-,-,-,-,-,-,14.9,40,-,-,16.3,14.6,,
2015/1/6,DOF,201509,-,-,-,-,-,-,-,15.0,0,-,-,-,-,,
2015/1/7,DOF,201501,14.9,15,14.85,14.85,0.05,0.34%,385,14.85,1075,14.8,14.95,15.65,14.65,,
2015/1/7,DOF,201502,14.85,14.95,14.85,14.95,0.15,1.01%,223,14.95,325,14.75,15,15.55,14.8,,
2015/1/7,DOF,201503,-,-,-,-,-,-,-,14.8,13,14.6,-,16.3,14.65,,
2015/1/7,DOF,201506,-,-,-,-,-,-,-,14.95,40,-,-,16.3,14.6,,
2015/1/7,DOF,201509,-,-,-,-,-,-,-,15.05,0,-,-,-,-,,
2015/1/8,DOF,201501,15,15.3,15,15.3,0.45,3.03%,445,15.3,902,15.15,15.3,15.65,14.65,,
2015/1/8,DOF,201502,15.1,15.3,15.1,15.25,0.3,2.01%,287,15.25,309,15.2,15.25,15.55,14.8,,
2015/1/8,DOF,201503,-,-,-,-,-,-,-,15.25,13,15.15,-,16.3,14.65,,
2015/1/8,DOF,201506,-,-,-,-,-,-,-,15.4,40,15.1,-,16.3,14.6,,
2015/1/8,DOF,201509,-,-,-,-,-,-,-,15.5,0,-,-,-,-,,
2015/1/9,DOF,201501,15.45,15.45,15.3,15.35,0.05,0.33%,574,15.35,1000,15.1,15.4,15.65,14.65,,
2015/1/9,DOF,201502,15.4,15.4,15.3,15.35,0.1,0.66%,95,15.35,327,15.05,15.4,15.55,14.8,,
2015/1/9,DOF,201503,-,-,-,-,-,-,-,15.3,13,-,-,16.3,14.65,,
2015/1/9,DOF,201506,-,-,-,-,-,-,-,15.45,40,-,-,16.3,14.6,,
2015/1/9,DOF,201509,-,-,-,-,-,-,-,15.55,0,15.3,-,-,-,,
2015/1/12,DOF,201501,15.2,15.35,15.2,15.25,-0.1,-0.65%,315,15.25,1038,15.25,15.3,15.65,14.65,,
2015/1/12,DOF,201502,15.4,15.4,15.2,15.3,-0.05,-0.33%,311,15.3,355,15.25,15.3,15.55,14.8,,
2015/1/12,DOF,201503,15.3,15.3,15.3,15.3,0,0.00%,5,15.3,18,15.05,15.35,16.3,14.65,,
2015/1/12,DOF,201506,-,-,-,-,-,-,-,15.35,40,-,-,16.3,14.6,,
2015/1/12,DOF,201509,-,-,-,-,-,-,-,15.45,0,-,-,-,-,,
2015/1/13,DOF,201501,15.3,15.4,15.3,15.35,0.1,0.66%,351,15.35,1049,15.3,15.45,15.65,14.65,,
2015/1/13,DOF,201502,15.3,15.4,15.3,15.35,0.05,0.33%,507,15.35,361,15.25,15.4,15.55,14.8,,
2015/1/13,DOF,201503,-,-,-,-,-,-,-,15.4,18,15.2,15.4,16.3,14.65,,
2015/1/13,DOF,201506,-,-,-,-,-,-,-,15.45,40,-,-,16.3,14.6,,
