交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DPF,201501,18.6,18.6,18.5,18.5,-0.1,-0.54%,21,18.5,76,18.45,18.55,18.9,18.05,,
2015/1/5,DPF,201502,18.6,18.6,18.5,18.5,-0.1,-0.54%,40,18.5,18,18.5,18.65,18.6,18.4,,
2015/1/5,DPF,201503,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/5,DPF,201506,-,-,-,-,-,-,-,18.4,1,-,-,18.55,18.55,,
2015/1/5,DPF,201509,-,-,-,-,-,-,-,18.75,0,-,-,-,-,,
2015/1/6,DPF,201501,18.3,18.3,18.2,18.2,-0.3,-1.62%,35,18.2,80,18.1,18.25,18.9,18.05,,
2015/1/6,DPF,201502,18.35,18.35,18.25,18.25,-0.25,-1.35%,7,18.25,19,18.15,18.25,18.6,18.25,,
2015/1/6,DPF,201503,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/6,DPF,201506,-,-,-,-,-,-,-,18.1,1,-,-,18.55,18.55,,
2015/1/6,DPF,201509,-,-,-,-,-,-,-,18.45,0,-,-,-,-,,
2015/1/7,DPF,201501,18.15,18.25,18.15,18.25,0.05,0.27%,31,18.25,75,18.15,18.3,18.9,18.05,,
2015/1/7,DPF,201502,-,-,-,-,-,-,-,18.3,19,18.15,18.3,18.6,18.25,,
2015/1/7,DPF,201503,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/7,DPF,201506,-,-,-,-,-,-,-,18.15,1,-,-,18.55,18.55,,
2015/1/7,DPF,201509,-,-,-,-,-,-,-,18.5,0,-,-,-,-,,
2015/1/8,DPF,201501,18.4,18.55,18.4,18.5,0.25,1.37%,70,18.5,81,18.5,18.65,18.9,18.05,,
2015/1/8,DPF,201502,18.55,18.55,18.55,18.55,0.25,1.37%,5,18.55,24,18.45,18.65,18.6,18.25,,
