交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DQ1,201503,16.45,16.45,16.45,16.45,1,6.47%,5,16.5,242,16.35,-,16.45,10.8,,
2015/1/6,DQ1,201503,16.1,16.1,16.1,16.1,-0.4,-2.42%,1,16.15,243,15.85,16.55,16.45,10.8,,
2015/1/7,DQ1,201503,-,-,-,-,-,-,-,16.35,243,16.15,-,16.45,10.8,,
2015/1/8,DQ1,201503,-,-,-,-,-,-,-,17.25,243,-,-,16.45,10.8,,
2015/1/9,DQ1,201503,-,-,-,-,-,-,-,16.95,243,16.75,-,16.45,10.8,,
2015/1/12,DQ1,201503,-,-,-,-,-,-,-,16.9,243,-,-,16.45,10.8,,
2015/1/13,DQ1,201503,-,-,-,-,-,-,-,16.85,243,16.5,-,16.45,10.8,,
2015/1/14,DQ1,201503,-,-,-,-,-,-,-,17.0,243,16.9,-,16.45,10.8,,
2015/1/15,DQ1,201503,-,-,-,-,-,-,-,16.85,243,16.6,-,16.45,10.8,,
2015/1/16,DQ1,201503,16.1,16.15,16.1,16.15,-0.7,-4.15%,3,16.3,244,16.05,16.55,16.45,10.8,,
2015/1/19,DQ1,201503,-,-,-,-,-,-,-,16.75,244,-,-,16.45,10.8,,
2015/1/20,DQ1,201503,-,-,-,-,-,-,-,16.65,244,-,-,16.45,10.8,,
2015/1/21,DQ1,201503,-,-,-,-,-,-,-,15.5,244,-,15.5,16.45,10.8,,
2015/1/22,DQ1,201503,15.55,15.85,15.5,15.85,0.35,2.26%,64,15.85,279,15.85,16.05,16.45,10.8,,
2015/1/23,DQ1,201503,15.9,15.9,15.85,15.85,0,0.00%,3,16.0,278,15.75,-,16.45,10.8,,
2015/1/26,DQ1,201503,16.05,16.05,15.95,15.95,-0.05,-0.31%,4,15.95,278,15.9,-,16.45,10.8,,
2015/1/27,DQ1,201503,-,-,-,-,-,-,-,16.0,278,15.9,16.3,16.45,10.8,,
2015/1/28,DQ1,201503,-,-,-,-,-,-,-,16.05,278,15.95,16,16.45,10.8,,
2015/1/29,DQ1,201503,16,16,15.95,15.95,-0.1,-0.62%,6,16.1,278,16.05,16.3,16.45,10.8,,
2015/1/30,DQ1,201503,15.35,15.4,15.35,15.4,-0.7,-4.35%,8,15.5,279,15.45,15.65,16.45,10.8,,
2015/2/2,DQ1,201503,15.45,15.55,15.45,15.55,0.05,0.32%,2,15.6,279,15.45,15.7,16.45,10.8,,
2015/2/3,DQ1,201503,15.95,15.95,15.95,15.95,0.35,2.24%,1,15.95,280,15.85,16.15,16.45,10.8,,
2015/2/4,DQ1,201503,-,-,-,-,-,-,-,15.85,280,15.8,16.15,16.45,10.8,,
2015/2/5,DQ1,201503,-,-,-,-,-,-,-,15.85,280,15.75,16.05,16.45,10.8,,
2015/2/6,DQ1,201503,-,-,-,-,-,-,-,15.9,280,15.85,16.05,16.45,10.8,,
2015/2/9,DQ1,201503,-,-,-,-,-,-,-,15.8,280,15.7,15.95,16.45,10.8,,
2015/2/10,DQ1,201503,15.75,15.8,15.7,15.75,-0.05,-0.32%,132,15.85,342,15.7,16,16.45,10.8,,
2015/2/11,DQ1,201503,16.7,16.85,16.7,16.85,1,6.31%,2,16.95,343,16.9,-,16.85,10.8,,
2015/2/12,DQ1,201503,16.7,16.7,16.7,16.7,-0.25,-1.47%,1,16.7,342,16.55,-,16.85,10.8,,
2015/2/13,DQ1,201503,-,-,-,-,-,-,-,16.65,342,16.55,16.9,16.85,10.8,,
2015/2/24,DQ1,201503,16.4,16.4,16.3,16.3,-0.35,-2.10%,2,16.35,341,16.25,16.45,16.85,10.8,,
2015/2/25,DQ1,201503,16.4,16.4,16.35,16.35,0,0.00%,5,16.3,342,-,-,16.85,10.8,,
2015/2/26,DQ1,201503,16.3,16.3,16.3,16.3,0,0.00%,1,16.35,342,16,16.65,16.85,10.8,,
2015/3/2,DQ1,201503,15.8,15.8,15.3,15.3,-1.05,-6.42%,7,15.45,344,15.3,15.7,16.85,10.8,,
2015/3/3,DQ1,201503,15.5,15.55,15.4,15.5,0.05,0.32%,39,15.65,378,15.55,16,16.85,10.8,,
2015/3/4,DQ1,201503,15.55,15.55,15.55,15.55,-0.1,-0.64%,11,15.7,383,15.6,-,16.85,10.8,,
2015/3/5,DQ1,201503,15.55,15.55,15.45,15.45,-0.25,-1.59%,13,15.45,383,15.4,15.5,16.85,10.8,,
2015/3/6,DQ1,201503,15.25,15.5,15.25,15.5,0.05,0.32%,147,15.55,382,15.5,15.65,16.85,10.8,,
2015/3/9,DQ1,201503,15.35,15.4,15.35,15.4,-0.15,-0.96%,40,15.35,383,15.3,15.4,16.85,10.8,,
2015/3/10,DQ1,201503,15.4,15.4,15.25,15.4,0.05,0.33%,18,15.3,384,15.2,15.3,16.85,10.8,,
2015/3/11,DQ1,201503,15.15,15.55,15.15,15.45,0.15,0.98%,224,15.35,347,15.3,15.45,16.85,10.8,,
2015/3/12,DQ1,201503,15.7,16.1,15.7,16,0.65,4.23%,339,15.95,333,15.9,16.2,16.85,10.8,,
2015/3/13,DQ1,201503,16,16.1,15.9,15.9,-0.05,-0.31%,128,15.75,332,15.7,16,16.85,10.8,,
2015/3/16,DQ1,201503,16.3,16.3,16.15,16.15,0.4,2.54%,52,16.0,332,15.8,16.15,16.85,10.8,,
2015/3/17,DQ1,201503,16.2,16.2,15.9,15.9,-0.1,-0.63%,6,16.0,335,15.85,16.05,16.85,10.8,,
2015/3/18,DQ1,201503,15.95,16,15.9,15.9,-0.1,-0.63%,49,0.0,340,15.85,15.95,16.85,10.8,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/10/11,DQ1,202210  ,10.15,11.15,10.15,11.15,1,9.85%,852.0,11.15,22378,11.15,-,12.5,9.98,,一般,,
2022/10/11,DQ1,202211  ,10.4,11.2,10.4,11.2,1,9.80%,89.0,11.2,2656,11.15,-,11.2,10.05,,一般,,
2022/10/11,DQ1,202212  ,11,11.05,10.9,11.05,0.85,8.33%,12.0,11.2,377,11.15,-,17.5,10.1,,一般,,
2022/10/11,DQ1,202303  ,-,-,-,-,-,-,0.0,11,145,11,-,14.3,10.4,,一般,,
2022/10/11,DQ1,202306  ,-,-,-,-,-,-,0.0,11.05,6,10.8,-,10.4,10.35,,一般,,
2022/10/12,DQ1,202210  ,11.3,11.4,10.9,11.4,0.25,2.24%,543.0,11.45,22187,11.4,11.45,12.5,9.98,,一般,,
2022/10/12,DQ1,202211  ,11.2,11.25,11,11.25,0.05,0.45%,34.0,11.35,2666,11.25,11.5,11.25,10.05,,一般,,
2022/10/12,DQ1,202212  ,11.2,11.2,11.2,11.2,0,0.00%,1.0,11.4,378,11.2,11.55,17.5,10.1,,一般,,
2022/10/12,DQ1,202303  ,-,-,-,-,-,-,0.0,11.3,145,11.1,-,14.3,10.4,,一般,,
2022/10/12,DQ1,202306  ,-,-,-,-,-,-,0.0,11.35,6,10.95,-,10.4,10.35,,一般,,
2022/10/13,DQ1,202210  ,11.35,12,11.35,11.7,0.25,2.18%,411.0,11.65,21991,11.65,11.7,12.5,9.98,,一般,,
2022/10/13,DQ1,202211  ,11.6,11.95,11.55,11.55,0.2,1.76%,12.0,11.6,2659,11.55,11.6,11.95,10.05,,一般,,
2022/10/13,DQ1,202212  ,11.7,11.9,11.5,11.5,0.1,0.88%,3.0,11.5,375,11.5,11.55,17.5,10.1,,一般,,
2022/10/13,DQ1,202303  ,-,-,-,-,-,-,0.0,11.5,145,11.4,-,14.3,10.4,,一般,,
2022/10/13,DQ1,202306  ,-,-,-,-,-,-,0.0,11.55,6,11.25,-,10.4,10.35,,一般,,
2022/10/14,DQ1,202210  ,12,12.35,11.9,12.25,0.6,5.15%,410.0,12.25,21652,12.25,12.3,12.5,9.98,,一般,,
2022/10/14,DQ1,202211  ,11.55,12.3,11.55,12.25,0.65,5.60%,45.0,12.25,2651,12.25,12.35,12.3,10.05,,一般,,
2022/10/14,DQ1,202212  ,11.9,12.05,11.9,12.05,0.55,4.78%,6.0,12.25,369,12.05,12.2,17.5,10.1,,一般,,
2022/10/14,DQ1,202303  ,12.15,12.15,12.15,12.15,0.65,5.65%,1.0,12.3,145,12.1,12.2,14.3,10.4,,一般,,
2022/10/14,DQ1,202306  ,-,-,-,-,-,-,0.0,12.15,6,11.95,-,10.4,10.35,,一般,,
2022/10/17,DQ1,202210  ,12.3,13.2,12.3,13.05,0.8,6.53%,343.0,13.1,21488,13,13.1,13.2,9.98,,一般,,
2022/10/17,DQ1,202211  ,12.25,13.2,12.25,13.05,0.8,6.53%,122.0,13.05,2712,13,13.1,13.2,10.05,,一般,,
2022/10/17,DQ1,202212  ,12.5,13.1,12.35,13.1,0.85,6.94%,12.0,13.1,364,12.8,13.05,17.5,10.1,,一般,,
2022/10/17,DQ1,202303  ,-,-,-,-,-,-,0.0,13.1,145,12.85,13.2,14.3,10.4,,一般,,
2022/10/17,DQ1,202306  ,-,-,-,-,-,-,0.0,13,6,12.75,-,10.4,10.35,,一般,,
2022/10/18,DQ1,202210  ,13.15,13.25,12.85,13,-0.1,-0.76%,131.0,13.05,21427,13,13.1,13.25,9.98,,一般,,
2022/10/18,DQ1,202211  ,13,13.1,12.8,13.1,0.05,0.38%,47.0,13.1,2755,12.95,13.05,13.2,10.05,,一般,,
2022/10/18,DQ1,202212  ,-,-,-,-,-,-,0.0,13.1,364,-,13.1,17.5,10.1,,一般,,
2022/10/18,DQ1,202303  ,-,-,-,-,-,-,0.0,13,145,12.6,14.1,14.3,10.4,,一般,,
2022/10/18,DQ1,202306  ,-,-,-,-,-,-,0.0,12.95,6,12.5,-,10.4,10.35,,一般,,
2022/10/19,DQ1,202210  ,13,13.1,12.75,13.05,0,0.00%,186.0,0,21356,12.8,13.05,13.25,9.98,,一般,,
2022/10/19,DQ1,202211  ,12.85,13.35,12.85,13.3,0.2,1.53%,43.0,13.1,2785,13.1,13.15,13.35,10.05,,一般,,
2022/10/19,DQ1,202212  ,13,13,12.95,12.95,-0.15,-1.15%,9.0,13.1,359,-,13.1,17.5,10.1,,一般,,
2022/10/19,DQ1,202303  ,-,-,-,-,-,-,0.0,13.1,145,12.95,13.4,14.3,10.4,,一般,,
2022/10/19,DQ1,202306  ,13.05,13.05,13.05,13.05,0.1,0.77%,1.0,13.05,6,12.85,-,13.05,10.35,,一般,,
2022/10/20,DQ1,202211  ,12.95,13.45,12.85,13.45,0.35,2.67%,170.0,13.5,2740,13.45,13.5,13.45,10.05,,一般,,
2022/10/20,DQ1,202212  ,12.75,13.1,12.75,13.1,0,0.00%,21.0,13.5,348,13.2,13.5,17.5,10.1,,一般,,
2022/10/20,DQ1,202303  ,13.05,13.05,13,13.05,-0.05,-0.38%,89.0,13.45,65,13.3,13.55,14.3,10.4,,一般,,
2022/10/20,DQ1,202306  ,-,-,-,-,-,-,0.0,13.45,6,13.25,-,13.05,10.35,,一般,,
2022/10/21,DQ1,202211  ,13.45,13.45,12.95,12.95,-0.55,-4.07%,51.0,12.8,2721,12.75,12.9,13.45,10.05,,一般,,
2022/10/21,DQ1,202212  ,13,13,12.9,12.9,-0.6,-4.44%,6.0,12.85,343,12.7,12.95,17.5,10.1,,一般,,
2022/10/21,DQ1,202303  ,-,-,-,-,-,-,0.0,12.95,65,12.7,-,14.3,10.4,,一般,,
2022/10/21,DQ1,202306  ,-,-,-,-,-,-,0.0,12.95,6,12.55,-,13.05,10.35,,一般,,
2022/10/24,DQ1,202211  ,13.15,13.15,12.5,12.5,-0.3,-2.34%,110.0,12.45,2704,12.45,12.5,13.45,10.05,,一般,,
