交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DQF,201501,15.15,16.45,15.15,16.45,1.05,6.82%,2796,16.45,2341,16.4,16.45,16.45,13.3,,
2015/1/5,DQF,201502,15.2,16.4,15.2,16.4,1.05,6.84%,1136,16.4,1208,16.4,-,16.4,14.05,,
2015/1/5,DQF,201503,16.1,16.4,16.1,16.4,1.05,6.84%,3,16.4,160,16.3,-,16.4,12.1,,
2015/1/5,DQF,201506,16.3,16.3,16.2,16.2,0.95,6.23%,7,16.2,11,-,-,16.3,12.2,,
2015/1/5,DQF,201509,-,-,-,-,-,-,-,16.4,0,-,-,-,-,,
2015/1/6,DQF,201501,16.45,16.45,15.85,15.95,-0.5,-3.04%,2628,15.95,2143,15.95,16,16.45,13.3,,
2015/1/6,DQF,201502,16.3,16.3,15.85,15.95,-0.45,-2.74%,1525,15.95,1207,15.9,15.95,16.4,14.05,,
2015/1/6,DQF,201503,16.2,16.2,16,16.05,-0.35,-2.13%,6,16.05,162,15.8,16,16.4,12.1,,
2015/1/6,DQF,201506,-,-,-,-,-,-,-,15.7,11,15.1,16,16.3,12.2,,
2015/1/6,DQF,201509,-,-,-,-,-,-,-,15.9,0,-,16,-,-,,
2015/1/7,DQF,201501,16,16.7,15.75,16.25,0.3,1.88%,2730,16.25,2171,16.2,16.3,16.7,13.3,,
2015/1/7,DQF,201502,15.9,16.65,15.75,16.25,0.3,1.88%,1653,16.25,1475,16.2,16.3,16.65,14.05,,
2015/1/7,DQF,201503,15.9,16.4,15.8,16.4,0.35,2.18%,8,16.25,161,16.1,16.35,16.4,12.1,,
2015/1/7,DQF,201506,-,-,-,-,-,-,-,16.0,11,-,16.3,16.3,12.2,,
2015/1/7,DQF,201509,-,-,-,-,-,-,-,16.2,0,-,16.3,-,-,,
2015/1/8,DQF,201501,16.45,17.25,16.45,17.1,0.85,5.23%,3599,17.1,2045,17.05,17.1,17.25,13.3,,
2015/1/8,DQF,201502,16.55,17.2,16.55,17.15,0.9,5.54%,2384,17.15,1671,17.1,17.15,17.2,14.05,,
2015/1/8,DQF,201503,16.9,17.15,16.9,17.15,0.9,5.54%,2,17.15,162,17,17.15,17.15,12.1,,
2015/1/8,DQF,201506,-,-,-,-,-,-,-,16.85,11,16.6,17.1,16.3,12.2,,
2015/1/8,DQF,201509,-,-,-,-,-,-,-,17.05,0,-,17.15,-,-,,
2015/1/9,DQF,201501,17.4,18.25,16.85,16.95,-0.15,-0.88%,2454,16.95,1837,16.9,16.95,18.25,13.3,,
2015/1/9,DQF,201502,17.45,18.1,16.8,16.85,-0.3,-1.75%,1331,16.85,1482,16.85,16.95,18.1,14.05,,
2015/1/9,DQF,201503,17.2,17.25,17.1,17.1,-0.05,-0.29%,5,16.85,163,16.75,16.95,17.25,12.1,,
2015/1/9,DQF,201506,17.25,17.25,17.25,17.25,0.4,2.37%,1,16.65,12,16.35,16.95,17.25,12.2,,
2015/1/9,DQF,201509,-,-,-,-,-,-,-,16.9,0,-,17,-,-,,
2015/1/12,DQF,201501,17.05,17.45,16.75,16.8,-0.15,-0.88%,1994,16.8,1808,16.75,16.85,18.25,13.3,,
2015/1/12,DQF,201502,16.85,17.45,16.75,16.85,0,0.00%,1073,16.85,1587,16.8,16.9,18.1,14.05,,
2015/1/12,DQF,201503,17.3,17.3,17.1,17.1,0.25,1.48%,20,16.8,181,16.7,16.9,17.3,12.1,,
2015/1/12,DQF,201506,-,-,-,-,-,-,-,16.6,12,16.3,16.85,17.25,12.2,,
2015/1/12,DQF,201509,-,-,-,-,-,-,-,16.75,0,-,16.9,-,-,,
2015/1/13,DQF,201501,16.9,17.05,16.6,16.65,-0.15,-0.89%,1548,16.65,1801,16.6,16.7,18.25,13.3,,
2015/1/13,DQF,201502,16.9,17,16.6,16.65,-0.2,-1.19%,1098,16.65,1826,16.65,16.7,18.1,14.05,,
2015/1/13,DQF,201503,16.75,16.75,16.75,16.75,-0.05,-0.30%,3,16.75,183,16.55,16.7,17.3,12.1,,
2015/1/13,DQF,201506,-,-,-,-,-,-,-,16.45,12,16.15,16.75,17.25,12.2,,
2015/1/13,DQF,201509,-,-,-,-,-,-,-,16.6,0,-,16.75,-,-,,
2015/1/14,DQF,201501,16.8,17.15,16.8,17,0.35,2.10%,1460,17.0,1772,16.9,17,18.25,13.3,,
2015/1/14,DQF,201502,16.85,17.15,16.85,17.05,0.4,2.40%,1259,17.05,1807,16.95,17,18.1,14.05,,
