交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/10/29,DW1,201811  ,78.1,78.1,76.3,76.3,-8.2,-9.70%,13.0,76.1,189,-,76.3,78.1,52.2,,一般,,
2018/10/29,DW1,201812  ,-,-,-,-,-,-,0.0,76.5,5,-,76.5,63,52.9,,一般,,
2018/10/29,DW1,201903  ,-,-,-,-,-,-,0.0,76.5,1,-,-,60.2,60.2,,一般,,
2018/10/30,DW1,201811  ,74,74.8,74,74.3,-1.8,-2.37%,6.0,74.3,187,72,74.9,78.1,52.2,,一般,,
2018/10/30,DW1,201812  ,76.5,-,-,76.5,0,0.00%,1.0,74.7,6,-,74.8,63,52.9,,一般,,
2018/10/30,DW1,201903  ,-,-,-,-,-,-,0.0,74.7,1,-,-,60.2,60.2,,一般,,
2018/10/31,DW1,201811  ,75.3,76.5,75.2,76.5,2.2,2.96%,16.0,76.6,175,74.7,76.5,78.1,52.2,,一般,,
2018/10/31,DW1,201812  ,74.7,-,-,74.7,0,0.00%,5.0,77,11,73,76.5,63,52.9,,一般,,
2018/10/31,DW1,201903  ,-,-,-,-,-,-,0.0,77,1,-,-,60.2,60.2,,一般,,
2018/10/30,DW1,201811/201812     ,0.01,0.01,0.01,0.01,-,-,1.0,-,-,-,0.01,0.01,0.01,,一般,0.0,
2018/10/31,DW1,201811/201812     ,0,0,0,0,-,-,5.0,-,-,-1.7,0,0.01,0,,一般,0.0,
2018/11/01,DW1,201811  ,-,-,-,-,-,-,0.0,76.7,175,75.8,77,78.1,52.2,,一般,,
2018/11/01,DW1,201812  ,-,-,-,-,-,-,0.0,77,11,-,76.9,63,52.9,,一般,,
2018/11/01,DW1,201903  ,-,-,-,-,-,-,0.0,77.1,1,-,-,60.2,60.2,,一般,,
2018/11/02,DW1,201811  ,77,77.5,77,77.5,0.8,1.04%,8.0,78.8,175,76.2,83.7,78.1,52.2,,一般,,
2018/11/02,DW1,201812  ,-,-,-,-,-,-,0.0,78.6,11,-,78.5,63,52.9,,一般,,
2018/11/02,DW1,201903  ,-,-,-,-,-,-,0.0,79.2,1,-,-,60.2,60.2,,一般,,
2018/11/05,DW1,201811  ,-,-,-,-,-,-,0.0,77.7,175,77.2,78.9,78.1,52.2,,一般,,
2018/11/05,DW1,201812  ,-,-,-,-,-,-,0.0,77.5,11,-,77.5,63,52.9,,一般,,
2018/11/05,DW1,201903  ,-,-,-,-,-,-,0.0,78.1,1,-,-,60.2,60.2,,一般,,
