交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DXF,201501,28.85,29,28.7,28.85,0.25,0.87%,93,28.85,374,28.8,28.85,29.35,26.7,,
2015/1/5,DXF,201502,28.75,29,28.75,28.85,0.2,0.70%,91,28.85,224,28.8,28.85,29.25,27.65,,
2015/1/5,DXF,201503,-,-,-,-,-,-,-,28.9,2,-,-,28.8,28.8,,
2015/1/5,DXF,201506,-,-,-,-,-,-,-,29.1,0,-,-,-,-,,
2015/1/5,DXF,201509,-,-,-,-,-,-,-,29.1,0,-,-,-,-,,
2015/1/6,DXF,201501,28.5,28.5,27.95,28,-0.85,-2.95%,285,28.0,450,27.9,28.2,29.35,26.7,,
2015/1/6,DXF,201502,28.5,28.5,28,28,-0.85,-2.95%,348,28.0,288,27.95,28.25,29.25,27.65,,
2015/1/6,DXF,201503,-,-,-,-,-,-,-,28.05,2,-,-,28.8,28.8,,
2015/1/6,DXF,201506,-,-,-,-,-,-,-,28.25,0,-,-,-,-,,
2015/1/6,DXF,201509,-,-,-,-,-,-,-,28.25,0,-,-,-,-,,
2015/1/7,DXF,201501,28.1,28.35,28.05,28.25,0.25,0.89%,198,28.25,385,28.1,28.3,29.35,26.7,,
2015/1/7,DXF,201502,28.1,28.45,28,28.2,0.2,0.71%,195,28.2,328,28.1,28.35,29.25,27.65,,
2015/1/7,DXF,201503,-,-,-,-,-,-,-,28.3,2,-,-,28.8,28.8,,
2015/1/7,DXF,201506,-,-,-,-,-,-,-,28.5,0,-,-,-,-,,
2015/1/7,DXF,201509,-,-,-,-,-,-,-,28.5,0,-,-,-,-,,
2015/1/8,DXF,201501,28.6,29.1,28.6,29.05,0.8,2.83%,85,29.05,347,28.95,29.1,29.35,26.7,,
2015/1/8,DXF,201502,28.55,29.1,28.55,29.05,0.85,3.01%,194,29.05,336,28.95,29.1,29.25,27.65,,
2015/1/8,DXF,201503,-,-,-,-,-,-,-,29.1,2,-,-,28.8,28.8,,
2015/1/8,DXF,201506,-,-,-,-,-,-,-,29.3,0,-,-,-,-,,
2015/1/8,DXF,201509,-,-,-,-,-,-,-,29.3,0,-,-,-,-,,
2015/1/9,DXF,201501,29.3,29.4,29.15,29.15,0.1,0.34%,47,29.15,349,29.1,29.25,29.4,26.7,,
2015/1/9,DXF,201502,29.35,29.4,29.1,29.1,0.05,0.17%,142,29.1,332,29.05,29.2,29.4,27.65,,
2015/1/9,DXF,201503,-,-,-,-,-,-,-,29.2,2,-,-,28.8,28.8,,
2015/1/9,DXF,201506,-,-,-,-,-,-,-,29.4,0,-,-,-,-,,
2015/1/9,DXF,201509,-,-,-,-,-,-,-,29.4,0,-,-,-,-,,
2015/1/12,DXF,201501,29.45,29.45,29,29,-0.15,-0.51%,6,29.0,349,28.7,28.95,29.45,26.7,,
2015/1/12,DXF,201502,29.3,29.3,28.85,28.85,-0.25,-0.86%,29,28.85,355,28.75,29,29.4,27.65,,
2015/1/12,DXF,201503,-,-,-,-,-,-,-,29.05,2,28.6,-,28.8,28.8,,
2015/1/12,DXF,201506,-,-,-,-,-,-,-,29.25,0,-,-,-,-,,
2015/1/12,DXF,201509,-,-,-,-,-,-,-,29.25,0,-,-,-,-,,
2015/1/13,DXF,201501,29.2,30.8,29.2,30.55,1.55,5.34%,390,30.55,428,30.65,30.7,30.8,26.7,,
2015/1/13,DXF,201502,29.2,30.75,29.2,30.6,1.75,6.07%,490,30.6,443,30.6,30.75,30.75,27.65,,
2015/1/13,DXF,201503,29.85,29.85,29.85,29.85,0.8,2.75%,1,30.9,2,-,-,29.85,28.8,,
2015/1/13,DXF,201506,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/13,DXF,201509,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/14,DXF,201501,30.7,30.85,30,30.65,0.1,0.33%,663,30.7,478,30.65,30.75,30.85,26.7,,
2015/1/14,DXF,201502,30.75,30.85,30.05,30.65,0.05,0.16%,392,30.65,459,30.65,30.8,30.85,27.65,,
2015/1/14,DXF,201503,-,-,-,-,-,-,-,30.95,2,29.6,-,29.85,28.8,,
2015/1/14,DXF,201506,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/14,DXF,201509,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/15,DXF,201501,30.6,30.65,29.9,29.9,-0.8,-2.61%,263,29.9,472,29.85,30,30.85,26.7,,
