交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/06/08,E4F,202006  ,5780,5780,5678,5695,29,0.51%,1369.0,5695,40,5695,5696,5780,5678,,一般,,
2020/06/08,E4F,202007  ,5641,5652,5586,5620,73,1.32%,111.0,5620,6,5620,5622,5652,5586,,一般,,
2020/06/08,E4F,202008  ,-,-,-,-,-,-,0.0,5479,0,-,-,-,-,,一般,,
2020/06/08,E4F,202009  ,-,-,-,-,-,-,0.0,5475,0,-,-,-,-,,一般,,
2020/06/08,E4F,202012  ,-,-,-,-,-,-,0.0,5463,0,-,-,-,-,,一般,,
2020/06/08,E4F,202103  ,-,-,-,-,-,-,0.0,5449,0,-,-,-,-,,一般,,
2020/06/09,E4F,202006  ,5713,5808,5680,5724,29,0.51%,654.0,5724,26,5723,5724,5808,5678,,一般,,
2020/06/09,E4F,202007  ,5619,5742,5619,5642,22,0.39%,473.0,5642,34,5645,5647,5742,5586,,一般,,
2020/06/09,E4F,202008  ,-,-,-,-,-,-,0.0,5508,0,4936,6023,-,-,,一般,,
2020/06/09,E4F,202009  ,-,-,-,-,-,-,0.0,5504,0,4929,6020,-,-,,一般,,
2020/06/09,E4F,202012  ,-,-,-,-,-,-,0.0,5492,0,4920,6007,-,-,,一般,,
2020/06/09,E4F,202103  ,-,-,-,-,-,-,0.0,5478,0,-,-,-,-,,一般,,
2020/06/10,E4F,202006  ,5740,5785,5740,5769,45,0.79%,1586.0,5769,201,5768,5770,5808,5678,,一般,,
2020/06/10,E4F,202007  ,5651,5704,5651,5685,43,0.76%,889.0,5685,49,5685,5688,5742,5586,,一般,,
2020/06/10,E4F,202008  ,-,-,-,-,-,-,0.0,5553,0,-,-,-,-,,一般,,
2020/06/10,E4F,202009  ,-,-,-,-,-,-,0.0,5549,0,-,-,-,-,,一般,,
2020/06/10,E4F,202012  ,-,-,-,-,-,-,0.0,5537,0,-,-,-,-,,一般,,
2020/06/10,E4F,202103  ,-,-,-,-,-,-,0.0,5523,0,-,-,-,-,,一般,,
2020/06/11,E4F,202006  ,5755,5782,5678,5690,-79,-1.37%,1209.0,5690,107,5682,5686,5808,5678,,一般,,
2020/06/11,E4F,202007  ,5683,5696,5584,5584,-101,-1.78%,779.0,5584,81,5588,5592,5742,5584,,一般,,
