交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EDF,201501,24.2,24.5,23.95,24.4,0.2,0.83%,138,24.4,94,24.1,24.4,24.5,18.9,,
2015/1/5,EDF,201502,23.95,24.5,23.95,24.2,0,0.00%,57,24.2,37,23.7,24.35,24.5,19.8,,
2015/1/5,EDF,201503,-,-,-,-,-,-,-,24.2,0,-,-,-,-,,
2015/1/5,EDF,201506,-,-,-,-,-,-,-,24.4,0,-,-,24,20.6,,
2015/1/5,EDF,201509,-,-,-,-,-,-,-,24.5,0,-,-,-,-,,
2015/1/6,EDF,201501,23.6,23.9,23.5,23.55,-0.85,-3.48%,97,23.55,92,23.5,23.95,24.5,18.9,,
2015/1/6,EDF,201502,23.7,23.7,23.5,23.5,-0.7,-2.89%,20,23.5,37,23.25,23.65,24.5,19.8,,
2015/1/6,EDF,201503,-,-,-,-,-,-,-,23.35,0,-,-,-,-,,
2015/1/6,EDF,201506,-,-,-,-,-,-,-,23.55,0,-,-,24,20.6,,
2015/1/6,EDF,201509,-,-,-,-,-,-,-,23.65,0,-,-,-,-,,
2015/1/7,EDF,201501,23.45,24.05,23.45,24.05,0.5,2.12%,51,24.05,77,24,24.25,24.5,18.9,,
2015/1/7,EDF,201502,23.5,23.5,23.5,23.5,0,0.00%,5,23.95,42,23.75,24.15,24.5,19.8,,
2015/1/7,EDF,201503,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/7,EDF,201506,-,-,-,-,-,-,-,24.05,0,-,-,24,20.6,,
2015/1/7,EDF,201509,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/8,EDF,201501,24.35,25.1,24.35,24.55,0.5,2.08%,61,24.55,68,24.3,24.85,25.1,18.9,,
2015/1/8,EDF,201502,24.4,24.95,24.4,24.95,1,4.18%,11,24.5,42,24.3,24.7,24.95,19.8,,
2015/1/8,EDF,201503,-,-,-,-,-,-,-,24.35,0,-,-,-,-,,
2015/1/8,EDF,201506,-,-,-,-,-,-,-,24.55,0,-,-,24,20.6,,
2015/1/8,EDF,201509,-,-,-,-,-,-,-,24.65,0,-,-,-,-,,
2015/1/9,EDF,201501,24.5,24.5,24.25,24.45,-0.1,-0.41%,37,24.3,76,24.15,24.4,25.1,18.9,,
2015/1/9,EDF,201502,24.25,24.45,24.2,24.45,-0.05,-0.20%,22,24.15,37,23.95,24.35,24.95,19.8,,
2015/1/9,EDF,201503,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/9,EDF,201506,-,-,-,-,-,-,-,24.3,0,-,-,24,20.6,,
2015/1/9,EDF,201509,-,-,-,-,-,-,-,24.4,0,-,-,-,-,,
2015/1/12,EDF,201501,24.2,24.2,24,24.1,-0.2,-0.82%,13,24.1,79,23.95,24.25,25.1,18.9,,
2015/1/12,EDF,201502,24.05,24.05,24.05,24.05,-0.1,-0.41%,5,24.05,37,23.7,24.25,24.95,19.8,,
2015/1/12,EDF,201503,-,-,-,-,-,-,-,23.9,0,-,-,-,-,,
2015/1/12,EDF,201506,-,-,-,-,-,-,-,24.1,0,-,-,24,20.6,,
2015/1/12,EDF,201509,-,-,-,-,-,-,-,24.2,0,-,-,-,-,,
2015/1/13,EDF,201501,24.25,24.75,24.25,24.45,0.35,1.45%,79,24.4,45,24.3,24.45,25.1,18.9,,
2015/1/13,EDF,201502,24.45,24.8,24.35,24.35,0.3,1.25%,15,24.35,38,24.15,24.6,24.95,19.8,,
2015/1/13,EDF,201503,-,-,-,-,-,-,-,24.2,0,-,-,-,-,,
2015/1/13,EDF,201506,-,-,-,-,-,-,-,24.4,0,-,-,24,20.6,,
2015/1/13,EDF,201509,-,-,-,-,-,-,-,24.5,0,-,-,-,-,,
2015/1/14,EDF,201501,24.35,24.35,24.2,24.2,-0.2,-0.82%,5,24.2,44,24.3,24.55,25.1,18.9,,
2015/1/14,EDF,201502,-,-,-,-,-,-,-,24.15,38,23.7,24.5,24.95,19.8,,
2015/1/14,EDF,201503,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/14,EDF,201506,-,-,-,-,-,-,-,24.2,0,-,-,24,20.6,,
2015/1/14,EDF,201509,-,-,-,-,-,-,-,24.3,0,-,-,-,-,,
2015/1/15,EDF,201501,23.95,23.95,23.65,23.7,-0.5,-2.07%,36,23.7,37,23.7,24.95,25.1,18.9,,
