交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2019/06/27,EG1,201907  ,10.65,10.7,10.6,10.6,-0.05,-0.47%,488.0,10.65,1338,10.6,10.65,11.8,10.6,,一般,,
2019/06/27,EG1,201908  ,10.7,10.7,10.65,10.65,0.05,0.47%,33.0,10.65,159,10.55,10.7,11.7,10.65,,一般,,
2019/06/27,EG1,201909  ,10.7,10.7,10.7,10.7,0.1,0.94%,4.0,10.7,101,10.55,10.7,11.8,10.7,,一般,,
2019/06/27,EG1,201912  ,-,-,-,-,-,-,0.0,10.7,16,-,-,11.8,10.9,,一般,,
2019/06/28,EG1,201907  ,10.65,10.65,10.5,10.55,-0.1,-0.94%,148.0,10.55,1282,10.5,10.55,11.8,10.5,,一般,,
2019/06/28,EG1,201908  ,-,-,-,-,-,-,0.0,10.55,159,10.45,10.6,11.7,10.65,,一般,,
2019/06/28,EG1,201909  ,-,-,-,-,-,-,0.0,10.6,101,10.4,10.6,11.8,10.7,,一般,,
2019/06/28,EG1,201912  ,-,-,-,-,-,-,0.0,10.6,16,-,-,11.8,10.9,,一般,,
2019/06/27,EG1,201907/201908     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,11.0,
2019/07/01,EG1,201907  ,10.55,10.6,10.45,10.5,-0.05,-0.47%,109.0,10.45,1223,10.45,10.5,11.8,10.45,,一般,,
2019/07/01,EG1,201908  ,-,-,-,-,-,-,0.0,10.5,159,10.4,10.55,11.7,10.65,,一般,,
2019/07/01,EG1,201909  ,-,-,-,-,-,-,0.0,10.5,101,-,10.55,11.8,10.7,,一般,,
2019/07/01,EG1,201912  ,10.55,10.55,10.55,10.55,-0.05,-0.47%,41.0,10.55,41,10.3,10.6,11.8,10.55,,一般,,
2019/07/02,EG1,201907  ,10.45,10.5,10.35,10.4,-0.05,-0.48%,71.0,10.4,1169,10.35,10.4,11.8,10.35,,一般,,
2019/07/02,EG1,201908  ,10.5,10.5,10.45,10.45,-0.05,-0.48%,36.0,10.45,176,10.35,10.45,11.7,10.45,,一般,,
2019/07/02,EG1,201909  ,-,-,-,-,-,-,0.0,10.45,101,-,10.55,11.8,10.7,,一般,,
