交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/29,EK1,201509,-,-,-,-,-,-,-,13.7,72,13.45,13.9,18.1,13.55,,
2015/7/30,EK1,201509,15,15,14.85,14.85,1.15,8.39%,6,14.85,72,14.75,-,18.1,13.55,,
2015/7/31,EK1,201509,14.75,14.8,14.65,14.65,-0.2,-1.35%,9,14.65,74,14.6,14.7,18.1,13.55,,
2015/8/3,EK1,201509,14.25,14.25,14.15,14.15,-0.5,-3.41%,3,14.15,77,13.85,16.05,18.1,13.55,,
2015/8/4,EK1,201509,13.75,13.75,13.6,13.65,-0.5,-3.53%,10,13.65,73,13.5,14.05,18.1,13.55,,
2015/8/5,EK1,201509,-,-,-,-,-,-,-,13.85,73,13.35,14.05,18.1,13.55,,
2015/8/6,EK1,201509,13.85,13.85,13.85,13.85,0,0.00%,5,13.85,73,13.75,14.2,18.1,13.55,,
2015/8/7,EK1,201509,-,-,-,-,-,-,-,14.0,73,-,14.15,18.1,13.55,,
2015/8/10,EK1,201509,14.2,14.2,14.2,14.2,0.2,1.43%,1,14.2,72,13.85,14.5,18.1,13.55,,
2015/8/11,EK1,201509,14.3,14.3,14.3,14.3,0.1,0.70%,1,14.0,72,13.75,14.2,18.1,13.55,,
2015/8/12,EK1,201509,-,-,-,-,-,-,-,13.9,72,13.7,-,18.1,13.55,,
2015/8/13,EK1,201509,14.45,14.45,14.45,14.45,0.55,3.96%,1,14.45,73,-,14.65,18.1,13.55,,
2015/8/14,EK1,201509,14.5,14.5,14.5,14.5,0.05,0.35%,1,14.5,72,14.35,-,18.1,13.55,,
2015/8/17,EK1,201509,-,-,-,-,-,-,-,14.4,72,14.3,14.7,18.1,13.55,,
2015/8/18,EK1,201509,-,-,-,-,-,-,-,14.4,72,14.15,14.6,18.1,13.55,,
2015/8/19,EK1,201509,-,-,-,-,-,-,-,14.15,72,14.05,14.45,18.1,13.55,,
2015/8/20,EK1,201509,14.15,14.15,14.15,14.15,0,0.00%,1,14.15,72,14,14.45,18.1,13.55,,
2015/8/21,EK1,201509,-,-,-,-,-,-,-,13.95,72,13.7,14.15,18.1,13.55,,
2015/8/24,EK1,201509,13.95,13.95,13.95,13.95,0,0.00%,1,12.6,71,-,-,18.1,13.55,,
2015/8/25,EK1,201509,-,-,-,-,-,-,-,12.6,71,12,13.2,18.1,13.55,,
2015/8/26,EK1,201509,-,-,-,-,-,-,-,12.8,71,12.2,-,18.1,13.55,,
2015/8/27,EK1,201509,12.85,12.85,12.85,12.85,0.05,0.39%,2,12.85,71,12.35,13.15,18.1,12.85,,
2015/8/28,EK1,201509,-,-,-,-,-,-,-,13.5,71,-,13.75,18.1,12.85,,
2015/8/31,EK1,201509,-,-,-,-,-,-,-,13.6,71,12.8,14,18.1,12.85,,
2015/9/1,EK1,201509,-,-,-,-,-,-,-,13.75,71,12.55,-,18.1,12.85,,
2015/9/2,EK1,201509,-,-,-,-,-,-,-,13.9,71,13.4,14.2,18.1,12.85,,
2015/9/3,EK1,201509,13.9,13.9,13.9,13.9,0,0.00%,1,13.9,71,-,-,18.1,12.85,,
2015/9/4,EK1,201509,13.8,13.85,13.8,13.85,-0.05,-0.36%,3,13.7,71,13.45,13.95,18.1,12.85,,
2015/9/7,EK1,201509,-,-,-,-,-,-,-,13.85,71,-,14.05,18.1,12.85,,
2015/9/8,EK1,201509,-,-,-,-,-,-,-,13.7,71,13.55,14,18.1,12.85,,
2015/9/9,EK1,201509,-,-,-,-,-,-,-,13.95,71,13.85,14.3,18.1,12.85,,
2015/9/10,EK1,201509,-,-,-,-,-,-,-,13.9,71,13.7,14.2,18.1,12.85,,
2015/9/11,EK1,201509,-,-,-,-,-,-,-,13.9,71,13.7,14.15,18.1,12.85,,
2015/9/14,EK1,201509,-,-,-,-,-,-,-,13.85,71,13.5,14.2,18.1,12.85,,
2015/9/15,EK1,201509,-,-,-,-,-,-,-,13.8,71,13.55,14,18.1,12.85,,
2015/9/16,EK1,201509,-,-,-,-,-,-,-,0.0,71,-,-,18.1,12.85,,
