交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EKF,201503,18.25,18.3,18.25,18.3,-0.15,-0.81%,3,18.3,111,18,19,19.15,17.25,,
2015/1/5,EKF,201506,-,-,-,-,-,-,-,18.25,62,-,-,19.15,18.35,,
2015/1/5,EKF,201509,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/6,EKF,201503,18.1,18.1,17.95,17.95,-0.35,-1.91%,7,17.95,108,17.9,18.05,19.15,17.25,,
2015/1/6,EKF,201506,17.95,17.95,17.95,17.95,-0.3,-1.64%,10,17.95,67,17.9,18.05,19.15,17.95,,
2015/1/6,EKF,201509,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/7,EKF,201503,18.1,18.1,18.1,18.1,0.15,0.84%,2,17.9,108,17.8,17.95,19.15,17.25,,
2015/1/7,EKF,201506,17.9,17.9,17.9,17.9,-0.05,-0.28%,5,17.9,72,17.8,17.95,19.15,17.9,,
2015/1/7,EKF,201509,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/8,EKF,201503,-,-,-,-,-,-,-,17.95,108,17.85,18,19.15,17.25,,
2015/1/8,EKF,201506,-,-,-,-,-,-,-,17.95,72,17.85,18,19.15,17.9,,
2015/1/8,EKF,201509,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/1/9,EKF,201503,-,-,-,-,-,-,-,17.9,108,-,17.75,19.15,17.25,,
2015/1/9,EKF,201506,-,-,-,-,-,-,-,17.9,72,17.7,-,19.15,17.9,,
2015/1/9,EKF,201509,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/12,EKF,201503,18.05,18.05,18,18,0.1,0.56%,5,18.0,113,17.95,18.1,19.15,17.25,,
2015/1/12,EKF,201506,-,-,-,-,-,-,-,18.05,72,17.95,18.1,19.15,17.9,,
2015/1/12,EKF,201509,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/13,EKF,201503,18,18,18,18,0,0.00%,4,18.0,110,17.95,18.1,19.15,17.25,,
2015/1/13,EKF,201506,18.05,18.05,18.05,18.05,0,0.00%,5,18.05,77,17.95,18.1,19.15,17.9,,
2015/1/13,EKF,201509,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/14,EKF,201503,18.05,18.05,17.95,17.95,-0.05,-0.28%,10,17.95,105,17.95,18.1,19.15,17.25,,
2015/1/14,EKF,201506,-,-,-,-,-,-,-,18.1,77,18,18.15,19.15,17.9,,
2015/1/14,EKF,201509,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/15,EKF,201503,17.95,17.95,17.9,17.9,-0.05,-0.28%,12,17.9,98,17.8,17.95,19.15,17.25,,
2015/1/15,EKF,201506,-,-,-,-,-,-,-,17.95,77,17.85,18,19.15,17.9,,
2015/1/15,EKF,201509,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/16,EKF,201503,17.85,17.85,17.75,17.75,-0.15,-0.84%,5,17.75,95,-,-,19.15,17.25,,
2015/1/16,EKF,201506,17.8,17.8,17.75,17.75,-0.2,-1.11%,6,17.75,82,17.6,-,19.15,17.75,,
2015/1/16,EKF,201509,-,-,-,-,-,-,-,17.5,0,-,-,-,-,,
2015/1/19,EKF,201503,17.8,17.8,17.55,17.55,-0.2,-1.13%,7,17.55,101,-,17.95,19.15,17.25,,
