交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EPF,201501,279.5,279.5,279.5,279.5,-4,-1.41%,1,282.0,15,280,284,281,264.5,,
2015/1/5,EPF,201502,-,-,-,-,-,-,-,279.5,5,276,283,278,264.5,,
2015/1/5,EPF,201503,-,-,-,-,-,-,-,288.0,0,-,-,-,-,,
2015/1/5,EPF,201506,-,-,-,-,-,-,-,290.5,0,-,-,-,-,,
2015/1/5,EPF,201509,-,-,-,-,-,-,-,288.0,0,-,-,-,-,,
2015/1/6,EPF,201501,274,274,274,274,-8,-2.84%,3,274.0,13,271,275,281,264.5,,
2015/1/6,EPF,201502,273,273.5,272,272,-7.5,-2.68%,56,273.0,9,270,275.5,278,264.5,,
2015/1/6,EPF,201503,-,-,-,-,-,-,-,280.0,0,-,-,-,-,,
2015/1/6,EPF,201506,-,-,-,-,-,-,-,282.5,0,-,-,-,-,,
2015/1/6,EPF,201509,-,-,-,-,-,-,-,280.0,0,-,-,-,-,,
2015/1/7,EPF,201501,273.5,274,273.5,274,0,0.00%,3,274.0,12,271,276.5,281,264.5,,
2015/1/7,EPF,201502,-,-,-,-,-,-,-,273.0,9,267,273,278,264.5,,
2015/1/7,EPF,201503,-,-,-,-,-,-,-,280.0,0,-,-,-,-,,
2015/1/7,EPF,201506,-,-,-,-,-,-,-,282.5,0,-,-,-,-,,
2015/1/7,EPF,201509,-,-,-,-,-,-,-,280.0,0,-,-,-,-,,
2015/1/8,EPF,201501,277,277,274,274,0,0.00%,2,274.0,12,272,278.5,281,264.5,,
2015/1/8,EPF,201502,274,274,274,274,1,0.37%,2,274.0,10,270.5,277,278,264.5,,
2015/1/8,EPF,201503,-,-,-,-,-,-,-,280.0,0,265.5,277.5,-,-,,
2015/1/8,EPF,201506,-,-,-,-,-,-,-,282.5,0,-,-,-,-,,
2015/1/8,EPF,201509,-,-,-,-,-,-,-,280.0,0,-,-,-,-,,
2015/1/9,EPF,201501,269,269,269,269,-5,-1.82%,1,269.0,12,269,271.5,281,264.5,,
2015/1/9,EPF,201502,272,272,268.5,269.5,-4.5,-1.64%,5,269.5,7,265,272,278,264.5,,
2015/1/9,EPF,201503,-,-,-,-,-,-,-,275.0,0,-,-,-,-,,
2015/1/9,EPF,201506,-,-,-,-,-,-,-,277.5,0,-,-,-,-,,
2015/1/9,EPF,201509,-,-,-,-,-,-,-,275.0,0,-,-,-,-,,
2015/1/12,EPF,201501,270,270,266,268,-1,-0.37%,22,268.0,11,262,269,281,264.5,,
2015/1/12,EPF,201502,270,270,266.5,266.5,-3,-1.11%,4,266.5,5,261.5,268.5,278,264.5,,
2015/1/12,EPF,201503,-,-,-,-,-,-,-,272.5,0,256.5,273.5,-,-,,
2015/1/12,EPF,201506,-,-,-,-,-,-,-,275.0,0,-,-,-,-,,
2015/1/12,EPF,201509,-,-,-,-,-,-,-,272.5,0,-,-,-,-,,
2015/1/13,EPF,201501,-,-,-,-,-,-,-,272.5,11,269,276,281,264.5,,
2015/1/13,EPF,201502,270,270,270,270,3.5,1.31%,2,270.0,5,267.5,274.5,278,264.5,,
2015/1/13,EPF,201503,-,-,-,-,-,-,-,271.0,0,262.5,279.5,-,-,,
2015/1/13,EPF,201506,-,-,-,-,-,-,-,279.5,0,-,-,-,-,,
2015/1/13,EPF,201509,-,-,-,-,-,-,-,277.0,0,-,-,-,-,,
2015/1/14,EPF,201501,270,270,270,270,-2.5,-0.92%,2,270.0,11,266,275.5,281,264.5,,
2015/1/14,EPF,201502,-,-,-,-,-,-,-,267.5,5,264.5,271.5,278,264.5,,
2015/1/14,EPF,201503,-,-,-,-,-,-,-,268.5,0,259.5,276.5,-,-,,
2015/1/14,EPF,201506,-,-,-,-,-,-,-,277.0,0,-,-,-,-,,
2015/1/14,EPF,201509,-,-,-,-,-,-,-,274.5,0,-,-,-,-,,
2015/1/15,EPF,201501,-,-,-,-,-,-,-,267.0,11,264.5,271,281,264.5,,
2015/1/15,EPF,201502,265.5,265.5,265.5,265.5,-2,-0.75%,1,265.5,5,261.5,270,278,264.5,,
2015/1/15,EPF,201503,-,-,-,-,-,-,-,265.5,0,256.5,275,-,-,,
2015/1/15,EPF,201506,-,-,-,-,-,-,-,274.0,0,-,-,-,-,,
