交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,ESF,201501,16.75,17.2,16.75,17,0.3,1.80%,108,17.0,173,17,17.1,17.2,14.2,,
2015/1/5,ESF,201502,16.8,17.25,16.8,17,0.25,1.49%,59,17.0,87,16.95,17.15,17.25,14.4,,
2015/1/5,ESF,201503,-,-,-,-,-,-,-,17.1,23,-,17.8,16.95,13.3,,
2015/1/5,ESF,201506,-,-,-,-,-,-,-,16.95,10,-,17.45,16.65,12.8,,
2015/1/5,ESF,201509,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/1/6,ESF,201501,17.1,17.1,16.45,16.45,-0.55,-3.24%,183,16.45,182,16.4,16.7,17.2,14.2,,
2015/1/6,ESF,201502,16.85,16.85,16.45,16.45,-0.55,-3.24%,53,16.45,112,16.4,16.7,17.25,14.4,,
2015/1/6,ESF,201503,-,-,-,-,-,-,-,16.55,23,-,17.7,16.95,13.3,,
2015/1/6,ESF,201506,-,-,-,-,-,-,-,16.4,10,-,16.6,16.65,12.8,,
2015/1/6,ESF,201509,-,-,-,-,-,-,-,16.5,0,-,-,-,-,,
2015/1/7,ESF,201501,16.7,16.85,16.4,16.4,-0.05,-0.30%,49,16.4,206,16.4,16.8,17.2,14.2,,
2015/1/7,ESF,201502,16.7,16.8,16.65,16.8,0.35,2.13%,11,16.8,107,16.35,16.8,17.25,14.4,,
2015/1/7,ESF,201503,-,-,-,-,-,-,-,16.5,23,-,-,16.95,13.3,,
2015/1/7,ESF,201506,-,-,-,-,-,-,-,16.35,10,-,-,16.65,12.8,,
2015/1/7,ESF,201509,-,-,-,-,-,-,-,16.45,0,-,-,-,-,,
2015/1/8,ESF,201501,17.2,17.45,16.95,17.15,0.75,4.57%,134,17.15,148,17.1,17.25,17.45,14.2,,
2015/1/8,ESF,201502,17.25,17.4,16.95,17.2,0.4,2.38%,45,17.2,82,17.05,17.25,17.4,14.4,,
2015/1/8,ESF,201503,-,-,-,-,-,-,-,17.25,23,-,-,16.95,13.3,,
2015/1/8,ESF,201506,16.9,16.9,16.9,16.9,0.55,3.36%,4,16.9,10,-,-,16.9,12.8,,
2015/1/8,ESF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/9,ESF,201501,17.1,17.1,16.75,16.75,-0.4,-2.33%,60,16.75,158,16.75,17.1,17.45,14.2,,
2015/1/9,ESF,201502,17.1,17.1,16.7,16.7,-0.5,-2.91%,41,16.7,85,16.7,17.05,17.4,14.4,,
2015/1/9,ESF,201503,-,-,-,-,-,-,-,16.85,23,-,-,16.95,13.3,,
2015/1/9,ESF,201506,-,-,-,-,-,-,-,16.5,10,-,-,16.9,12.8,,
