交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/9/22,EY1,201610,7.16,7.16,7.16,7.16,0.08,1.13%,2,7.2,50,-,7.22,7.72,7.16,,
2016/9/23,EY1,201610,-,-,-,-,-,-,-,7.34,50,7.18,7.49,7.72,7.16,,
2016/9/26,EY1,201610,-,-,-,-,-,-,-,7.31,50,7.11,7.46,7.72,7.16,,
2016/9/29,EY1,201610,-,-,-,-,-,-,-,7.37,50,7.17,7.54,7.72,7.16,,
2016/9/30,EY1,201610,-,-,-,-,-,-,-,7.32,50,7.24,7.3,7.72,7.16,,
2016/10/3,EY1,201610,-,-,-,-,-,-,-,7.29,50,7.24,7.34,7.72,7.16,,
2016/10/4,EY1,201610,-,-,-,-,-,-,-,7.36,50,7.3,7.36,7.72,7.16,,
2016/10/5,EY1,201610,-,-,-,-,-,-,-,7.33,50,7.3,7.36,7.72,7.16,,
2016/10/6,EY1,201610,7.28,7.28,7.28,7.28,-0.05,-0.68%,12,7.28,41,7.28,7.34,7.72,7.16,,
2016/10/7,EY1,201610,-,-,-,-,-,-,-,7.42,41,6.78,7.51,7.72,7.16,,
2016/10/11,EY1,201610,7.42,7.42,7.42,7.42,0,0.00%,4,7.42,37,7.34,7.41,7.72,7.16,,
2016/10/12,EY1,201610,-,-,-,-,-,-,-,7.36,37,6.91,7.93,7.72,7.16,,
2016/10/13,EY1,201610,7.36,7.36,7.36,7.36,0,0.00%,2,7.36,35,7.34,7.41,7.72,7.16,,
2016/10/14,EY1,201610,-,-,-,-,-,-,-,7.27,35,7.28,-,7.72,7.16,,
2016/10/17,EY1,201610,-,-,-,-,-,-,-,7.25,35,7.22,7.28,7.72,7.16,,
2016/10/18,EY1,201610,-,-,-,-,-,-,-,7.46,35,6.75,7.49,7.72,7.16,,
2016/10/19,EY1,201610,-,-,-,-,-,-,-,0.0,35,-,-,7.72,7.16,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/08/29,EY1,201809  ,11.5,12.05,11.5,12,0.4,3.45%,1068.0,12.05,888,11.9,12,12.65,10.05,,一般,,
2018/08/29,EY1,201810  ,11.7,12,10.85,11.9,0.35,3.03%,48.0,12,94,11.1,12,12.6,10.5,,一般,,
2018/08/30,EY1,201809  ,11.9,11.9,11.55,11.6,-0.45,-3.73%,108.0,11.65,834,11.55,11.65,12.65,10.05,,一般,,
2018/08/30,EY1,201810  ,11.6,11.6,11.55,11.6,-0.4,-3.33%,21.0,11.65,91,11.55,12.7,12.6,10.5,,一般,,
2018/08/31,EY1,201809  ,11.45,11.7,11.4,11.5,-0.15,-1.29%,194.0,11.7,789,11.6,11.75,12.65,10.05,,一般,,
2018/08/31,EY1,201810  ,11.4,11.45,11.4,11.4,-0.25,-2.15%,11.0,11.7,102,11,11.65,12.6,10.5,,一般,,
2018/08/29,EY1,201809/201810     ,0,0,-0.01,-0.01,-,-,16.0,-,-,-,-0.01,0,-0.02,,一般,15.0,
2018/08/30,EY1,201809/201810     ,-0.01,0,-0.01,0,-,-,11.0,-,-,-,-,0,-0.02,,一般,2.0,
2018/08/31,EY1,201809/201810     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,11.0,
2018/09/03,EY1,201809  ,11.5,11.55,11.15,11.2,-0.5,-4.27%,160.0,11.3,656,11.15,11.25,12.65,10.05,,一般,,
2018/09/03,EY1,201810  ,-,-,-,-,-,-,0.0,11.25,102,-,12.35,12.6,10.5,,一般,,
2018/09/04,EY1,201809  ,11.4,11.5,11.35,11.45,0.15,1.33%,50.0,11.45,629,11.4,11.45,12.65,10.05,,一般,,
2018/09/04,EY1,201810  ,11.35,11.55,11.35,11.45,0.2,1.78%,18.0,11.45,115,11.35,11.45,12.6,10.5,,一般,,
2018/09/05,EY1,201809  ,11.35,11.35,11.2,11.2,-0.25,-2.18%,29.0,11.25,600,11.15,11.25,12.65,10.05,,一般,,
2018/09/05,EY1,201810  ,-,-,-,-,-,-,0.0,11.2,115,11.1,11.3,12.6,10.5,,一般,,
2018/09/06,EY1,201809  ,11,11.05,11,11,-0.25,-2.22%,12.0,10.95,595,10.9,11,12.65,10.05,,一般,,
2018/09/06,EY1,201810  ,11,11,10.95,10.95,-0.25,-2.23%,2.0,10.95,116,10.85,11,12.6,10.5,,一般,,
