交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/7,FF1,201508,166.5,166.5,160,166,-1.5,-0.90%,72,166.0,299,165,167.5,217.5,160,,
2015/8/7,FF1,201509,167.5,167.5,162.5,167.5,0,0.00%,25,167.5,34,164,168,209,162.5,,
2015/8/10,FF1,201508,167,181,164,180,14,8.43%,108,179.0,247,179,180.5,217.5,160,,
2015/8/10,FF1,201509,177.5,177.5,177,177,9.5,5.67%,3,179.0,34,177.5,181,209,162.5,,
2015/8/11,FF1,201508,179,182,172.5,175,-4,-2.23%,24,172.5,242,171,175,217.5,160,,
2015/8/11,FF1,201509,177.5,177.5,177.5,177.5,-1.5,-0.84%,1,172.5,34,170,175,209,162.5,,
2015/8/12,FF1,201508,167,170.5,167,168,-4.5,-2.61%,6,169.5,241,168,171.5,217.5,160,,
2015/8/12,FF1,201509,-,-,-,-,-,-,-,169.0,34,167,171.5,209,162.5,,
2015/8/13,FF1,201508,170.5,171,169,170,0.5,0.29%,5,170.0,238,168,170,217.5,160,,
2015/8/13,FF1,201509,169,171,169,171,2,1.18%,4,170.0,33,166.5,170,209,162.5,,
2015/8/14,FF1,201508,166,167,160,167,-3,-1.76%,10,165.5,237,164.5,167,217.5,160,,
2015/8/14,FF1,201509,162.5,167,162.5,167,-3,-1.76%,2,165.5,33,163,167,209,162.5,,
2015/8/17,FF1,201508,166.5,166.5,166.5,166.5,1,0.60%,2,165.0,235,164,169.5,217.5,160,,
2015/8/17,FF1,201509,-,-,-,-,-,-,-,164.5,33,161,170,209,162.5,,
2015/8/18,FF1,201508,170.5,170.5,169,169,4,2.42%,19,168.0,217,167.5,169.5,217.5,160,,
2015/8/18,FF1,201509,169.5,169.5,169.5,169.5,5,3.04%,1,169.0,32,166.5,169.5,209,162.5,,
2015/8/19,FF1,201508,179,179,166,169,1,0.60%,50,0.0,174,168,169,217.5,160,,
2015/8/19,FF1,201509,167,167,167,167,-2,-1.18%,2,168.0,31,-,-,209,162.5,,
2015/8/20,FF1,201509,161,164,161,164,-4,-2.38%,18,164.5,25,162.5,164.5,209,161,,
2015/8/21,FF1,201509,159.5,159.5,158,158,-6.5,-3.95%,2,156.5,25,154.5,160,209,158,,
2015/8/24,FF1,201509,156.5,156.5,156.5,156.5,0,0.00%,1,148.0,25,-,-,209,156.5,,
2015/8/25,FF1,201509,-,-,-,-,-,-,-,162.0,25,160,-,209,156.5,,
2015/8/26,FF1,201509,-,-,-,-,-,-,-,161.5,25,-,-,209,156.5,,
2015/8/27,FF1,201509,-,-,-,-,-,-,-,164.5,25,-,-,209,156.5,,
2015/8/28,FF1,201509,168,168,168,168,3.5,2.13%,2,166.0,25,-,-,209,156.5,,
2015/8/31,FF1,201509,-,-,-,-,-,-,-,167.0,25,-,-,209,156.5,,
2015/9/1,FF1,201509,-,-,-,-,-,-,-,167.0,25,-,-,209,156.5,,
2015/9/2,FF1,201509,-,-,-,-,-,-,-,167.5,25,-,-,209,156.5,,
2015/9/3,FF1,201509,-,-,-,-,-,-,-,170.0,25,-,-,209,156.5,,
2015/9/4,FF1,201509,-,-,-,-,-,-,-,168.5,25,-,-,209,156.5,,
2015/9/7,FF1,201509,-,-,-,-,-,-,-,170.0,25,-,-,209,156.5,,
2015/9/8,FF1,201509,178.5,178.5,178.5,178.5,8.5,5.00%,1,183.5,24,182,-,209,156.5,,
2015/9/9,FF1,201509,-,-,-,-,-,-,-,181.0,24,-,-,209,156.5,,
2015/9/10,FF1,201509,181,181,181,181,0,0.00%,1,180.5,23,-,-,209,156.5,,
2015/9/11,FF1,201509,-,-,-,-,-,-,-,178.0,23,-,-,209,156.5,,
2015/9/14,FF1,201509,-,-,-,-,-,-,-,177.5,23,-,-,209,156.5,,
2015/9/15,FF1,201509,-,-,-,-,-,-,-,177.5,23,-,181,209,156.5,,
2015/9/16,FF1,201509,-,-,-,-,-,-,-,0.0,23,178.5,179.5,209,156.5,,
