交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FGF,201501,-,-,-,-,-,-,-,406.5,10,399.5,411.5,399,367,,
2015/1/5,FGF,201502,405,406.5,405,406.5,1.5,0.37%,4,406.5,7,399.5,411.5,406.5,366,,
2015/1/5,FGF,201503,-,-,-,-,-,-,-,410.5,0,-,-,-,-,,
2015/1/5,FGF,201506,-,-,-,-,-,-,-,411.5,1,-,-,401,391,,
2015/1/5,FGF,201509,-,-,-,-,-,-,-,417.5,0,-,-,-,-,,
2015/1/6,FGF,201501,-,-,-,-,-,-,-,399.0,10,390.5,402.5,399,367,,
2015/1/6,FGF,201502,-,-,-,-,-,-,-,399.0,7,390.5,402.5,406.5,366,,
2015/1/6,FGF,201503,-,-,-,-,-,-,-,403.0,0,-,-,-,-,,
2015/1/6,FGF,201506,-,-,-,-,-,-,-,404.0,1,-,-,401,391,,
2015/1/6,FGF,201509,-,-,-,-,-,-,-,410.0,0,-,-,-,-,,
2015/1/7,FGF,201501,398.5,398.5,398.5,398.5,-0.5,-0.13%,1,398.5,10,395,399,399,367,,
2015/1/7,FGF,201502,398,398,398,398,-1,-0.25%,1,398.0,7,394,398,406.5,366,,
2015/1/7,FGF,201503,-,-,-,-,-,-,-,399.5,0,-,-,-,-,,
2015/1/7,FGF,201506,-,-,-,-,-,-,-,400.5,1,-,-,401,391,,
2015/1/7,FGF,201509,-,-,-,-,-,-,-,406.5,0,-,-,-,-,,
2015/1/8,FGF,201501,-,-,-,-,-,-,-,401.5,10,398,405,399,367,,
2015/1/8,FGF,201502,-,-,-,-,-,-,-,401.0,7,394,400,406.5,366,,
2015/1/8,FGF,201503,-,-,-,-,-,-,-,402.5,0,-,404,-,-,,
2015/1/8,FGF,201506,-,-,-,-,-,-,-,403.5,1,-,-,401,391,,
2015/1/8,FGF,201509,-,-,-,-,-,-,-,409.5,0,-,-,-,-,,
2015/1/9,FGF,201501,412,421,412,419,17.5,4.36%,3,419.0,9,419,426,421,367,,
2015/1/9,FGF,201502,410,421,410,421,20,4.99%,5,421.0,9,418,425.5,421,366,,
2015/1/9,FGF,201503,-,-,-,-,-,-,-,420.0,0,-,-,-,-,,
2015/1/9,FGF,201506,-,-,-,-,-,-,-,421.0,1,-,-,401,391,,
2015/1/9,FGF,201509,-,-,-,-,-,-,-,427.0,0,-,-,-,-,,
2015/1/12,FGF,201501,420.5,420.5,420.5,420.5,1.5,0.36%,2,420.5,9,415,427.5,421,367,,
2015/1/12,FGF,201502,420,421,420,421,0,0.00%,3,421.0,7,414.5,425,421,366,,
2015/1/12,FGF,201503,-,-,-,-,-,-,-,421.5,0,-,-,-,-,,
2015/1/12,FGF,201506,-,-,-,-,-,-,-,422.5,1,-,-,401,391,,
2015/1/12,FGF,201509,-,-,-,-,-,-,-,428.5,0,-,-,-,-,,
2015/1/13,FGF,201501,430.5,438,430.5,436,15.5,3.69%,4,439.0,7,433.5,444,438,367,,
2015/1/13,FGF,201502,423.5,446,423.5,446,25,5.94%,7,439.5,12,434,439,446,366,,
2015/1/13,FGF,201503,-,-,-,-,-,-,-,440.0,0,433,-,-,-,,
2015/1/13,FGF,201506,-,-,-,-,-,-,-,441.0,1,-,-,401,391,,
2015/1/13,FGF,201509,-,-,-,-,-,-,-,447.0,0,-,-,-,-,,
2015/1/14,FGF,201501,429.5,429.5,429.5,429.5,-9.5,-2.16%,1,429.5,6,421,433,438,367,,
2015/1/14,FGF,201502,437,437,431,431,-8.5,-1.93%,3,431.0,11,416,433.5,446,366,,
2015/1/14,FGF,201503,-,-,-,-,-,-,-,430.5,0,-,-,-,-,,
2015/1/14,FGF,201506,-,-,-,-,-,-,-,431.5,1,-,-,401,391,,
2015/1/14,FGF,201509,-,-,-,-,-,-,-,437.5,0,-,-,-,-,,
2015/1/15,FGF,201501,-,-,-,-,-,-,-,428.0,6,419.5,436.5,438,367,,
2015/1/15,FGF,201502,-,-,-,-,-,-,-,429.5,11,419.5,435,446,366,,
2015/1/15,FGF,201503,-,-,-,-,-,-,-,429.0,0,418.5,-,-,-,,
2015/1/15,FGF,201506,-,-,-,-,-,-,-,430.0,1,-,-,401,391,,
2015/1/15,FGF,201509,-,-,-,-,-,-,-,436.0,0,-,-,-,-,,
2015/1/16,FGF,201501,427,427,427,427,-1,-0.23%,1,427.0,7,424,433.5,438,367,,
2015/1/16,FGF,201502,-,-,-,-,-,-,-,428.5,11,421.5,433.5,446,366,,
2015/1/16,FGF,201503,-,-,-,-,-,-,-,428.0,0,-,-,-,-,,
2015/1/16,FGF,201506,-,-,-,-,-,-,-,429.0,1,-,-,401,391,,
2015/1/16,FGF,201509,-,-,-,-,-,-,-,435.0,0,-,-,-,-,,
2015/1/19,FGF,201501,428,428,428,428,1,0.23%,3,428.0,6,424,434.5,438,367,,
2015/1/19,FGF,201502,430,430,428,428,-0.5,-0.12%,2,428.0,13,419.5,429,446,366,,
2015/1/19,FGF,201503,-,-,-,-,-,-,-,429.0,0,418.5,428,-,-,,
2015/1/19,FGF,201506,-,-,-,-,-,-,-,430.0,1,-,-,401,391,,
2015/1/19,FGF,201509,-,-,-,-,-,-,-,436.0,0,-,-,-,-,,
2015/1/20,FGF,201501,432,432,432,432,4,0.93%,1,432.0,6,426,435.5,438,367,,
2015/1/20,FGF,201502,430,430,430,430,2,0.47%,1,430.0,13,426,435.5,446,366,,
2015/1/20,FGF,201503,-,-,-,-,-,-,-,433.0,0,-,-,-,-,,
2015/1/20,FGF,201506,-,-,-,-,-,-,-,434.0,1,-,-,401,391,,
2015/1/20,FGF,201509,-,-,-,-,-,-,-,437.0,0,-,-,-,-,,
2015/1/21,FGF,201501,438,447,438,447,15,3.47%,2,0.0,6,446.5,448,447,367,,
2015/1/21,FGF,201502,442,448.5,442,445.5,15.5,3.60%,4,445.5,14,428.5,447,448.5,366,,
2015/1/21,FGF,201503,-,-,-,-,-,-,-,448.0,0,439,451.5,-,-,,
2015/1/21,FGF,201506,-,-,-,-,-,-,-,449.0,1,-,-,401,391,,
2015/1/21,FGF,201509,-,-,-,-,-,-,-,452.0,0,-,-,-,-,,
2015/1/22,FGF,201502,456,456,447.5,447.5,2,0.45%,3,447.5,13,441,448.5,456,366,,
2015/1/22,FGF,201503,-,-,-,-,-,-,-,449.5,0,442,449.5,-,-,,
2015/1/22,FGF,201506,-,-,-,-,-,-,-,451.0,1,-,-,401,391,,
2015/1/22,FGF,201509,-,-,-,-,-,-,-,454.0,0,-,-,-,-,,
2015/1/22,FGF,201512,-,-,-,-,-,-,-,455.5,0,-,-,-,-,,
2015/1/23,FGF,201502,460.5,460.5,450.5,450.5,3,0.67%,2,450.5,12,442.5,455.5,460.5,366,,
2015/1/23,FGF,201503,-,-,-,-,-,-,-,452.5,0,443.5,456,-,-,,
2015/1/23,FGF,201506,-,-,-,-,-,-,-,454.0,1,-,-,401,391,,
2015/1/23,FGF,201509,-,-,-,-,-,-,-,457.0,0,-,-,-,-,,
2015/1/23,FGF,201512,-,-,-,-,-,-,-,458.5,0,-,-,-,-,,
2015/1/26,FGF,201502,454,454,454,454,3.5,0.78%,1,454.0,12,447.5,461,460.5,366,,
2015/1/26,FGF,201503,-,-,-,-,-,-,-,456.0,0,448.5,460,-,-,,
2015/1/26,FGF,201506,-,-,-,-,-,-,-,457.5,1,-,-,401,391,,
2015/1/26,FGF,201509,-,-,-,-,-,-,-,460.5,0,-,-,-,-,,
2015/1/26,FGF,201512,-,-,-,-,-,-,-,462.0,0,-,-,-,-,,
2015/1/27,FGF,201502,455.5,455.5,455.5,455.5,1.5,0.33%,1,455.5,13,452,463,460.5,366,,
2015/1/27,FGF,201503,457.5,457.5,456,456,0,0.00%,2,456.0,0,452,462,457.5,456,,
2015/1/27,FGF,201506,-,-,-,-,-,-,-,459.0,1,-,-,401,391,,
2015/1/27,FGF,201509,-,-,-,-,-,-,-,462.0,0,-,-,-,-,,
2015/1/27,FGF,201512,-,-,-,-,-,-,-,463.5,0,-,-,-,-,,
2015/1/28,FGF,201502,-,-,-,-,-,-,-,458.5,13,452,465,460.5,366,,
