交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FJF,201503,-,-,-,-,-,-,-,32.55,38,-,-,33.7,30.7,,
2015/1/6,FJF,201503,32.35,32.35,32.35,32.35,-0.2,-0.61%,2,32.35,36,32,32.15,33.7,30.7,,
2015/1/7,FJF,201503,-,-,-,-,-,-,-,32.55,36,32.25,32.4,33.7,30.7,,
2015/1/8,FJF,201503,32.55,32.55,32.5,32.5,-0.05,-0.15%,3,32.5,39,32.4,32.55,33.7,30.7,,
2015/1/9,FJF,201503,-,-,-,-,-,-,-,32.25,39,-,34.5,33.7,30.7,,
2015/1/12,FJF,201503,32.1,32.1,32.1,32.1,-0.15,-0.47%,2,32.1,39,32,32.15,33.7,30.7,,
2015/1/13,FJF,201503,32,32.5,32,32.5,0.4,1.25%,5,32.5,35,-,-,33.7,30.7,,
2015/1/14,FJF,201503,32.4,32.4,32.2,32.2,-0.3,-0.92%,4,32.2,33,32.15,32.3,33.7,30.7,,
2015/1/15,FJF,201503,-,-,-,-,-,-,-,31.95,33,32,32.15,33.7,30.7,,
2015/1/16,FJF,201503,31.85,31.85,31.85,31.85,-0.1,-0.31%,2,31.85,33,-,-,33.7,30.7,,
2015/1/19,FJF,201503,-,-,-,-,-,-,-,31.75,33,-,-,33.7,30.7,,
2015/1/20,FJF,201503,-,-,-,-,-,-,-,32.0,33,-,-,33.7,30.7,,
2015/1/21,FJF,201503,31.9,31.9,31.9,31.9,-0.1,-0.31%,1,31.9,34,31.75,32.2,33.7,30.7,,
2015/1/22,FJF,201503,32.25,32.25,32.05,32.1,0.2,0.63%,18,32.1,36,31.85,32.75,33.7,30.7,,
2015/1/23,FJF,201503,32.05,32.05,32.05,32.05,-0.05,-0.16%,3,32.05,39,32,32.35,33.7,30.7,,
2015/1/26,FJF,201503,32.05,32.05,31.95,31.95,-0.1,-0.31%,4,31.95,43,31.8,32.75,33.7,30.7,,
2015/1/27,FJF,201503,31.85,31.85,31.85,31.85,-0.1,-0.31%,1,31.85,44,31.8,32.25,33.7,30.7,,
2015/1/28,FJF,201503,32.25,32.65,32.25,32.6,0.75,2.35%,9,32.6,51,32.55,32.8,33.7,30.7,,
2015/1/29,FJF,201503,32.45,32.65,32.45,32.5,-0.1,-0.31%,7,32.5,56,32.35,32.95,33.7,30.7,,
2015/1/30,FJF,201503,32.25,32.25,32.25,32.25,-0.25,-0.77%,1,32.25,57,32,32.45,33.7,30.7,,
2015/2/2,FJF,201503,32.3,32.3,32.25,32.3,0.05,0.16%,8,32.3,62,32.25,32.75,33.7,30.7,,
2015/2/3,FJF,201503,32.35,32.35,32.35,32.35,0.05,0.15%,1,32.35,62,32.25,32.4,33.7,30.7,,
2015/2/4,FJF,201503,32.3,32.3,32.25,32.25,-0.1,-0.31%,7,32.25,56,32.1,32.25,33.7,30.7,,
2015/2/5,FJF,201503,-,-,-,-,-,-,-,32.5,56,32.3,32.65,33.7,30.7,,
2015/2/6,FJF,201503,-,-,-,-,-,-,-,32.25,56,32.15,32.3,33.7,30.7,,
2015/2/9,FJF,201503,-,-,-,-,-,-,-,32.15,56,32,32.45,33.7,30.7,,
2015/2/10,FJF,201503,32.15,32.15,32.15,32.15,0,0.00%,1,32.15,56,32,32.45,33.7,30.7,,
2015/2/11,FJF,201503,-,-,-,-,-,-,-,32.0,56,31.8,32.25,33.7,30.7,,
2015/2/12,FJF,201503,-,-,-,-,-,-,-,32.05,56,31.8,32.25,33.7,30.7,,
2015/2/13,FJF,201503,-,-,-,-,-,-,-,31.9,56,31.65,32.1,33.7,30.7,,
2015/2/24,FJF,201503,-,-,-,-,-,-,-,32.05,56,31.9,32.4,33.7,30.7,,
2015/2/25,FJF,201503,32,32,32,32,-0.05,-0.16%,12,32.0,56,31.65,32.1,33.7,30.7,,
2015/2/26,FJF,201503,-,-,-,-,-,-,-,32.1,56,-,32.25,33.7,30.7,,
2015/3/2,FJF,201503,-,-,-,-,-,-,-,32.0,56,31.8,32.3,33.7,30.7,,
2015/3/3,FJF,201503,-,-,-,-,-,-,-,32.1,56,32.1,32.25,33.7,30.7,,
2015/3/4,FJF,201503,31.95,31.95,31.95,31.95,-0.15,-0.47%,1,31.95,55,31.75,32.05,33.7,30.7,,
2015/3/5,FJF,201503,31.85,31.85,31.85,31.85,-0.1,-0.31%,1,31.85,54,31.65,33.8,33.7,30.7,,
2015/3/6,FJF,201503,-,-,-,-,-,-,-,31.75,54,31.6,-,33.7,30.7,,
2015/3/9,FJF,201503,31.6,31.6,31.6,31.6,-0.15,-0.47%,1,31.6,55,31.5,31.95,33.7,30.7,,
2015/3/10,FJF,201503,31.65,31.8,31.65,31.8,0.2,0.63%,2,31.8,54,31.45,31.85,33.7,30.7,,
2015/3/11,FJF,201503,-,-,-,-,-,-,-,31.5,54,31.3,31.7,33.7,30.7,,
2015/3/12,FJF,201503,-,-,-,-,-,-,-,31.5,54,31.45,-,33.7,30.7,,
2015/3/13,FJF,201503,-,-,-,-,-,-,-,31.5,54,31.3,-,33.7,30.7,,
2015/3/16,FJF,201503,-,-,-,-,-,-,-,31.55,54,31.4,31.85,33.7,30.7,,
2015/3/17,FJF,201503,-,-,-,-,-,-,-,31.5,54,30.85,31.6,33.7,30.7,,
2015/3/18,FJF,201503,-,-,-,-,-,-,-,0.0,54,-,33.25,33.7,30.7,,
