交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/9/30,FM1,201612,-,-,-,-,-,-,-,15.25,7,-,-,15,14.85,,
2016/10/3,FM1,201612,-,-,-,-,-,-,-,15.25,7,14.8,-,15,14.85,,
2016/10/4,FM1,201612,-,-,-,-,-,-,-,15.6,7,-,-,15,14.85,,
2016/10/5,FM1,201612,-,-,-,-,-,-,-,15.6,7,-,-,15,14.85,,
2016/10/6,FM1,201612,15.5,15.5,15.5,15.5,-0.1,-0.64%,5,15.5,12,-,-,15.5,14.85,,
2016/10/7,FM1,201612,-,-,-,-,-,-,-,15.5,12,14.4,16.6,15.5,14.85,,
2016/10/11,FM1,201612,15.3,15.3,15.3,15.3,-0.2,-1.29%,3,15.3,15,15.25,-,15.5,14.85,,
2016/10/12,FM1,201612,-,-,-,-,-,-,-,15.15,15,15,16.35,15.5,14.85,,
2016/10/13,FM1,201612,-,-,-,-,-,-,-,15.35,15,14.9,-,15.5,14.85,,
2016/10/14,FM1,201612,15.25,15.25,15.25,15.25,-0.1,-0.65%,2,15.25,17,15,-,15.5,14.85,,
2016/10/17,FM1,201612,-,-,-,-,-,-,-,15.0,17,-,-,15.5,14.85,,
2016/10/18,FM1,201612,-,-,-,-,-,-,-,15.15,17,13.95,16.05,15.5,14.85,,
2016/10/19,FM1,201612,-,-,-,-,-,-,-,15.1,17,-,-,15.5,14.85,,
2016/10/20,FM1,201612,15.15,15.15,15.1,15.1,0,0.00%,3,15.1,20,14.9,16.15,15.5,14.85,,
2016/10/21,FM1,201612,-,-,-,-,-,-,-,14.95,20,14.8,-,15.5,14.85,,
2016/10/24,FM1,201612,-,-,-,-,-,-,-,15.0,20,-,16,15.5,14.85,,
2016/10/25,FM1,201612,-,-,-,-,-,-,-,15.0,20,13.95,16.05,15.5,14.85,,
2016/10/26,FM1,201612,-,-,-,-,-,-,-,14.9,20,13.95,16.05,15.5,14.85,,
2016/10/27,FM1,201612,-,-,-,-,-,-,-,15.0,20,-,-,15.5,14.85,,
2016/10/28,FM1,201612,-,-,-,-,-,-,-,14.85,20,-,-,15.5,14.85,,
2016/10/31,FM1,201612,-,-,-,-,-,-,-,14.8,20,13.8,15.9,15.5,14.85,,
2016/11/1,FM1,201612,-,-,-,-,-,-,-,14.65,20,13.75,15.85,15.5,14.85,,
2016/11/2,FM1,201612,-,-,-,-,-,-,-,14.25,20,-,-,15.5,14.85,,
2016/11/3,FM1,201612,-,-,-,-,-,-,-,14.15,20,-,-,15.5,14.85,,
2016/11/4,FM1,201612,-,-,-,-,-,-,-,14.2,20,13.15,15.15,15.5,14.85,,
2016/11/7,FM1,201612,-,-,-,-,-,-,-,14.35,20,14.35,-,15.5,14.85,,
2016/11/8,FM1,201612,-,-,-,-,-,-,-,14.45,20,-,-,15.5,14.85,,
2016/11/9,FM1,201612,-,-,-,-,-,-,-,14.1,20,-,-,15.5,14.85,,
2016/11/10,FM1,201612,-,-,-,-,-,-,-,14.35,20,13.1,15.1,15.5,14.85,,
2016/11/11,FM1,201612,-,-,-,-,-,-,-,14.15,20,-,-,15.5,14.85,,
2016/11/14,FM1,201612,-,-,-,-,-,-,-,14.2,20,-,-,15.5,14.85,,
2016/11/15,FM1,201612,-,-,-,-,-,-,-,14.4,20,-,-,15.5,14.85,,
2016/11/16,FM1,201612,-,-,-,-,-,-,-,14.35,20,-,-,15.5,14.85,,
2016/11/17,FM1,201612,-,-,-,-,-,-,-,14.2,20,-,-,15.5,14.85,,
2016/11/18,FM1,201612,-,-,-,-,-,-,-,14.2,20,13.2,15.2,15.5,14.85,,
2016/11/21,FM1,201612,-,-,-,-,-,-,-,14.2,20,13.2,15.2,15.5,14.85,,
2016/11/22,FM1,201612,-,-,-,-,-,-,-,14.35,20,-,-,15.5,14.85,,
2016/11/23,FM1,201612,-,-,-,-,-,-,-,14.5,20,14.4,-,15.5,14.85,,
2016/11/24,FM1,201612,-,-,-,-,-,-,-,14.5,20,-,-,15.5,14.85,,
2016/11/25,FM1,201612,-,-,-,-,-,-,-,14.35,20,13.5,15.5,15.5,14.85,,
2016/11/28,FM1,201612,-,-,-,-,-,-,-,14.45,20,13.35,15.35,15.5,14.85,,
2016/11/29,FM1,201612,-,-,-,-,-,-,-,14.75,20,14.5,-,15.5,14.85,,
2016/11/30,FM1,201612,-,-,-,-,-,-,-,15.05,20,-,-,15.5,14.85,,
2016/12/1,FM1,201612,-,-,-,-,-,-,-,15.05,20,14,16.1,15.5,14.85,,
2016/12/2,FM1,201612,-,-,-,-,-,-,-,15.25,20,15,16.1,15.5,14.85,,
2016/12/5,FM1,201612,-,-,-,-,-,-,-,15.1,20,-,16.7,15.5,14.85,,
2016/12/6,FM1,201612,-,-,-,-,-,-,-,15.1,20,14.05,16.15,15.5,14.85,,
2016/12/7,FM1,201612,-,-,-,-,-,-,-,15.2,20,-,-,15.5,14.85,,
2016/12/8,FM1,201612,-,-,-,-,-,-,-,15.25,20,-,-,15.5,14.85,,
2016/12/9,FM1,201612,-,-,-,-,-,-,-,15.25,20,-,-,15.5,14.85,,
2016/12/12,FM1,201612,15.3,15.6,15.3,15.6,0.35,2.30%,2,15.6,20,14.2,15.7,15.6,14.85,,
2016/12/13,FM1,201612,-,-,-,-,-,-,-,15.55,20,-,17,15.6,14.85,,
2016/12/14,FM1,201612,-,-,-,-,-,-,-,15.55,20,-,17,15.6,14.85,,
2016/12/15,FM1,201612,-,-,-,-,-,-,-,15.65,20,-,17.1,15.6,14.85,,
2016/12/16,FM1,201612,15.65,15.65,15.65,15.65,0,0.00%,1,15.65,19,14.55,15.75,15.65,14.85,,
2016/12/19,FM1,201612,15.5,15.5,15.5,15.5,-0.15,-0.96%,5,15.5,14,-,-,15.65,14.85,,
2016/12/20,FM1,201612,-,-,-,-,-,-,-,15.45,14,-,15.8,15.65,14.85,,
2016/12/21,FM1,201612,15.6,15.6,15.6,15.6,0.15,0.97%,10,0,14,-,15.7,15.65,14.85,,
