交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FMF,201501,32.95,32.95,32.95,32.95,-0.05,-0.15%,1,32.95,64,32.5,33.15,33.7,32.45,,
2015/1/5,FMF,201502,32.95,32.95,32.95,32.95,-0.15,-0.45%,5,32.95,23,32.4,33.05,33.65,32.5,,
2015/1/5,FMF,201503,-,-,-,-,-,-,-,32.9,0,-,-,32.75,32.5,,
2015/1/5,FMF,201506,-,-,-,-,-,-,-,33.1,2,-,-,32.9,32.9,,
2015/1/5,FMF,201509,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/1/6,FMF,201501,32.7,32.7,32.7,32.7,-0.25,-0.76%,6,32.7,64,32.4,33,33.7,32.45,,
2015/1/6,FMF,201502,-,-,-,-,-,-,-,32.7,23,32.3,33.5,33.65,32.5,,
2015/1/6,FMF,201503,-,-,-,-,-,-,-,32.65,0,-,-,32.75,32.5,,
2015/1/6,FMF,201506,-,-,-,-,-,-,-,32.85,2,-,-,32.9,32.9,,
2015/1/6,FMF,201509,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/1/7,FMF,201501,-,-,-,-,-,-,-,32.75,64,32.4,33.05,33.7,32.45,,
2015/1/7,FMF,201502,32.9,32.9,32.9,32.9,0.2,0.61%,1,32.9,24,32.3,32.95,33.65,32.5,,
2015/1/7,FMF,201503,-,-,-,-,-,-,-,32.7,0,-,-,32.75,32.5,,
2015/1/7,FMF,201506,-,-,-,-,-,-,-,32.9,2,-,-,32.9,32.9,,
2015/1/7,FMF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/8,FMF,201501,33.05,33.05,33,33,0.25,0.76%,24,33.0,52,32.95,33.2,33.7,32.45,,
2015/1/8,FMF,201502,33.1,33.1,32.95,32.95,0.05,0.15%,9,32.95,26,32.85,33.35,33.65,32.5,,
2015/1/8,FMF,201503,-,-,-,-,-,-,-,32.95,0,-,-,32.75,32.5,,
2015/1/8,FMF,201506,-,-,-,-,-,-,-,33.15,2,-,-,32.9,32.9,,
2015/1/8,FMF,201509,-,-,-,-,-,-,-,33.5,0,-,-,-,-,,
2015/1/9,FMF,201501,-,-,-,-,-,-,-,32.95,52,32.65,33.25,33.7,32.45,,
2015/1/9,FMF,201502,33.1,33.1,33.1,33.1,0.15,0.46%,2,33.1,28,32.55,33.25,33.65,32.5,,
