交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FNF,201501,46.2,46.2,46.2,46.2,-0.3,-0.65%,1,46.2,44,45.9,47,47.8,45.3,,
2015/1/5,FNF,201502,46.25,46.25,46.25,46.25,-0.45,-0.96%,2,46.25,16,45.9,46.45,46.7,45.35,,
2015/1/5,FNF,201503,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/1/5,FNF,201506,-,-,-,-,-,-,-,46.4,0,-,-,-,-,,
2015/1/5,FNF,201509,-,-,-,-,-,-,-,46.2,0,-,-,-,-,,
2015/1/6,FNF,201501,45.6,45.85,45.35,45.35,-0.85,-1.84%,4,45.35,46,44.95,45.35,47.8,45.3,,
2015/1/6,FNF,201502,45.5,45.5,45.35,45.35,-0.9,-1.95%,3,45.35,15,44.85,45.45,46.7,45.35,,
2015/1/6,FNF,201503,-,-,-,-,-,-,-,45.1,0,-,-,-,-,,
2015/1/6,FNF,201506,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/6,FNF,201509,-,-,-,-,-,-,-,45.35,0,-,-,-,-,,
2015/1/7,FNF,201501,-,-,-,-,-,-,-,45.35,46,45.05,45.6,47.8,45.3,,
2015/1/7,FNF,201502,45.4,45.4,45.4,45.4,0.05,0.11%,4,45.4,11,45.05,45.65,46.7,45.35,,
2015/1/7,FNF,201503,-,-,-,-,-,-,-,45.1,0,-,-,-,-,,
2015/1/7,FNF,201506,-,-,-,-,-,-,-,45.55,0,-,-,-,-,,
2015/1/7,FNF,201509,-,-,-,-,-,-,-,45.35,0,-,-,-,-,,
2015/1/8,FNF,201501,45.85,46.3,45.85,46.3,0.95,2.09%,5,46.3,46,46,46.6,47.8,45.3,,
2015/1/8,FNF,201502,46,46.35,46,46.3,0.9,1.98%,5,46.3,11,46,46.6,46.7,45.35,,
2015/1/8,FNF,201503,-,-,-,-,-,-,-,46.05,0,-,-,-,-,,
2015/1/8,FNF,201506,-,-,-,-,-,-,-,46.5,0,-,-,-,-,,
2015/1/8,FNF,201509,-,-,-,-,-,-,-,46.3,0,-,-,-,-,,
2015/1/9,FNF,201501,-,-,-,-,-,-,-,46.15,46,46.1,46.65,47.8,45.3,,
2015/1/9,FNF,201502,46.45,46.45,46.3,46.3,0,0.00%,6,46.3,10,46.1,46.7,46.7,45.35,,
2015/1/9,FNF,201503,-,-,-,-,-,-,-,45.9,0,-,-,-,-,,
2015/1/9,FNF,201506,-,-,-,-,-,-,-,46.35,0,-,-,-,-,,
2015/1/9,FNF,201509,-,-,-,-,-,-,-,46.15,0,-,-,-,-,,
2015/1/12,FNF,201501,46.2,46.2,46.2,46.2,0.05,0.11%,1,46.2,45,45.95,46.5,47.8,45.3,,
2015/1/12,FNF,201502,46.4,46.4,46.4,46.4,0.1,0.22%,1,46.4,10,45.95,46.5,46.7,45.35,,
2015/1/12,FNF,201503,-,-,-,-,-,-,-,45.95,0,-,-,-,-,,
2015/1/12,FNF,201506,-,-,-,-,-,-,-,46.4,0,-,-,-,-,,
2015/1/12,FNF,201509,-,-,-,-,-,-,-,46.2,0,-,-,-,-,,
2015/1/13,FNF,201501,46.5,46.5,46.45,46.45,0.25,0.54%,2,46.45,44,46.35,46.95,47.8,45.3,,
2015/1/13,FNF,201502,46.6,46.6,46.6,46.6,0.2,0.43%,1,46.6,11,46.35,46.6,46.7,45.35,,
2015/1/13,FNF,201503,-,-,-,-,-,-,-,46.2,0,-,-,-,-,,
2015/1/13,FNF,201506,-,-,-,-,-,-,-,46.65,0,-,-,-,-,,
2015/1/13,FNF,201509,-,-,-,-,-,-,-,46.45,0,-,-,-,-,,
