交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/11/01,FSF,202311  ,13.95,13.95,13.95,13.95,0,0.00%,2.0,13.95,1,13.85,14.75,13.95,13.95,,一般,,
2023/11/01,FSF,202312  ,-,-,-,-,-,-,0.0,13.95,0,13.35,15.25,-,-,,一般,,
2023/11/01,FSF,202403  ,-,-,-,-,-,-,0.0,14,0,13.45,15.15,-,-,,一般,,
2023/11/01,FSF,202406  ,-,-,-,-,-,-,0.0,14.05,0,13.45,15.15,-,-,,一般,,
2023/11/01,FSF,202409  ,-,-,-,-,-,-,0.0,14.1,0,13.45,15.15,-,-,,一般,,
2023/11/02,FSF,202311  ,14.25,14.35,14.25,14.35,0.4,2.87%,2.0,14.35,3,14.2,15.05,14.35,13.95,,一般,,
2023/11/02,FSF,202312  ,-,-,-,-,-,-,0.0,14.35,0,13.7,-,-,-,,一般,,
2023/11/02,FSF,202403  ,14.35,14.45,14.3,14.3,0.3,2.14%,21.0,14.3,21,14.3,-,14.45,14.3,,一般,,
2023/11/02,FSF,202406  ,14.4,14.5,14.4,14.45,0.4,2.85%,11.0,14.45,11,14.35,15.45,14.5,14.4,,一般,,
2023/11/02,FSF,202409  ,-,-,-,-,-,-,0.0,14.4,0,13.8,15.45,-,-,,一般,,
2023/11/03,FSF,202311  ,14.35,14.35,14.35,14.35,0,0.00%,1.0,14.35,3,14.3,15.1,14.35,13.95,,一般,,
2023/11/03,FSF,202312  ,-,-,-,-,-,-,0.0,14.35,0,13.8,15.6,-,-,,一般,,
2023/11/03,FSF,202403  ,14.55,14.55,14.5,14.5,0.2,1.40%,4.0,14.5,25,14.4,15.5,14.55,14.3,,一般,,
2023/11/03,FSF,202406  ,14.55,14.55,14.55,14.55,0.1,0.69%,2.0,14.55,13,14.5,15.5,14.55,14.4,,一般,,
2023/11/03,FSF,202409  ,-,-,-,-,-,-,0.0,14.4,0,13.9,-,-,-,,一般,,
2023/11/06,FSF,202311  ,14.55,14.55,14.55,14.55,0.2,1.39%,1.0,14.6,4,14.6,14.7,14.55,13.95,,一般,,
2023/11/06,FSF,202312  ,-,-,-,-,-,-,0.0,14.6,0,14.6,15.2,-,-,,一般,,
2023/11/06,FSF,202403  ,14.7,14.7,14.7,14.7,0.2,1.38%,1.0,14.7,26,14.5,15.1,14.7,14.3,,一般,,
2023/11/06,FSF,202406  ,-,-,-,-,-,-,0.0,14.8,13,14.55,15.1,14.55,14.4,,一般,,
2023/11/06,FSF,202409  ,-,-,-,-,-,-,0.0,14.65,0,14.2,15.2,-,-,,一般,,
2023/11/07,FSF,202311  ,14.45,14.5,14.45,14.45,-0.15,-1.03%,5.0,14.45,5,14.05,14.55,14.55,13.95,,一般,,
2023/11/07,FSF,202312  ,14.55,14.55,14.45,14.45,-0.15,-1.03%,2.0,14.45,2,14.45,15.05,14.55,14.45,,一般,,
2023/11/07,FSF,202403  ,14.65,14.65,14.55,14.55,-0.15,-1.02%,6.0,14.55,32,14.45,14.95,14.7,14.3,,一般,,
2023/11/07,FSF,202406  ,14.75,14.75,14.7,14.7,-0.1,-0.68%,2.0,14.65,15,14.35,14.95,14.75,14.4,,一般,,
2023/11/07,FSF,202409  ,-,-,-,-,-,-,0.0,14.5,0,-,14.95,-,-,,一般,,
2023/11/08,FSF,202311  ,14.55,14.55,14.45,14.45,0,0.00%,2.0,14.45,5,14.15,14.5,14.55,13.95,,一般,,
2023/11/08,FSF,202312  ,-,-,-,-,-,-,0.0,14.55,2,14.55,15,14.55,14.45,,一般,,
2023/11/08,FSF,202403  ,14.65,14.65,14.65,14.65,0.1,0.69%,2.0,14.65,34,14.55,14.9,14.7,14.3,,一般,,
2023/11/08,FSF,202406  ,-,-,-,-,-,-,0.0,14.65,15,-,14.9,14.75,14.4,,一般,,
2023/11/08,FSF,202409  ,-,-,-,-,-,-,0.0,14.6,0,-,-,-,-,,一般,,
2023/11/09,FSF,202311  ,14.35,14.35,14.35,14.35,-0.1,-0.69%,2.0,14.35,5,14.3,14.35,14.55,13.95,,一般,,
2023/11/09,FSF,202312  ,-,-,-,-,-,-,0.0,14.45,2,14.4,14.85,14.55,14.45,,一般,,
2023/11/09,FSF,202403  ,14.55,14.55,14.5,14.5,-0.15,-1.02%,3.0,14.5,37,14.45,14.75,14.7,14.3,,一般,,
2023/11/09,FSF,202406  ,-,-,-,-,-,-,0.0,14.55,15,13.9,14.75,14.75,14.4,,一般,,
2023/11/09,FSF,202409  ,-,-,-,-,-,-,0.0,14.5,0,13.9,-,-,-,,一般,,
2023/11/10,FSF,202311  ,14.25,14.25,14.25,14.25,-0.1,-0.70%,1.0,14.3,4,14.3,-,14.55,13.95,,一般,,
2023/11/10,FSF,202312  ,-,-,-,-,-,-,0.0,14.4,2,14.35,-,14.55,14.45,,一般,,
2023/11/10,FSF,202403  ,14.4,14.45,14.4,14.4,-0.1,-0.69%,3.0,14.4,40,13.9,-,14.7,14.3,,一般,,
2023/11/10,FSF,202406  ,-,-,-,-,-,-,0.0,14.5,15,13.9,-,14.75,14.4,,一般,,
2023/11/10,FSF,202409  ,-,-,-,-,-,-,0.0,14.45,0,13.9,-,-,-,,一般,,
2023/11/13,FSF,202311  ,-,-,-,-,-,-,0.0,14.15,4,13.7,-,14.55,13.95,,一般,,
2023/11/13,FSF,202312  ,-,-,-,-,-,-,0.0,14.25,2,14.2,-,14.55,14.45,,一般,,
2023/11/13,FSF,202403  ,14.4,14.4,14.4,14.4,0,0.00%,1.0,14.25,41,-,-,14.7,14.3,,一般,,
2023/11/13,FSF,202406  ,-,-,-,-,-,-,0.0,14.35,15,-,-,14.75,14.4,,一般,,
2023/11/13,FSF,202409  ,-,-,-,-,-,-,0.0,14.3,0,-,-,-,-,,一般,,
2023/11/14,FSF,202311  ,-,-,-,-,-,-,0.0,14.25,4,13.9,-,14.55,13.95,,一般,,
2023/11/14,FSF,202312  ,-,-,-,-,-,-,0.0,14.35,2,14.3,-,14.55,14.45,,一般,,
2023/11/14,FSF,202403  ,-,-,-,-,-,-,0.0,14.35,41,14,-,14.7,14.3,,一般,,
2023/11/14,FSF,202406  ,-,-,-,-,-,-,0.0,14.45,15,-,-,14.75,14.4,,一般,,
2023/11/14,FSF,202409  ,-,-,-,-,-,-,0.0,14.4,0,-,-,-,-,,一般,,
2023/11/15,FSF,202311  ,14.35,14.55,14.35,14.55,0.3,2.11%,2.0,0,2,14.5,14.6,14.55,13.95,,一般,,
2023/11/15,FSF,202312  ,14.7,14.7,14.7,14.7,0.35,2.44%,2.0,14.7,4,14.35,-,14.7,14.45,,一般,,
2023/11/15,FSF,202403  ,14.8,14.8,14.65,14.65,0.3,2.09%,6.0,14.65,47,14.6,-,14.8,14.3,,一般,,
2023/11/15,FSF,202406  ,-,-,-,-,-,-,0.0,14.75,15,13.95,-,14.75,14.4,,一般,,
2023/11/15,FSF,202409  ,-,-,-,-,-,-,0.0,14.7,0,-,-,-,-,,一般,,
2023/11/16,FSF,202312  ,14.65,14.85,14.65,14.8,0.1,0.68%,3.0,14.8,6,14.75,-,14.85,14.45,,一般,,
2023/11/16,FSF,202401  ,-,-,-,-,-,-,0.0,14.85,0,14.25,-,-,-,,一般,,
2023/11/16,FSF,202403  ,-,-,-,-,-,-,0.0,14.75,47,14.8,-,14.8,14.3,,一般,,
2023/11/16,FSF,202406  ,-,-,-,-,-,-,0.0,14.85,15,14.7,-,14.75,14.4,,一般,,
2023/11/16,FSF,202409  ,-,-,-,-,-,-,0.0,14.8,0,-,-,-,-,,一般,,
2023/11/17,FSF,202312  ,15,15.1,14.95,14.95,0.15,1.01%,114.0,14.95,116,15.05,-,15.1,14.45,,一般,,
2023/11/17,FSF,202401  ,-,-,-,-,-,-,0.0,15,0,14.55,-,-,-,,一般,,
2023/11/17,FSF,202403  ,15.25,15.25,15.25,15.25,0.5,3.39%,2.0,15,49,15,-,15.25,14.3,,一般,,
2023/11/17,FSF,202406  ,-,-,-,-,-,-,0.0,15,15,14.65,-,14.75,14.4,,一般,,
2023/11/17,FSF,202409  ,-,-,-,-,-,-,0.0,14.95,0,-,-,-,-,,一般,,
2023/11/20,FSF,202312  ,15.25,15.5,15.1,15.3,0.35,2.34%,120.0,15.3,143,15.25,15.4,15.5,14.45,,一般,,
2023/11/20,FSF,202401  ,15.5,15.5,15.25,15.25,0.25,1.67%,14.0,15.25,14,15.2,15.9,15.5,15.25,,一般,,
2023/11/20,FSF,202403  ,15.6,15.6,15.3,15.3,0.3,2.00%,10.0,15.3,59,15.2,15.8,15.6,14.3,,一般,,
2023/11/20,FSF,202406  ,-,-,-,-,-,-,0.0,15.35,15,14.85,15.4,14.75,14.4,,一般,,
2023/11/20,FSF,202409  ,-,-,-,-,-,-,0.0,15.3,0,-,-,-,-,,一般,,
2023/11/21,FSF,202312  ,15.35,15.55,15.3,15.5,0.2,1.31%,153.0,15.5,91,15.5,15.55,15.55,14.45,,一般,,
2023/11/21,FSF,202401  ,-,-,-,-,-,-,0.0,15.45,14,15.4,16.05,15.5,15.25,,一般,,
2023/11/21,FSF,202403  ,15.55,15.55,15.5,15.5,0.2,1.31%,5.0,15.5,64,15.45,15.95,15.6,14.3,,一般,,
2023/11/21,FSF,202406  ,15.65,15.65,15.65,15.65,0.3,1.95%,5.0,15.65,20,15.4,15.95,15.65,14.4,,一般,,
2023/11/21,FSF,202409  ,-,-,-,-,-,-,0.0,15.5,0,-,-,-,-,,一般,,
2023/11/22,FSF,202312  ,15.4,15.8,15.4,15.7,0.2,1.29%,50.0,15.7,110,15.7,16.95,15.8,14.45,,一般,,
2023/11/22,FSF,202401  ,15.45,15.65,15.45,15.65,0.2,1.29%,3.0,15.65,14,15.65,-,15.65,15.25,,一般,,
2023/11/22,FSF,202403  ,15.55,15.55,15.55,15.55,0.05,0.32%,1.0,15.65,65,15.65,-,15.6,14.3,,一般,,
