交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GIF,201501,34.2,34.55,34.2,34.55,0.2,0.58%,2,34.55,259,34.15,34.8,36.05,32.7,,
2015/1/5,GIF,201502,-,-,-,-,-,-,-,34.5,116,34.15,34.8,35.05,33.15,,
2015/1/5,GIF,201503,-,-,-,-,-,-,-,34.15,0,-,-,-,-,,
2015/1/5,GIF,201506,-,-,-,-,-,-,-,34.15,0,-,-,-,-,,
2015/1/5,GIF,201509,-,-,-,-,-,-,-,34.15,0,-,-,-,-,,
2015/1/6,GIF,201501,34.3,34.3,33.95,33.95,-0.6,-1.74%,43,34.45,253,34,34.9,36.05,32.7,,
2015/1/6,GIF,201502,34.3,34.3,34,34,-0.5,-1.45%,8,34.5,116,34,34.95,35.05,33.15,,
2015/1/6,GIF,201503,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/1/6,GIF,201506,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/1/6,GIF,201509,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/1/7,GIF,201501,34.1,34.15,34.1,34.1,-0.35,-1.02%,31,34.1,261,33.9,34.7,36.05,32.7,,
2015/1/7,GIF,201502,34.1,34.25,34.1,34.25,-0.25,-0.72%,23,34.25,98,33.9,34.7,35.05,33.15,,
2015/1/7,GIF,201503,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/1/7,GIF,201506,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/1/7,GIF,201509,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/1/8,GIF,201501,34.6,34.85,34.5,34.5,0.4,1.17%,41,34.5,236,34.35,34.65,36.05,32.7,,
2015/1/8,GIF,201502,34.55,34.85,34.5,34.5,0.25,0.73%,16,34.5,94,34.35,34.75,35.05,33.15,,
2015/1/8,GIF,201503,-,-,-,-,-,-,-,34.1,0,-,-,-,-,,
2015/1/8,GIF,201506,-,-,-,-,-,-,-,34.1,0,-,-,-,-,,
2015/1/8,GIF,201509,-,-,-,-,-,-,-,34.1,0,-,-,-,-,,
2015/1/9,GIF,201501,34.65,34.65,34.3,34.3,-0.2,-0.58%,19,34.3,218,34.05,35.1,36.05,32.7,,
