交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GJF,201501,105.5,105.5,104.5,105,-1,-0.94%,21,105.0,76,104.5,107.5,110,100,,
2015/1/5,GJF,201502,-,-,-,-,-,-,-,105.5,83,104.5,107.5,106.5,102,,
2015/1/5,GJF,201503,-,-,-,-,-,-,-,105.0,1,-,108.5,104.5,102.5,,
2015/1/5,GJF,201506,-,-,-,-,-,-,-,104.5,4,-,-,110,106.5,,
2015/1/5,GJF,201509,-,-,-,-,-,-,-,105.0,0,-,-,-,-,,
2015/1/6,GJF,201501,105,107,105,106.5,1.5,1.43%,58,106.5,77,106.5,108,110,100,,
2015/1/6,GJF,201502,105,107,105,106.5,1,0.95%,26,106.5,98,106.5,108.5,107,102,,
2015/1/6,GJF,201503,-,-,-,-,-,-,-,106.5,1,104.5,109,104.5,102.5,,
2015/1/6,GJF,201506,-,-,-,-,-,-,-,106.0,4,-,-,110,106.5,,
2015/1/6,GJF,201509,-,-,-,-,-,-,-,106.5,0,-,-,-,-,,
2015/1/7,GJF,201501,106,106,105.5,105.5,-1,-0.94%,8,105.5,77,105,106.5,110,100,,
2015/1/7,GJF,201502,105.5,106,105.5,106,-0.5,-0.47%,3,106.0,99,105.5,106.5,107,102,,
2015/1/7,GJF,201503,-,-,-,-,-,-,-,105.5,1,-,107.5,104.5,102.5,,
2015/1/7,GJF,201506,-,-,-,-,-,-,-,105.0,4,-,-,110,106.5,,
2015/1/7,GJF,201509,-,-,-,-,-,-,-,105.5,0,-,-,-,-,,
2015/1/8,GJF,201501,106,107,106,106,0.5,0.47%,21,106.0,73,105.5,106.5,110,100,,
2015/1/8,GJF,201502,106,107,106,106,0,0.00%,5,106.0,102,105.5,106.5,107,102,,
2015/1/8,GJF,201503,-,-,-,-,-,-,-,106.0,1,-,108,104.5,102.5,,
2015/1/8,GJF,201506,-,-,-,-,-,-,-,105.5,4,-,-,110,106.5,,
2015/1/8,GJF,201509,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/1/9,GJF,201501,106,106,101.5,102,-4,-3.77%,60,102.0,83,101.5,102.5,110,100,,
2015/1/9,GJF,201502,104,104,102,102,-4,-3.77%,12,102.0,108,101.5,102.5,107,102,,
2015/1/9,GJF,201503,-,-,-,-,-,-,-,102.0,1,99,103.5,104.5,102.5,,
2015/1/9,GJF,201506,-,-,-,-,-,-,-,101.5,4,-,-,110,106.5,,
2015/1/9,GJF,201509,-,-,-,-,-,-,-,102.0,0,-,-,-,-,,
2015/1/12,GJF,201501,102.5,103,102,102.5,0.5,0.49%,32,102.5,82,102,102.5,110,100,,
2015/1/12,GJF,201502,102,103.5,102,103.5,1.5,1.47%,11,102.5,113,102,103,107,102,,
2015/1/12,GJF,201503,-,-,-,-,-,-,-,102.5,1,-,103.5,104.5,102.5,,
2015/1/12,GJF,201506,-,-,-,-,-,-,-,102.0,4,-,-,110,106.5,,
2015/1/12,GJF,201509,-,-,-,-,-,-,-,102.5,0,-,-,-,-,,
2015/1/13,GJF,201501,102.5,103.5,101,103,0.5,0.49%,34,103.0,85,102,103.5,110,100,,
2015/1/13,GJF,201502,102,104,102,104,1.5,1.46%,15,104.0,112,102,104,107,102,,
2015/1/13,GJF,201503,-,-,-,-,-,-,-,103.0,1,-,104.5,104.5,102.5,,
2015/1/13,GJF,201506,-,-,-,-,-,-,-,102.5,4,-,-,110,106.5,,
2015/1/13,GJF,201509,-,-,-,-,-,-,-,103.0,0,-,-,-,-,,
2015/1/14,GJF,201501,102.5,103.5,102.5,103,0,0.00%,16,103.0,92,103,104,110,100,,
2015/1/14,GJF,201502,103,103.5,103,103,-1,-0.96%,17,103.0,126,103,104.5,107,102,,
2015/1/14,GJF,201503,-,-,-,-,-,-,-,103.0,1,-,105,104.5,102.5,,
