交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GOF,201501,-,-,-,-,-,-,-,30.5,25,30.25,30.75,30.5,28.7,,
2015/1/5,GOF,201502,-,-,-,-,-,-,-,30.5,11,30.2,30.75,30.5,29.85,,
2015/1/5,GOF,201503,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/5,GOF,201506,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/5,GOF,201509,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/6,GOF,201501,30.15,30.15,30.15,30.15,-0.35,-1.15%,17,30.15,10,29.8,30.45,30.5,28.7,,
2015/1/6,GOF,201502,30.2,30.2,30.2,30.2,-0.3,-0.98%,3,30.2,8,29.85,30.5,30.5,29.85,,
2015/1/6,GOF,201503,-,-,-,-,-,-,-,30.1,0,-,-,-,-,,
2015/1/6,GOF,201506,-,-,-,-,-,-,-,30.25,0,-,-,-,-,,
2015/1/6,GOF,201509,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/7,GOF,201501,-,-,-,-,-,-,-,30.4,10,29.95,30.5,30.5,28.7,,
2015/1/7,GOF,201502,-,-,-,-,-,-,-,30.45,8,29.95,30.5,30.5,29.85,,
2015/1/7,GOF,201503,-,-,-,-,-,-,-,30.35,0,-,-,-,-,,
2015/1/7,GOF,201506,-,-,-,-,-,-,-,30.5,0,-,-,-,-,,
2015/1/7,GOF,201509,-,-,-,-,-,-,-,30.7,0,-,-,-,-,,
2015/1/8,GOF,201501,30.7,30.7,30.7,30.7,0.3,0.99%,5,30.7,15,30.65,31.05,30.7,28.7,,
2015/1/8,GOF,201502,-,-,-,-,-,-,-,30.75,8,30.6,31.05,30.5,29.85,,
2015/1/8,GOF,201503,-,-,-,-,-,-,-,30.65,0,-,-,-,-,,
2015/1/8,GOF,201506,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/8,GOF,201509,-,-,-,-,-,-,-,31.0,0,-,-,-,-,,
2015/1/9,GOF,201501,30.8,30.8,30.8,30.8,0.1,0.33%,1,30.8,16,30.5,31.05,30.8,28.7,,
2015/1/9,GOF,201502,-,-,-,-,-,-,-,30.85,8,30.5,31.05,30.5,29.85,,
2015/1/9,GOF,201503,-,-,-,-,-,-,-,30.75,0,-,-,-,-,,
2015/1/9,GOF,201506,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/9,GOF,201509,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/12,GOF,201501,-,-,-,-,-,-,-,30.55,16,30.25,30.8,30.8,28.7,,
2015/1/12,GOF,201502,30.75,30.75,30.6,30.6,-0.25,-0.81%,10,30.6,13,30.25,31.35,30.75,29.85,,
2015/1/12,GOF,201503,-,-,-,-,-,-,-,30.5,0,-,-,-,-,,
2015/1/12,GOF,201506,-,-,-,-,-,-,-,30.65,0,-,-,-,-,,
2015/1/12,GOF,201509,-,-,-,-,-,-,-,30.85,0,-,-,-,-,,
2015/1/13,GOF,201501,-,-,-,-,-,-,-,30.6,16,30.4,30.95,30.8,28.7,,
2015/1/13,GOF,201502,-,-,-,-,-,-,-,30.65,13,30.4,30.95,30.75,29.85,,
2015/1/13,GOF,201503,-,-,-,-,-,-,-,30.55,0,-,-,-,-,,
2015/1/13,GOF,201506,-,-,-,-,-,-,-,30.7,0,-,-,-,-,,
2015/1/13,GOF,201509,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/14,GOF,201501,-,-,-,-,-,-,-,30.3,16,30,30.6,30.8,28.7,,
2015/1/14,GOF,201502,30.45,30.45,30.45,30.45,-0.2,-0.65%,2,30.45,14,30,30.55,30.75,29.85,,
2015/1/14,GOF,201503,-,-,-,-,-,-,-,30.25,0,-,-,-,-,,
2015/1/14,GOF,201506,-,-,-,-,-,-,-,30.4,0,-,-,-,-,,
2015/1/14,GOF,201509,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/15,GOF,201501,-,-,-,-,-,-,-,30.5,16,30.3,30.8,30.8,28.7,,
2015/1/15,GOF,201502,-,-,-,-,-,-,-,30.65,14,30.3,30.85,30.75,29.85,,
2015/1/15,GOF,201503,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/15,GOF,201506,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/15,GOF,201509,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/16,GOF,201501,30.95,30.95,30.95,30.95,0.45,1.48%,4,30.95,12,30.6,31,30.95,28.7,,
2015/1/16,GOF,201502,31.3,31.3,31.15,31.15,0.5,1.63%,2,30.9,16,30.6,31.15,31.3,29.85,,
2015/1/16,GOF,201503,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/16,GOF,201506,-,-,-,-,-,-,-,31.05,0,-,-,-,-,,
2015/1/16,GOF,201509,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/19,GOF,201501,30.7,30.7,30.65,30.65,-0.3,-0.97%,10,30.65,12,30.45,30.65,30.95,28.7,,
2015/1/19,GOF,201502,30.8,30.8,30.65,30.7,-0.2,-0.65%,17,30.7,16,30.45,31.05,31.3,29.85,,
2015/1/19,GOF,201503,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/19,GOF,201506,-,-,-,-,-,-,-,30.75,0,-,-,-,-,,
2015/1/19,GOF,201509,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/20,GOF,201501,30.5,30.5,30.5,30.5,-0.15,-0.49%,1,30.5,11,30.35,30.55,30.95,28.7,,
2015/1/20,GOF,201502,-,-,-,-,-,-,-,30.55,16,30.6,30.95,31.3,29.85,,
2015/1/20,GOF,201503,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/20,GOF,201506,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/20,GOF,201509,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/21,GOF,201501,31.6,31.6,30.35,30.35,-0.15,-0.49%,12,0.0,10,-,31.5,31.6,28.7,,
2015/1/21,GOF,201502,30.5,30.6,30.45,30.5,-0.05,-0.16%,14,30.5,19,-,30.65,31.3,29.85,,
2015/1/21,GOF,201503,-,-,-,-,-,-,-,30.3,0,30.5,30.6,-,-,,
2015/1/21,GOF,201506,-,-,-,-,-,-,-,30.45,0,-,-,-,-,,
2015/1/21,GOF,201509,-,-,-,-,-,-,-,30.65,0,-,-,-,-,,
2015/1/22,GOF,201502,30.75,30.75,30.75,30.75,0.25,0.82%,1,31.3,18,31.05,31.55,31.3,29.85,,
2015/1/22,GOF,201503,-,-,-,-,-,-,-,31.05,0,30.55,31.55,-,-,,
2015/1/22,GOF,201506,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/22,GOF,201509,-,-,-,-,-,-,-,31.45,0,-,-,-,-,,
2015/1/22,GOF,201512,-,-,-,-,-,-,-,31.4,0,-,-,-,-,,
2015/1/23,GOF,201502,-,-,-,-,-,-,-,30.8,18,30.6,31.15,31.3,29.85,,
2015/1/23,GOF,201503,-,-,-,-,-,-,-,30.55,0,30.55,31.15,-,-,,
2015/1/23,GOF,201506,-,-,-,-,-,-,-,30.75,0,-,-,-,-,,
2015/1/23,GOF,201509,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/23,GOF,201512,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/26,GOF,201502,30.8,30.8,30.8,30.8,0,0.00%,1,31.15,18,30.85,31.4,31.3,29.85,,
2015/1/26,GOF,201503,-,-,-,-,-,-,-,31.0,0,30.55,31.4,-,-,,
2015/1/26,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/26,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/1/26,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/27,GOF,201502,-,-,-,-,-,-,-,31.15,18,30.95,32.05,31.3,29.85,,
2015/1/27,GOF,201503,-,-,-,-,-,-,-,31.0,0,30.75,31.5,-,-,,
2015/1/27,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/27,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/1/27,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/28,GOF,201502,-,-,-,-,-,-,-,31.1,18,30.8,31.35,31.3,29.85,,
2015/1/28,GOF,201503,-,-,-,-,-,-,-,30.95,0,30.75,31.35,-,-,,
2015/1/28,GOF,201506,-,-,-,-,-,-,-,31.05,0,-,-,-,-,,
2015/1/28,GOF,201509,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/28,GOF,201512,-,-,-,-,-,-,-,31.2,0,-,-,-,-,,
2015/1/29,GOF,201502,-,-,-,-,-,-,-,31.0,18,30.7,31.3,31.3,29.85,,
2015/1/29,GOF,201503,-,-,-,-,-,-,-,30.85,0,30.8,31.3,-,-,,
2015/1/29,GOF,201506,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/29,GOF,201509,-,-,-,-,-,-,-,31.15,0,-,-,-,-,,
2015/1/29,GOF,201512,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/30,GOF,201502,31.05,31.05,31.05,31.05,0.05,0.16%,1,30.95,18,30.65,31.25,31.3,29.85,,
2015/1/30,GOF,201503,-,-,-,-,-,-,-,30.8,0,30.8,31.25,-,-,,
2015/1/30,GOF,201506,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/30,GOF,201509,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/30,GOF,201512,-,-,-,-,-,-,-,31.05,0,-,-,-,-,,
2015/2/2,GOF,201502,-,-,-,-,-,-,-,31.0,18,30.95,31.5,31.3,29.85,,
2015/2/2,GOF,201503,30.8,30.8,30.8,30.8,0,0.00%,2,30.8,2,30.95,31.5,30.8,30.8,,
2015/2/2,GOF,201506,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/2/2,GOF,201509,-,-,-,-,-,-,-,31.15,0,-,-,-,-,,
2015/2/2,GOF,201512,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/2/3,GOF,201502,31.15,31.15,31.15,31.15,0.15,0.48%,1,31.15,19,30.95,32.55,31.3,29.85,,
2015/2/3,GOF,201503,-,-,-,-,-,-,-,30.95,2,30.95,31.5,30.8,30.8,,
2015/2/3,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/2/3,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/2/3,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/2/4,GOF,201502,31.15,31.15,31.15,31.15,0,0.00%,1,31.15,18,30.9,31.45,31.3,29.85,,
2015/2/4,GOF,201503,31.25,31.25,31.25,31.25,0.3,0.97%,2,31.25,4,30.9,31.45,31.25,30.8,,
2015/2/4,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/2/4,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/2/4,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/2/5,GOF,201502,-,-,-,-,-,-,-,31.15,18,30.95,31.5,31.3,29.85,,
2015/2/5,GOF,201503,-,-,-,-,-,-,-,31.25,4,30.95,31.5,31.25,30.8,,
2015/2/5,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/2/5,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/2/5,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/2/6,GOF,201502,-,-,-,-,-,-,-,31.25,18,30.9,31.45,31.3,29.85,,
2015/2/6,GOF,201503,-,-,-,-,-,-,-,31.35,4,30.9,31.5,31.25,30.8,,
2015/2/6,GOF,201506,-,-,-,-,-,-,-,31.2,0,-,-,-,-,,
2015/2/6,GOF,201509,-,-,-,-,-,-,-,31.4,0,-,-,-,-,,
2015/2/6,GOF,201512,-,-,-,-,-,-,-,31.35,0,-,-,-,-,,
2015/2/9,GOF,201502,-,-,-,-,-,-,-,31.45,18,31.35,31.9,31.3,29.85,,
2015/2/9,GOF,201503,-,-,-,-,-,-,-,31.55,4,31.4,31.9,31.25,30.8,,
2015/2/9,GOF,201506,-,-,-,-,-,-,-,31.4,0,31.4,-,-,-,,
2015/2/9,GOF,201509,-,-,-,-,-,-,-,31.6,0,-,-,-,-,,
2015/2/9,GOF,201512,-,-,-,-,-,-,-,31.55,0,-,-,-,-,,
2015/2/10,GOF,201502,31.5,31.5,31.15,31.15,-0.3,-0.95%,8,31.15,16,-,31.15,31.5,29.85,,
2015/2/10,GOF,201503,31.6,31.6,31.6,31.6,0.05,0.16%,1,31.4,5,31.1,31.7,31.6,30.8,,
2015/2/10,GOF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/2/10,GOF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/2/10,GOF,201512,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/2/11,GOF,201502,-,-,-,-,-,-,-,31.35,16,-,31.75,31.5,29.85,,
2015/2/11,GOF,201503,-,-,-,-,-,-,-,31.6,5,31.45,31.8,31.6,30.8,,
2015/2/11,GOF,201506,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/2/11,GOF,201509,-,-,-,-,-,-,-,31.5,0,-,-,-,-,,
2015/2/11,GOF,201512,-,-,-,-,-,-,-,31.45,0,-,-,-,-,,
2015/2/12,GOF,201502,-,-,-,-,-,-,-,31.55,16,31.2,31.8,31.5,29.85,,
2015/2/12,GOF,201503,-,-,-,-,-,-,-,31.8,5,31.4,31.85,31.6,30.8,,
2015/2/12,GOF,201506,-,-,-,-,-,-,-,31.5,0,-,-,-,-,,
2015/2/12,GOF,201509,-,-,-,-,-,-,-,31.7,0,-,-,-,-,,
2015/2/12,GOF,201512,-,-,-,-,-,-,-,31.65,0,-,-,-,-,,
2015/2/13,GOF,201502,31.9,31.9,31.9,31.9,0.35,1.11%,3,31.9,13,31.95,32.15,31.9,29.85,,
2015/2/13,GOF,201503,32,32,32,32,0.2,0.63%,3,32.0,8,31.95,32.25,32,30.8,,
2015/2/13,GOF,201506,-,-,-,-,-,-,-,31.85,0,-,-,-,-,,
2015/2/13,GOF,201509,-,-,-,-,-,-,-,32.05,0,-,-,-,-,,
2015/2/13,GOF,201512,-,-,-,-,-,-,-,32.0,0,-,-,-,-,,
2015/2/24,GOF,201502,32.6,32.6,32.4,32.4,0.5,1.57%,8,0.0,13,-,-,32.6,29.85,,
2015/2/24,GOF,201503,32.6,32.6,32.55,32.55,0.55,1.72%,2,32.55,10,32.45,32.75,32.6,30.8,,
2015/2/24,GOF,201506,-,-,-,-,-,-,-,32.35,0,32.55,-,-,-,,
2015/2/24,GOF,201509,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/2/24,GOF,201512,-,-,-,-,-,-,-,32.5,0,-,-,-,-,,
2015/2/25,GOF,201503,-,-,-,-,-,-,-,32.25,10,-,32.5,32.6,30.8,,
2015/2/25,GOF,201504,-,-,-,-,-,-,-,32.25,0,-,33.05,-,-,,
2015/2/25,GOF,201506,-,-,-,-,-,-,-,32.05,0,32.35,-,-,-,,
2015/2/25,GOF,201509,-,-,-,-,-,-,-,32.25,0,-,-,-,-,,
2015/2/25,GOF,201512,-,-,-,-,-,-,-,32.2,0,-,-,-,-,,
2015/2/26,GOF,201503,32.15,32.15,32.1,32.1,-0.15,-0.47%,10,32.75,11,32.2,33.3,32.6,30.8,,
2015/2/26,GOF,201504,-,-,-,-,-,-,-,32.75,0,32.2,32.75,-,-,,
2015/2/26,GOF,201506,-,-,-,-,-,-,-,32.55,0,32.15,-,-,-,,
2015/2/26,GOF,201509,-,-,-,-,-,-,-,32.75,0,-,-,-,-,,
2015/2/26,GOF,201512,-,-,-,-,-,-,-,32.7,0,-,-,-,-,,
2015/3/2,GOF,201503,32.55,32.55,32.55,32.55,-0.2,-0.61%,1,32.55,12,32.3,32.85,32.6,30.8,,
2015/3/2,GOF,201504,32.55,32.6,32.55,32.6,-0.15,-0.46%,10,32.6,0,32.3,32.85,32.6,32.55,,
2015/3/2,GOF,201506,-,-,-,-,-,-,-,32.35,0,32.3,-,-,-,,
2015/3/2,GOF,201509,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/3/2,GOF,201512,-,-,-,-,-,-,-,32.5,0,-,-,-,-,,
2015/3/3,GOF,201503,-,-,-,-,-,-,-,32.6,12,32.35,32.9,32.6,30.8,,
2015/3/3,GOF,201504,-,-,-,-,-,-,-,32.65,0,32.35,32.9,32.6,32.55,,
2015/3/3,GOF,201506,-,-,-,-,-,-,-,32.4,0,-,-,-,-,,
2015/3/3,GOF,201509,-,-,-,-,-,-,-,32.6,0,-,-,-,-,,
2015/3/3,GOF,201512,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/3/4,GOF,201503,-,-,-,-,-,-,-,32.75,12,32.6,33.45,32.6,30.8,,
2015/3/4,GOF,201504,-,-,-,-,-,-,-,32.8,0,32.3,32.9,32.6,32.55,,
2015/3/4,GOF,201506,-,-,-,-,-,-,-,32.55,0,-,-,-,-,,
2015/3/4,GOF,201509,-,-,-,-,-,-,-,32.75,0,-,-,-,-,,
2015/3/4,GOF,201512,-,-,-,-,-,-,-,32.7,0,-,-,-,-,,
2015/3/5,GOF,201503,32.7,33.25,32.7,33.25,0.5,1.53%,6,33.25,12,32.8,33.35,33.25,30.8,,
2015/3/5,GOF,201504,33.15,33.15,33.15,33.15,0.35,1.07%,5,33.15,5,32.8,33.4,33.15,32.55,,
2015/3/5,GOF,201506,-,-,-,-,-,-,-,33.05,0,-,-,-,-,,
2015/3/5,GOF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/3/5,GOF,201512,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/3/6,GOF,201503,33.1,33.1,33.1,33.1,-0.15,-0.45%,1,33.1,11,32.85,33.4,33.25,30.8,,
2015/3/6,GOF,201504,-,-,-,-,-,-,-,33.0,5,32.85,33.45,33.15,32.55,,
2015/3/6,GOF,201506,-,-,-,-,-,-,-,32.9,0,-,-,-,-,,
2015/3/6,GOF,201509,-,-,-,-,-,-,-,33.1,0,-,-,-,-,,
2015/3/6,GOF,201512,-,-,-,-,-,-,-,33.05,0,-,-,-,-,,
2015/3/9,GOF,201503,-,-,-,-,-,-,-,33.2,11,32.85,34,33.25,30.8,,
2015/3/9,GOF,201504,-,-,-,-,-,-,-,33.1,5,32.85,33.45,33.15,32.55,,
2015/3/9,GOF,201506,-,-,-,-,-,-,-,33.0,0,-,-,-,-,,
2015/3/9,GOF,201509,-,-,-,-,-,-,-,33.2,0,-,-,-,-,,
2015/3/9,GOF,201512,-,-,-,-,-,-,-,33.15,0,-,-,-,-,,
2015/3/10,GOF,201503,33.05,33.05,33.05,33.05,-0.15,-0.45%,1,33.05,10,32.35,33,33.25,30.8,,
2015/3/10,GOF,201504,-,-,-,-,-,-,-,32.95,5,32.4,33,33.15,32.55,,
2015/3/10,GOF,201506,-,-,-,-,-,-,-,32.85,0,-,-,-,-,,
2015/3/10,GOF,201509,-,-,-,-,-,-,-,33.05,0,-,-,-,-,,
2015/3/10,GOF,201512,-,-,-,-,-,-,-,33.0,0,-,-,-,-,,
2015/3/11,GOF,201503,33.65,33.65,33.65,33.65,0.6,1.82%,1,33.4,11,33.1,33.7,33.65,30.8,,
2015/3/11,GOF,201504,-,-,-,-,-,-,-,33.55,5,33.15,33.75,33.15,32.55,,
2015/3/11,GOF,201506,-,-,-,-,-,-,-,33.45,0,-,-,-,-,,
2015/3/11,GOF,201509,-,-,-,-,-,-,-,33.65,0,-,-,-,-,,
2015/3/11,GOF,201512,-,-,-,-,-,-,-,33.6,0,-,-,-,-,,
2015/3/12,GOF,201503,-,-,-,-,-,-,-,33.5,11,33.35,33.95,33.65,30.8,,
2015/3/12,GOF,201504,33.7,33.7,33.7,33.7,0.15,0.45%,2,33.7,5,33.4,33.95,33.7,32.55,,
2015/3/12,GOF,201506,-,-,-,-,-,-,-,33.55,0,-,-,-,-,,
2015/3/12,GOF,201509,-,-,-,-,-,-,-,33.75,0,-,-,-,-,,
2015/3/12,GOF,201512,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/3/13,GOF,201503,-,-,-,-,-,-,-,33.5,11,33.2,33.8,33.65,30.8,,
2015/3/13,GOF,201504,-,-,-,-,-,-,-,33.7,5,33.25,-,33.7,32.55,,
2015/3/13,GOF,201506,-,-,-,-,-,-,-,33.55,0,-,-,-,-,,
2015/3/13,GOF,201509,-,-,-,-,-,-,-,33.75,0,-,-,-,-,,
2015/3/13,GOF,201512,-,-,-,-,-,-,-,33.7,0,-,-,-,-,,
2015/3/16,GOF,201503,33.55,33.55,33.55,33.55,0.05,0.15%,1,33.55,10,33.3,33.9,33.65,30.8,,
2015/3/16,GOF,201504,33.65,33.65,33.65,33.65,-0.05,-0.15%,1,33.65,6,33.3,34,33.7,32.55,,
2015/3/16,GOF,201506,-,-,-,-,-,-,-,33.6,0,-,-,-,-,,
2015/3/16,GOF,201509,-,-,-,-,-,-,-,33.8,0,-,-,-,-,,
2015/3/16,GOF,201512,-,-,-,-,-,-,-,33.75,0,-,-,-,-,,
2015/3/17,GOF,201503,-,-,-,-,-,-,-,33.7,10,-,34.1,33.65,30.8,,
2015/3/17,GOF,201504,33.9,33.9,33.9,33.9,0.25,0.74%,1,33.9,7,33.55,34.15,33.9,32.55,,
2015/3/17,GOF,201506,-,-,-,-,-,-,-,33.75,0,-,-,-,-,,
2015/3/17,GOF,201509,-,-,-,-,-,-,-,33.95,0,-,-,-,-,,
2015/3/17,GOF,201512,-,-,-,-,-,-,-,33.9,0,-,-,-,-,,
2015/3/18,GOF,201503,33.8,33.8,33.8,33.8,0.1,0.30%,3,0.0,7,-,35.6,33.8,30.8,,
2015/3/18,GOF,201504,34,34,34,34,0.1,0.29%,3,34.0,10,33.75,34.35,34,32.55,,
2015/3/18,GOF,201506,-,-,-,-,-,-,-,33.85,0,-,-,-,-,,
2015/3/18,GOF,201509,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/3/18,GOF,201512,-,-,-,-,-,-,-,34.0,0,-,-,-,-,,
2015/3/19,GOF,201504,-,-,-,-,-,-,-,34.05,10,33.65,-,34,32.55,,
2015/3/19,GOF,201505,33.95,33.95,33.95,33.95,0,0.00%,3,33.95,3,33.9,-,33.95,33.95,,
2015/3/19,GOF,201506,-,-,-,-,-,-,-,33.9,0,-,-,-,-,,
2015/3/19,GOF,201509,-,-,-,-,-,-,-,34.1,0,-,-,-,-,,
2015/3/19,GOF,201512,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/3/20,GOF,201504,-,-,-,-,-,-,-,33.75,10,33.7,34.1,34,32.55,,
