交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GQF,201503,-,-,-,-,-,-,-,32.8,16,32.5,-,34.3,30,,
2015/1/6,GQF,201503,-,-,-,-,-,-,-,32.05,16,31.9,32.2,34.3,30,,
2015/1/7,GQF,201503,-,-,-,-,-,-,-,32.05,16,31.9,32.2,34.3,30,,
2015/1/8,GQF,201503,-,-,-,-,-,-,-,32.5,16,32.3,32.6,34.3,30,,
2015/1/9,GQF,201503,-,-,-,-,-,-,-,32.9,16,-,-,34.3,30,,
2015/1/12,GQF,201503,-,-,-,-,-,-,-,32.7,16,32.4,32.7,34.3,30,,
2015/1/13,GQF,201503,-,-,-,-,-,-,-,32.3,16,-,-,34.3,30,,
2015/1/14,GQF,201503,32.3,32.35,32.2,32.35,0.05,0.15%,11,32.35,6,32.1,32.4,34.3,30,,
2015/1/15,GQF,201503,32.35,32.35,32.35,32.35,0,0.00%,1,32.25,7,32.1,32.4,34.3,30,,
2015/1/16,GQF,201503,-,-,-,-,-,-,-,32.2,7,-,-,34.3,30,,
2015/1/19,GQF,201503,-,-,-,-,-,-,-,31.95,7,-,-,34.3,30,,
2015/1/20,GQF,201503,32.1,32.1,32.1,32.1,0.15,0.47%,1,32.1,7,-,-,34.3,30,,
2015/1/21,GQF,201503,-,-,-,-,-,-,-,32.35,7,31.95,32.4,34.3,30,,
2015/1/22,GQF,201503,-,-,-,-,-,-,-,32.4,7,32.15,32.6,34.3,30,,
2015/1/23,GQF,201503,-,-,-,-,-,-,-,32.5,7,32.15,32.55,34.3,30,,
2015/1/26,GQF,201503,-,-,-,-,-,-,-,32.2,7,31.95,32.45,34.3,30,,
2015/1/27,GQF,201503,-,-,-,-,-,-,-,32.35,7,32.05,32.45,34.3,30,,
2015/1/28,GQF,201503,-,-,-,-,-,-,-,32.4,7,32.3,32.65,34.3,30,,
2015/1/29,GQF,201503,32.25,32.25,32.25,32.25,-0.15,-0.46%,1,32.25,8,32,32.5,34.3,30,,
2015/1/30,GQF,201503,-,-,-,-,-,-,-,32.15,8,32,32.5,34.3,30,,
2015/2/2,GQF,201503,-,-,-,-,-,-,-,31.95,8,32.05,32.5,34.3,30,,
2015/2/3,GQF,201503,32.05,32.05,32.05,32.05,0.1,0.31%,5,32.05,13,31.9,32.1,34.3,30,,
2015/2/4,GQF,201503,-,-,-,-,-,-,-,32.1,13,32,32.25,34.3,30,,
2015/2/5,GQF,201503,-,-,-,-,-,-,-,32.1,13,32.1,32.35,34.3,30,,
2015/2/6,GQF,201503,-,-,-,-,-,-,-,32.05,13,32,32.25,34.3,30,,
2015/2/9,GQF,201503,-,-,-,-,-,-,-,32.1,13,31.9,32.35,34.3,30,,
2015/2/10,GQF,201503,-,-,-,-,-,-,-,32.45,13,32.25,32.75,34.3,30,,
2015/2/11,GQF,201503,32.25,32.25,31.95,31.95,-0.5,-1.54%,9,31.95,9,31.9,32.35,34.3,30,,
2015/2/12,GQF,201503,-,-,-,-,-,-,-,31.8,9,31.65,32.4,34.3,30,,
2015/2/13,GQF,201503,31.8,31.8,31.8,31.8,0,0.00%,5,31.8,8,31.4,32.35,34.3,30,,
2015/2/24,GQF,201503,31.65,31.65,31.6,31.6,-0.2,-0.63%,2,31.6,8,31.45,31.9,34.3,30,,
2015/2/25,GQF,201503,-,-,-,-,-,-,-,31.9,8,31.65,32.1,34.3,30,,
2015/2/26,GQF,201503,-,-,-,-,-,-,-,31.95,8,31.7,32.15,34.3,30,,
2015/3/2,GQF,201503,-,-,-,-,-,-,-,31.95,8,31.85,-,34.3,30,,
2015/3/3,GQF,201503,-,-,-,-,-,-,-,31.9,8,31.7,32.15,34.3,30,,
2015/3/4,GQF,201503,-,-,-,-,-,-,-,32.2,8,31.95,32.45,34.3,30,,
2015/3/5,GQF,201503,-,-,-,-,-,-,-,32.0,8,31.75,32.2,34.3,30,,
2015/3/6,GQF,201503,32,32,32,32,0,0.00%,1,32.0,9,31.9,32.35,34.3,30,,
2015/3/9,GQF,201503,-,-,-,-,-,-,-,32.1,9,30,32.4,34.3,30,,
2015/3/10,GQF,201503,-,-,-,-,-,-,-,31.95,9,31.7,32.15,34.3,30,,
2015/3/11,GQF,201503,31.9,31.9,31.9,31.9,-0.05,-0.16%,1,31.9,9,31.7,32.25,34.3,30,,
2015/3/12,GQF,201503,32,32,32,32,0.1,0.31%,1,32.0,8,31.8,32.3,34.3,30,,
2015/3/13,GQF,201503,-,-,-,-,-,-,-,32.1,8,-,-,34.3,30,,
2015/3/16,GQF,201503,-,-,-,-,-,-,-,32.3,8,31.2,32.5,34.3,30,,
2015/3/17,GQF,201503,-,-,-,-,-,-,-,32.4,8,32.25,32.7,34.3,30,,
2015/3/18,GQF,201503,32.3,32.3,32.3,32.3,-0.1,-0.31%,1,0.0,7,-,-,34.3,30,,
