交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GXF,201501,244,250,244,249,2,0.81%,387,249.0,868,248.5,249.5,268.5,226.5,,
2015/1/5,GXF,201502,246.5,250,246,249,2.5,1.01%,88,249.0,309,248,249.5,250,227,,
2015/1/5,GXF,201503,-,-,-,-,-,-,-,248.5,14,247.5,250,259,232,,
2015/1/5,GXF,201506,-,-,-,-,-,-,-,247.5,12,-,250.5,-,-,,
2015/1/5,GXF,201509,-,-,-,-,-,-,-,248.0,0,-,249.5,-,-,,
2015/1/6,GXF,201501,249,252,243,243.5,-5.5,-2.21%,402,243.5,870,243.5,244,268.5,226.5,,
2015/1/6,GXF,201502,248,252.5,243.5,243.5,-5.5,-2.21%,111,243.5,357,243.5,244.5,252.5,227,,
2015/1/6,GXF,201503,-,-,-,-,-,-,-,243.0,14,243,244.5,259,232,,
2015/1/6,GXF,201506,-,-,-,-,-,-,-,242.0,12,-,245,-,-,,
2015/1/6,GXF,201509,-,-,-,-,-,-,-,242.5,0,-,244,-,-,,
2015/1/7,GXF,201501,244,249,242.5,247,3.5,1.44%,302,247.0,895,246.5,247.5,268.5,226.5,,
2015/1/7,GXF,201502,244.5,249,243,247.5,4,1.64%,67,247.5,379,246,247.5,252.5,227,,
2015/1/7,GXF,201503,-,-,-,-,-,-,-,246.5,14,245.5,248,259,232,,
2015/1/7,GXF,201506,-,-,-,-,-,-,-,245.5,12,-,248.5,-,-,,
2015/1/7,GXF,201509,-,-,-,-,-,-,-,246.0,0,-,247.5,-,-,,
2015/1/8,GXF,201501,249,254,249,253.5,6.5,2.63%,367,253.5,790,253,254,268.5,226.5,,
2015/1/8,GXF,201502,249.5,253.5,249.5,253,5.5,2.22%,88,253.0,386,253,253.5,253.5,227,,
2015/1/8,GXF,201503,-,-,-,-,-,-,-,253.0,14,252.5,254,259,232,,
2015/1/8,GXF,201506,-,-,-,-,-,-,-,252.0,12,252.5,254.5,-,-,,
2015/1/8,GXF,201509,-,-,-,-,-,-,-,252.5,0,-,254.5,-,-,,
2015/1/9,GXF,201501,257,257,253.5,255.5,2,0.79%,155,255.5,785,255,255.5,268.5,226.5,,
2015/1/9,GXF,201502,255.5,256.5,254,254,1,0.40%,50,254.0,416,254.5,256,256.5,227,,
2015/1/9,GXF,201503,254.5,254.5,254.5,254.5,1.5,0.59%,1,254.5,14,254,256,259,232,,
2015/1/9,GXF,201506,255,255,255,255,3,1.19%,1,255.0,12,-,256.5,255,255,,
2015/1/9,GXF,201509,-,-,-,-,-,-,-,254.5,0,-,256,-,-,,
2015/1/12,GXF,201501,251.5,256.5,251.5,252.5,-3,-1.17%,65,252.5,779,252.5,253.5,268.5,226.5,,
2015/1/12,GXF,201502,251,256,251,253,-1,-0.39%,32,253.0,435,252.5,253.5,256.5,227,,
2015/1/12,GXF,201503,-,-,-,-,-,-,-,253.0,14,252,254,259,232,,
2015/1/12,GXF,201506,-,-,-,-,-,-,-,252.0,12,-,254.5,255,255,,
2015/1/12,GXF,201509,-,-,-,-,-,-,-,251.5,0,-,254.5,-,-,,
2015/1/13,GXF,201501,252,256.5,251.5,256,3.5,1.39%,206,256.0,721,255.5,256,268.5,226.5,,
2015/1/13,GXF,201502,251.5,256.5,251.5,255.5,2.5,0.99%,54,255.5,471,255,256.5,256.5,227,,
2015/1/13,GXF,201503,-,-,-,-,-,-,-,256.5,14,254.5,256.5,259,232,,
2015/1/13,GXF,201506,-,-,-,-,-,-,-,255.5,12,-,257,255,255,,
2015/1/13,GXF,201509,-,-,-,-,-,-,-,255.0,0,-,256.5,-,-,,
2015/1/14,GXF,201501,255,261,253.5,253.5,-2.5,-0.98%,443,253.5,656,253,254,268.5,226.5,,
2015/1/14,GXF,201502,255,260,253.5,254,-1.5,-0.59%,142,254.0,539,253.5,254,260,227,,
2015/1/14,GXF,201503,-,-,-,-,-,-,-,254.0,14,253,254.5,259,232,,
2015/1/14,GXF,201506,-,-,-,-,-,-,-,253.0,12,-,255,255,255,,
2015/1/14,GXF,201509,-,-,-,-,-,-,-,252.5,0,-,254.5,-,-,,
2015/1/15,GXF,201501,255.5,260,254.5,260,6.5,2.56%,347,260.0,541,259.5,260.5,268.5,226.5,,
2015/1/15,GXF,201502,255.5,260,255,260,6,2.36%,160,260.0,596,259,261,260,227,,
2015/1/15,GXF,201503,-,-,-,-,-,-,-,260.5,14,258.5,261,259,232,,
2015/1/15,GXF,201506,-,-,-,-,-,-,-,259.5,12,-,261.5,255,255,,
2015/1/15,GXF,201509,-,-,-,-,-,-,-,259.0,0,-,261,-,-,,
2015/1/16,GXF,201501,259,259,254,256.5,-3.5,-1.35%,209,256.5,494,256,257,268.5,226.5,,
2015/1/16,GXF,201502,258,258,254,255.5,-4.5,-1.73%,145,255.5,648,255.5,257.5,260,227,,
2015/1/16,GXF,201503,258,258,258,258,-2.5,-0.96%,2,258.0,12,255,257.5,259,232,,
2015/1/16,GXF,201506,-,-,-,-,-,-,-,256.0,12,-,258,255,255,,
2015/1/16,GXF,201509,-,-,-,-,-,-,-,255.5,0,-,257.5,-,-,,
2015/1/19,GXF,201501,259,260.5,256.5,259,2.5,0.97%,174,259.0,392,258.5,259,268.5,226.5,,
2015/1/19,GXF,201502,258,261,256.5,259,3.5,1.37%,165,259.0,689,258,259,261,227,,
2015/1/19,GXF,201503,-,-,-,-,-,-,-,260.5,12,257.5,259.5,259,232,,
2015/1/19,GXF,201506,-,-,-,-,-,-,-,258.5,12,-,260,255,255,,
2015/1/19,GXF,201509,-,-,-,-,-,-,-,258.0,0,-,260,-,-,,
2015/1/20,GXF,201501,259,268.5,259,268,9,3.47%,553,268.0,255,268,268.5,268.5,226.5,,
2015/1/20,GXF,201502,260,268.5,260,267.5,8.5,3.28%,340,267.5,754,267.5,268,268.5,227,,
2015/1/20,GXF,201503,267,267,267,267,6.5,2.50%,6,267.0,6,267,268.5,267,232,,
2015/1/20,GXF,201506,266.5,266.5,266.5,266.5,8,3.09%,1,266.5,11,-,269,266.5,255,,
2015/1/20,GXF,201509,-,-,-,-,-,-,-,267.0,0,-,269,-,-,,
2015/1/21,GXF,201501,267,272,266.5,271.5,3.5,1.31%,305,0.0,109,271,272,272,226.5,,
2015/1/21,GXF,201502,267,272.5,266.5,272,4.5,1.68%,490,272.0,832,272,272.5,272.5,227,,
2015/1/21,GXF,201503,-,-,-,-,-,-,-,270.5,6,271.5,273,267,232,,
2015/1/21,GXF,201506,-,-,-,-,-,-,-,270.0,11,-,273.5,266.5,255,,
2015/1/21,GXF,201509,-,-,-,-,-,-,-,270.5,0,-,273.5,-,-,,
2015/1/22,GXF,201502,273,278.5,271,273,1,0.37%,545,273.0,857,272.5,273.5,278.5,227,,
2015/1/22,GXF,201503,275.5,278.5,270.5,270.5,0,0.00%,86,273.0,34,272.5,273.5,278.5,232,,
2015/1/22,GXF,201506,-,-,-,-,-,-,-,271.0,11,-,274.5,266.5,255,,
2015/1/22,GXF,201509,-,-,-,-,-,-,-,271.5,0,-,274.5,-,-,,
2015/1/22,GXF,201512,-,-,-,-,-,-,-,276.5,0,-,-,-,-,,
2015/1/23,GXF,201502,276,282,276,281.5,8.5,3.11%,575,281.5,850,281,281.5,282,227,,
2015/1/23,GXF,201503,277,280.5,277,280.5,7.5,2.75%,67,280.5,81,281.5,282,280.5,232,,
2015/1/23,GXF,201506,-,-,-,-,-,-,-,279.5,11,-,282.5,266.5,255,,
2015/1/23,GXF,201509,-,-,-,-,-,-,-,280.0,0,-,282.5,-,-,,
2015/1/23,GXF,201512,-,-,-,-,-,-,-,285.0,0,-,-,-,-,,
2015/1/26,GXF,201502,280,280,276,278.5,-3,-1.07%,334,278.5,797,278.5,279,282,227,,
2015/1/26,GXF,201503,277.5,278.5,277,278.5,-2,-0.71%,82,278.5,100,278,279,280.5,232,,
2015/1/26,GXF,201506,-,-,-,-,-,-,-,276.5,11,-,280,266.5,255,,
2015/1/26,GXF,201509,-,-,-,-,-,-,-,277.0,0,-,280,-,-,,
2015/1/26,GXF,201512,-,-,-,-,-,-,-,282.0,0,-,-,-,-,,
2015/1/27,GXF,201502,281.5,284,278.5,278.5,0,0.00%,261,278.5,793,278,279,284,227,,
2015/1/27,GXF,201503,283.5,283.5,278.5,278.5,0,0.00%,74,278.5,161,277.5,279,283.5,232,,
2015/1/27,GXF,201506,-,-,-,-,-,-,-,276.5,11,-,280,266.5,255,,
2015/1/27,GXF,201509,-,-,-,-,-,-,-,277.0,0,-,280,-,-,,
2015/1/27,GXF,201512,-,-,-,-,-,-,-,282.0,0,-,-,-,-,,
2015/1/28,GXF,201502,279,284,279,284,5.5,1.97%,383,284.0,774,283.5,284,284,227,,
2015/1/28,GXF,201503,279,284,279,283.5,5,1.80%,28,283.5,163,283,284.5,284,232,,
2015/1/28,GXF,201506,-,-,-,-,-,-,-,282.0,11,-,285,266.5,255,,
2015/1/28,GXF,201509,-,-,-,-,-,-,-,282.5,0,-,285,-,-,,
2015/1/28,GXF,201512,-,-,-,-,-,-,-,287.5,0,-,-,-,-,,
2015/1/29,GXF,201502,282.5,283,277,277,-7,-2.46%,368,277.0,744,277,277.5,284,227,,
2015/1/29,GXF,201503,280.5,283,277,277,-6.5,-2.29%,43,277.0,189,277,277.5,284,232,,
2015/1/29,GXF,201506,-,-,-,-,-,-,-,275.0,11,-,278.5,266.5,255,,
2015/1/29,GXF,201509,-,-,-,-,-,-,-,275.5,0,-,278.5,-,-,,
2015/1/29,GXF,201512,-,-,-,-,-,-,-,280.5,0,-,-,-,-,,
2015/1/30,GXF,201502,279,280.5,277.5,279.5,2.5,0.90%,205,279.5,754,278,281,284,227,,
2015/1/30,GXF,201503,278,280,277.5,279,2,0.72%,24,279.0,206,277.5,281,284,232,,
2015/1/30,GXF,201506,-,-,-,-,-,-,-,277.5,11,-,282,266.5,255,,
2015/1/30,GXF,201509,-,-,-,-,-,-,-,278.0,0,-,282,-,-,,
2015/1/30,GXF,201512,-,-,-,-,-,-,-,283.0,0,-,-,-,-,,
2015/2/2,GXF,201502,280,280,277,280,0.5,0.18%,129,280.0,748,279,280,284,227,,
2015/2/2,GXF,201503,279,279,278,278.5,-0.5,-0.18%,11,278.5,209,278.5,280,284,232,,
2015/2/2,GXF,201506,-,-,-,-,-,-,-,278.0,11,-,281,266.5,255,,
2015/2/2,GXF,201509,-,-,-,-,-,-,-,278.5,0,-,281,-,-,,
2015/2/2,GXF,201512,-,-,-,-,-,-,-,283.5,0,-,-,-,-,,
2015/2/3,GXF,201502,282,290,281,288,8,2.86%,755,288.0,716,287.5,288,290,227,,
2015/2/3,GXF,201503,281.5,289,281,287.5,9,3.23%,54,287.5,224,287.5,288.5,289,232,,
2015/2/3,GXF,201506,-,-,-,-,-,-,-,286.0,11,-,289,266.5,255,,
2015/2/3,GXF,201509,-,-,-,-,-,-,-,286.5,0,-,289,-,-,,
2015/2/3,GXF,201512,-,-,-,-,-,-,-,291.5,0,-,-,-,-,,
2015/2/4,GXF,201502,290,293,288,289,1,0.35%,198,289.0,720,289,289.5,293,227,,
2015/2/4,GXF,201503,289,290.5,288,290.5,3,1.04%,23,290.5,238,289,289.5,290.5,232,,
2015/2/4,GXF,201506,-,-,-,-,-,-,-,287.0,11,-,290.5,266.5,255,,
2015/2/4,GXF,201509,-,-,-,-,-,-,-,287.5,0,-,290.5,-,-,,
2015/2/4,GXF,201512,-,-,-,-,-,-,-,292.5,0,-,-,-,-,,
2015/2/5,GXF,201502,288,288,285.5,285.5,-3.5,-1.21%,153,285.5,732,285,285.5,293,227,,
2015/2/5,GXF,201503,288,288,285.5,285.5,-5,-1.72%,32,285.5,244,285.5,286,290.5,232,,
2015/2/5,GXF,201506,-,-,-,-,-,-,-,283.5,11,-,286.5,266.5,255,,
2015/2/5,GXF,201509,-,-,-,-,-,-,-,284.0,0,-,286.5,-,-,,
2015/2/5,GXF,201512,-,-,-,-,-,-,-,289.0,0,-,-,-,-,,
