交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GZF,201501,31.7,33.25,31.7,33.25,1.25,3.91%,60,33.25,52,33.05,33.2,33.9,30.35,,
2015/1/5,GZF,201502,32.05,32.75,32.05,32.75,0.65,2.02%,21,32.85,12,32.45,33.2,32.85,31.85,,
2015/1/5,GZF,201503,-,-,-,-,-,-,-,33.45,0,-,-,33.1,27.75,,
2015/1/5,GZF,201506,-,-,-,-,-,-,-,33.8,0,-,-,-,-,,
2015/1/5,GZF,201509,-,-,-,-,-,-,-,33.55,0,-,-,-,-,,
2015/1/6,GZF,201501,33.3,33.4,32.75,32.95,-0.3,-0.90%,71,32.95,59,32.7,33.3,33.9,30.35,,
2015/1/6,GZF,201502,32.6,33.25,32.6,32.85,0,0.00%,12,32.85,17,32.7,33.25,33.25,31.85,,
2015/1/6,GZF,201503,-,-,-,-,-,-,-,33.15,0,-,-,33.1,27.75,,
2015/1/6,GZF,201506,-,-,-,-,-,-,-,33.5,0,-,-,-,-,,
2015/1/6,GZF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/7,GZF,201501,33.05,33.05,32.95,33,0.05,0.15%,6,33.0,58,32.9,33.1,33.9,30.35,,
2015/1/7,GZF,201502,-,-,-,-,-,-,-,32.9,17,32.85,33.1,33.25,31.85,,
2015/1/7,GZF,201503,-,-,-,-,-,-,-,33.2,0,-,-,33.1,27.75,,
2015/1/7,GZF,201506,-,-,-,-,-,-,-,33.55,0,-,-,-,-,,
2015/1/7,GZF,201509,-,-,-,-,-,-,-,33.3,0,-,-,-,-,,
2015/1/8,GZF,201501,32.9,33.5,32.9,33.5,0.5,1.52%,10,33.5,51,33.35,33.8,33.9,30.35,,
2015/1/8,GZF,201502,-,-,-,-,-,-,-,33.4,17,33.3,33.8,33.25,31.85,,
2015/1/8,GZF,201503,-,-,-,-,-,-,-,33.7,0,-,-,33.1,27.75,,
2015/1/8,GZF,201506,-,-,-,-,-,-,-,34.05,0,-,-,-,-,,
2015/1/8,GZF,201509,-,-,-,-,-,-,-,33.8,0,-,-,-,-,,
2015/1/9,GZF,201501,33.25,34.8,33.2,34.8,1.3,3.88%,66,34.8,66,34.25,34.8,34.8,30.35,,
2015/1/9,GZF,201502,33.2,34.75,33.15,34.75,1.35,4.04%,25,34.75,23,34.35,34.9,34.75,31.85,,
2015/1/9,GZF,201503,-,-,-,-,-,-,-,35.0,0,-,-,33.1,27.75,,
2015/1/9,GZF,201506,-,-,-,-,-,-,-,35.35,0,-,-,-,-,,
2015/1/9,GZF,201509,-,-,-,-,-,-,-,35.1,0,-,-,-,-,,
2015/1/12,GZF,201501,34.2,34.7,34.15,34.25,-0.55,-1.58%,30,33.9,78,33.55,34.2,34.8,30.35,,
2015/1/12,GZF,201502,34.2,34.7,34.15,34.15,-0.6,-1.73%,18,33.9,38,33.6,34.15,34.75,31.85,,
2015/1/12,GZF,201503,-,-,-,-,-,-,-,34.1,0,-,-,33.1,27.75,,
2015/1/12,GZF,201506,-,-,-,-,-,-,-,34.45,0,-,-,-,-,,
2015/1/12,GZF,201509,-,-,-,-,-,-,-,34.2,0,-,-,-,-,,
2015/1/13,GZF,201501,33.85,33.9,33.55,33.6,-0.3,-0.88%,32,33.6,82,32.85,34.6,34.8,30.35,,
2015/1/13,GZF,201502,33.75,33.75,33.55,33.55,-0.35,-1.03%,12,33.55,43,32.55,34,34.75,31.85,,
2015/1/13,GZF,201503,-,-,-,-,-,-,-,33.8,0,-,-,33.1,27.75,,
2015/1/13,GZF,201506,-,-,-,-,-,-,-,34.15,0,-,-,-,-,,
2015/1/13,GZF,201509,-,-,-,-,-,-,-,33.9,0,-,-,-,-,,
2015/1/14,GZF,201501,33.6,33.6,33.6,33.6,0,0.00%,1,33.45,83,33.3,33.6,34.8,30.35,,
2015/1/14,GZF,201502,33.7,33.7,33.7,33.7,0.15,0.45%,1,33.4,43,33.25,33.55,34.75,31.85,,
2015/1/14,GZF,201503,-,-,-,-,-,-,-,33.65,0,-,-,33.1,27.75,,
2015/1/14,GZF,201506,-,-,-,-,-,-,-,34.0,0,-,-,-,-,,
2015/1/14,GZF,201509,-,-,-,-,-,-,-,33.75,0,-,-,-,-,,
2015/1/15,GZF,201501,34.1,34.55,34.1,34.3,0.85,2.54%,23,34.3,69,34.05,34.3,34.8,30.35,,
2015/1/15,GZF,201502,34.25,34.5,33.9,33.9,0.5,1.50%,18,33.9,44,34.1,34.35,34.75,31.85,,
