交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HLF,201501,-,-,-,-,-,-,-,63.7,125,63.4,64,65.8,54.6,,
2015/1/5,HLF,201502,63.1,63.1,63.1,63.1,-0.7,-1.10%,4,63.4,17,62.8,64,64.8,63,,
2015/1/5,HLF,201503,-,-,-,-,-,-,-,63.8,0,-,-,-,-,,
2015/1/5,HLF,201506,-,-,-,-,-,-,-,63.2,0,-,-,53.3,48.15,,
2015/1/5,HLF,201509,-,-,-,-,-,-,-,64.1,0,-,-,-,-,,
2015/1/6,HLF,201501,62.9,63.1,62.7,62.9,-0.8,-1.26%,23,62.9,118,61.5,63.4,65.8,54.6,,
2015/1/6,HLF,201502,63,63.3,62.9,62.9,-0.5,-0.79%,9,62.9,10,60.9,63.2,64.8,62.9,,
2015/1/6,HLF,201503,-,-,-,-,-,-,-,63.0,0,-,-,-,-,,
2015/1/6,HLF,201506,-,-,-,-,-,-,-,62.4,0,-,-,53.3,48.15,,
2015/1/6,HLF,201509,-,-,-,-,-,-,-,63.3,0,-,-,-,-,,
2015/1/7,HLF,201501,62.9,63.1,62.5,63.1,0.2,0.32%,39,63.1,126,61.5,63.2,65.8,54.6,,
2015/1/7,HLF,201502,62.8,63,62.8,63,0.1,0.16%,10,63.0,15,62.1,63,64.8,62.8,,
2015/1/7,HLF,201503,-,-,-,-,-,-,-,63.1,0,-,-,-,-,,
2015/1/7,HLF,201506,-,-,-,-,-,-,-,62.6,0,-,-,53.3,48.15,,
2015/1/7,HLF,201509,-,-,-,-,-,-,-,63.5,0,-,-,-,-,,
2015/1/8,HLF,201501,63.6,64,63.5,63.7,0.6,0.95%,19,63.7,128,62.9,64.1,65.8,54.6,,
2015/1/8,HLF,201502,63.3,64.2,63.3,63.6,0.6,0.95%,25,63.6,30,63.5,64.2,64.8,62.8,,
2015/1/8,HLF,201503,-,-,-,-,-,-,-,63.6,0,-,-,-,-,,
2015/1/8,HLF,201506,-,-,-,-,-,-,-,63.2,0,-,-,53.3,48.15,,
2015/1/8,HLF,201509,-,-,-,-,-,-,-,64.1,0,-,-,-,-,,
2015/1/9,HLF,201501,63.6,63.9,63.6,63.9,0.2,0.31%,29,63.9,125,63.4,64.2,65.8,54.6,,
2015/1/9,HLF,201502,63.7,63.7,63.7,63.7,0.1,0.16%,7,63.7,26,63.3,64,64.8,62.8,,
2015/1/9,HLF,201503,-,-,-,-,-,-,-,63.7,0,-,-,-,-,,
2015/1/9,HLF,201506,-,-,-,-,-,-,-,63.4,0,-,-,53.3,48.15,,
2015/1/9,HLF,201509,-,-,-,-,-,-,-,64.3,0,-,-,-,-,,
2015/1/12,HLF,201501,63.9,65.4,63.9,65.4,1.5,2.35%,47,65.4,115,64.4,65.2,65.8,54.6,,
2015/1/12,HLF,201502,64,65,64,65,1.3,2.04%,21,65.0,39,63.7,65.8,65,62.8,,
2015/1/12,HLF,201503,-,-,-,-,-,-,-,65.2,0,-,-,-,-,,
2015/1/12,HLF,201506,-,-,-,-,-,-,-,64.9,0,-,-,53.3,48.15,,
2015/1/12,HLF,201509,-,-,-,-,-,-,-,65.8,0,-,-,-,-,,
2015/1/13,HLF,201501,65.2,65.2,64.4,64.9,-0.5,-0.76%,32,64.9,115,64.4,65,65.8,54.6,,
2015/1/13,HLF,201502,65,65.2,64.6,64.8,-0.2,-0.31%,10,64.8,41,64.3,65,65.2,62.8,,
2015/1/13,HLF,201503,-,-,-,-,-,-,-,64.9,0,-,-,-,-,,
2015/1/13,HLF,201506,-,-,-,-,-,-,-,64.4,0,-,-,53.3,48.15,,
2015/1/13,HLF,201509,-,-,-,-,-,-,-,65.3,0,-,-,-,-,,
2015/1/14,HLF,201501,65.1,65.4,64.8,65.4,0.5,0.77%,54,65.4,114,64.7,67,65.8,54.6,,
2015/1/14,HLF,201502,64.9,65.5,64.9,65.5,0.7,1.08%,19,65.5,55,63.9,65.9,65.5,62.8,,
2015/1/14,HLF,201503,-,-,-,-,-,-,-,65.5,0,-,-,-,-,,
2015/1/14,HLF,201506,-,-,-,-,-,-,-,64.9,0,-,-,53.3,48.15,,
2015/1/14,HLF,201509,-,-,-,-,-,-,-,65.8,0,-,-,-,-,,
2015/1/15,HLF,201501,65.2,65.3,64.6,64.8,-0.6,-0.92%,24,64.8,108,64.3,65.2,65.8,54.6,,
2015/1/15,HLF,201502,65.2,65.2,64.8,64.8,-0.7,-1.07%,16,64.8,70,64.4,65.2,65.5,62.8,,
2015/1/15,HLF,201503,-,-,-,-,-,-,-,65.0,0,-,-,-,-,,
2015/1/15,HLF,201506,64.5,64.5,64.5,64.5,-0.4,-0.62%,5,64.5,5,-,-,64.5,48.15,,
2015/1/15,HLF,201509,-,-,-,-,-,-,-,65.2,0,-,-,-,-,,
2015/1/16,HLF,201501,64.7,64.7,64.1,64.4,-0.4,-0.62%,32,64.4,94,64.1,65.9,65.8,54.6,,
2015/1/16,HLF,201502,64.4,64.6,64.4,64.5,-0.3,-0.46%,11,64.5,66,63.7,64.8,65.5,62.8,,
2015/1/16,HLF,201503,-,-,-,-,-,-,-,64.6,0,-,-,-,-,,
2015/1/16,HLF,201506,64.5,64.5,64.5,64.5,0,0.00%,5,64.5,10,-,-,64.5,48.15,,
2015/1/16,HLF,201509,-,-,-,-,-,-,-,64.8,0,-,-,-,-,,
2015/1/19,HLF,201501,65,65,64.3,64.5,0.1,0.16%,15,64.5,85,63.8,64.6,65.8,54.6,,
2015/1/19,HLF,201502,65,65,64,64,-0.5,-0.78%,14,64.0,78,63.8,64.2,65.5,62.8,,
2015/1/19,HLF,201503,-,-,-,-,-,-,-,64.7,0,-,-,-,-,,
2015/1/19,HLF,201506,-,-,-,-,-,-,-,64.6,10,-,-,64.5,48.15,,
2015/1/19,HLF,201509,-,-,-,-,-,-,-,64.9,0,-,-,-,-,,
2015/1/20,HLF,201501,64.6,65.1,64.6,65.1,0.6,0.93%,25,65.1,76,64.7,65.1,65.8,54.6,,
2015/1/20,HLF,201502,64.3,65.1,64.3,64.9,0.9,1.41%,29,64.9,83,64.3,65.2,65.5,62.8,,
2015/1/20,HLF,201503,-,-,-,-,-,-,-,65.3,0,-,-,-,-,,
2015/1/20,HLF,201506,64.8,64.8,64.8,64.8,0.2,0.31%,5,64.8,15,-,-,64.8,48.15,,
2015/1/20,HLF,201509,-,-,-,-,-,-,-,65.5,0,-,-,-,-,,
2015/1/21,HLF,201501,64.8,65.1,64.8,64.9,-0.2,-0.31%,18,0.0,62,64.8,67.3,65.8,54.6,,
2015/1/21,HLF,201502,64.9,65.1,64.8,65,0.1,0.15%,18,65.0,90,64.5,65,65.5,62.8,,
2015/1/21,HLF,201503,-,-,-,-,-,-,-,65.1,0,64.3,65.4,-,-,,
2015/1/21,HLF,201506,-,-,-,-,-,-,-,64.6,15,-,-,64.8,48.15,,
2015/1/21,HLF,201509,-,-,-,-,-,-,-,65.3,0,-,-,-,-,,
2015/1/22,HLF,201502,65.1,66.5,65,65.7,0.7,1.08%,79,65.7,109,65.5,66.5,66.5,62.8,,
2015/1/22,HLF,201503,66.4,66.4,65.8,65.8,0.7,1.08%,19,65.7,14,65.4,66.5,66.4,65.8,,
2015/1/22,HLF,201506,-,-,-,-,-,-,-,65.3,15,-,-,64.8,48.15,,
2015/1/22,HLF,201509,-,-,-,-,-,-,-,66.0,0,-,-,-,-,,
2015/1/22,HLF,201512,-,-,-,-,-,-,-,66.4,0,-,-,-,-,,
2015/1/23,HLF,201502,66,66.3,65.6,65.6,-0.1,-0.15%,51,65.6,109,65.2,66.3,66.5,62.8,,
2015/1/23,HLF,201503,65.8,65.9,65.6,65.7,0,0.00%,17,65.7,14,65,66.2,66.4,65.6,,
2015/1/23,HLF,201506,-,-,-,-,-,-,-,65.2,15,-,-,64.8,48.15,,
2015/1/23,HLF,201509,-,-,-,-,-,-,-,65.9,0,-,-,-,-,,
