交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HN1,201503,-,-,-,-,-,-,-,17.55,10,-,-,23.9,15.5,,
2015/1/6,HN1,201503,-,-,-,-,-,-,-,17.45,10,-,-,23.9,15.5,,
2015/1/7,HN1,201503,-,-,-,-,-,-,-,17.05,10,-,-,23.9,15.5,,
2015/1/8,HN1,201503,-,-,-,-,-,-,-,17.3,10,-,-,23.9,15.5,,
2015/1/9,HN1,201503,-,-,-,-,-,-,-,17.25,10,-,-,23.9,15.5,,
2015/1/12,HN1,201503,-,-,-,-,-,-,-,17.1,10,-,-,23.9,15.5,,
2015/1/13,HN1,201503,-,-,-,-,-,-,-,17.0,10,-,-,23.9,15.5,,
2015/1/14,HN1,201503,-,-,-,-,-,-,-,17.05,10,-,-,23.9,15.5,,
2015/1/15,HN1,201503,-,-,-,-,-,-,-,16.7,10,-,-,23.9,15.5,,
2015/1/16,HN1,201503,-,-,-,-,-,-,-,16.2,10,-,-,23.9,15.5,,
2015/1/19,HN1,201503,15.15,15.15,15.15,15.15,-1.05,-6.48%,1,15.15,10,-,-,23.9,15.15,,
2015/1/20,HN1,201503,-,-,-,-,-,-,-,15.5,10,15.55,-,23.9,15.15,,
2015/1/21,HN1,201503,-,-,-,-,-,-,-,15.4,10,15.45,-,23.9,15.15,,
2015/1/22,HN1,201503,16.05,16.05,16.05,16.05,0.65,4.22%,1,15.7,10,-,-,23.9,15.15,,
2015/1/23,HN1,201503,15.65,15.8,15.65,15.8,0.1,0.64%,70,15.8,14,-,-,23.9,15.15,,
2015/1/26,HN1,201503,15.4,15.45,15.2,15.45,-0.35,-2.22%,60,15.45,10,-,-,23.9,15.15,,
2015/1/27,HN1,201503,15.9,16.15,15.9,16.1,0.65,4.21%,105,16.1,15,-,-,23.9,15.15,,
2015/1/28,HN1,201503,16.05,16.1,16.05,16.1,0,0.00%,35,16.0,15,-,-,23.9,15.15,,
2015/1/29,HN1,201503,16,16,15.85,15.85,-0.15,-0.94%,30,15.85,35,-,-,23.9,15.15,,
2015/1/30,HN1,201503,-,-,-,-,-,-,-,16.35,35,-,-,23.9,15.15,,
2015/2/2,HN1,201503,16.35,16.35,16.35,16.35,0,0.00%,10,16.3,25,-,-,23.9,15.15,,
2015/2/3,HN1,201503,16.7,16.7,16.45,16.45,0.15,0.92%,25,16.45,24,-,-,23.9,15.15,,
2015/2/4,HN1,201503,-,-,-,-,-,-,-,16.3,24,-,-,23.9,15.15,,
2015/2/5,HN1,201503,16.15,16.15,16.05,16.15,-0.15,-0.92%,25,16.15,14,-,-,23.9,15.15,,
2015/2/6,HN1,201503,-,-,-,-,-,-,-,16.1,14,-,-,23.9,15.15,,
2015/2/9,HN1,201503,16.25,16.4,16.25,16.4,0.3,1.86%,20,16.4,29,-,16.55,23.9,15.15,,
2015/2/10,HN1,201503,-,-,-,-,-,-,-,16.45,29,-,-,23.9,15.15,,
2015/2/11,HN1,201503,16.35,16.35,16.3,16.3,-0.15,-0.91%,15,16.3,34,-,-,23.9,15.15,,
2015/2/12,HN1,201503,16.3,16.35,16.3,16.35,0.05,0.31%,10,16.35,29,-,-,23.9,15.15,,
2015/2/13,HN1,201503,16.75,16.85,16.7,16.75,0.4,2.45%,35,16.7,39,-,16.95,23.9,15.15,,
2015/2/24,HN1,201503,16.7,16.75,16.7,16.75,0.05,0.30%,11,16.9,44,-,-,23.9,15.15,,
2015/2/25,HN1,201503,-,-,-,-,-,-,-,16.7,44,-,-,23.9,15.15,,
2015/2/26,HN1,201503,16.55,16.55,16.55,16.55,-0.15,-0.90%,1,16.4,43,-,-,23.9,15.15,,
2015/3/2,HN1,201503,-,-,-,-,-,-,-,16.4,43,-,-,23.9,15.15,,
2015/3/3,HN1,201503,-,-,-,-,-,-,-,16.45,43,-,-,23.9,15.15,,
2015/3/4,HN1,201503,-,-,-,-,-,-,-,16.25,43,-,-,23.9,15.15,,
2015/3/5,HN1,201503,16.2,16.2,16.1,16.1,-0.15,-0.92%,10,16.05,43,-,-,23.9,15.15,,
2015/3/6,HN1,201503,-,-,-,-,-,-,-,16.2,43,-,-,23.9,15.15,,
2015/3/9,HN1,201503,16,16.05,15.95,16.05,-0.15,-0.93%,15,16.05,43,-,-,23.9,15.15,,
2015/3/10,HN1,201503,15.9,15.9,15.7,15.75,-0.3,-1.87%,30,15.7,38,-,-,23.9,15.15,,
2015/3/11,HN1,201503,15.75,15.75,15.6,15.6,-0.1,-0.64%,30,15.6,38,-,-,23.9,15.15,,
2015/3/12,HN1,201503,15.65,15.65,15.65,15.65,0.05,0.32%,1,15.65,38,-,-,23.9,15.15,,
2015/3/13,HN1,201503,15.65,15.65,15.6,15.6,-0.05,-0.32%,11,15.6,38,-,-,23.9,15.15,,
2015/3/16,HN1,201503,15.6,15.7,15.6,15.7,0.1,0.64%,15,15.7,38,-,-,23.9,15.15,,
2015/3/17,HN1,201503,16.4,16.4,16.35,16.4,0.7,4.46%,27,16.15,43,-,-,23.9,15.15,,
2015/3/18,HN1,201503,15.95,16,15.95,15.95,-0.2,-1.24%,20,0.0,33,-,-,23.9,15.15,,
2015/8/10,HN1,201508,-,-,-,-,-,-,-,12.0,119,12.05,12.15,14.8,13.25,,
2015/8/10,HN1,201509,-,-,-,-,-,-,-,12.05,35,-,-,21.65,13.2,,
2015/8/11,HN1,201508,-,-,-,-,-,-,-,12.1,119,12,12.25,14.8,13.25,,
2015/8/11,HN1,201509,-,-,-,-,-,-,-,12.1,35,-,-,21.65,13.2,,
2015/8/12,HN1,201508,12.1,12.1,12.1,12.1,0,0.00%,2,12.1,119,11.05,12.15,14.8,12.1,,
2015/8/12,HN1,201509,11.9,11.9,11.7,11.7,-0.4,-3.31%,4,12.1,33,-,12.15,21.65,11.7,,
2015/8/13,HN1,201508,-,-,-,-,-,-,-,11.95,119,-,12.5,14.8,12.1,,
2015/8/13,HN1,201509,-,-,-,-,-,-,-,11.95,33,-,12.5,21.65,11.7,,
2015/8/14,HN1,201508,12.3,12.3,12.3,12.3,0.35,2.93%,5,12.0,114,12.15,-,14.8,12.1,,
2015/8/14,HN1,201509,12.3,12.3,12.3,12.3,0.35,2.93%,5,12.1,38,-,-,21.65,11.7,,
2015/8/17,HN1,201508,-,-,-,-,-,-,-,12.1,114,-,12.05,14.8,12.1,,
2015/8/17,HN1,201509,-,-,-,-,-,-,-,12.05,38,-,-,21.65,11.7,,
2015/8/18,HN1,201508,11.85,11.85,11.85,11.85,-0.25,-2.07%,5,11.75,114,-,12.5,14.8,11.85,,
2015/8/18,HN1,201509,-,-,-,-,-,-,-,11.8,38,-,12.5,21.65,11.7,,
2015/8/19,HN1,201508,11.25,11.25,11.2,11.2,-0.55,-4.68%,6,0.0,114,-,11.7,14.8,11.2,,
2015/8/19,HN1,201509,11.25,11.25,11.25,11.25,-0.55,-4.66%,5,10.85,38,-,-,21.65,11.25,,
2015/8/20,HN1,201509,-,-,-,-,-,-,-,10.85,38,-,-,21.65,11.25,,
2015/8/21,HN1,201509,-,-,-,-,-,-,-,10.5,38,-,-,21.65,11.25,,
2015/8/24,HN1,201509,-,-,-,-,-,-,-,9.65,38,-,-,21.65,11.25,,
2015/8/25,HN1,201509,-,-,-,-,-,-,-,10.05,38,-,-,21.65,11.25,,
2015/8/26,HN1,201509,10.1,10.1,10.1,10.1,0.05,0.50%,10,10.1,48,-,10.1,21.65,10.1,,
2015/8/27,HN1,201509,-,-,-,-,-,-,-,10.0,48,-,-,21.65,10.1,,
2015/8/28,HN1,201509,10.15,10.3,10.15,10.25,0.25,2.50%,13,10.25,44,-,-,21.65,10.1,,
2015/8/31,HN1,201509,-,-,-,-,-,-,-,10.1,44,-,-,21.65,10.1,,
2015/9/1,HN1,201509,-,-,-,-,-,-,-,10.55,44,-,-,21.65,10.1,,
2015/9/2,HN1,201509,10.3,10.3,10.3,10.3,-0.25,-2.37%,1,10.5,43,-,-,21.65,10.1,,
