交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HS1,201501,23.25,23.65,23.15,23.65,0.8,3.50%,51,23.75,777,23.55,23.9,23.75,18.6,,
2015/1/5,HS1,201506,-,-,-,-,-,-,-,23.75,1,-,-,23.05,15.5,,
2015/1/5,HS1,201509,-,-,-,-,-,-,-,23.65,1,-,-,23.2,16.95,,
2015/1/6,HS1,201501,24.05,24.25,23.95,24.25,0.5,2.11%,125,23.8,783,23.85,24.1,24.25,18.6,,
2015/1/6,HS1,201506,-,-,-,-,-,-,-,23.8,1,-,-,23.05,15.5,,
2015/1/6,HS1,201509,-,-,-,-,-,-,-,23.7,1,-,-,23.2,16.95,,
2015/1/7,HS1,201501,24.5,24.75,24.45,24.7,0.9,3.78%,69,24.5,776,23.7,24.6,24.75,18.6,,
2015/1/7,HS1,201506,-,-,-,-,-,-,-,24.5,1,-,-,23.05,15.5,,
2015/1/7,HS1,201509,-,-,-,-,-,-,-,24.4,1,-,-,23.2,16.95,,
2015/1/8,HS1,201501,24.1,24.35,24.1,24.35,-0.15,-0.61%,5,24.55,779,24.5,24.6,24.75,18.6,,
2015/1/8,HS1,201506,-,-,-,-,-,-,-,24.55,1,-,-,23.05,15.5,,
2015/1/8,HS1,201509,-,-,-,-,-,-,-,24.45,1,-,-,23.2,16.95,,
2015/1/9,HS1,201501,24.4,25.45,24.4,25.4,0.85,3.46%,11,25.55,772,25.25,-,25.45,18.6,,
2015/1/9,HS1,201506,-,-,-,-,-,-,-,25.55,1,-,-,23.05,15.5,,
2015/1/9,HS1,201509,-,-,-,-,-,-,-,25.45,1,-,-,23.2,16.95,,
2015/1/12,HS1,201501,25.55,25.65,25.15,25.15,-0.4,-1.57%,16,25.15,768,25,-,25.65,18.6,,
2015/1/12,HS1,201506,-,-,-,-,-,-,-,25.15,1,-,-,23.05,15.5,,
2015/1/12,HS1,201509,-,-,-,-,-,-,-,25.05,1,-,-,23.2,16.95,,
2015/1/13,HS1,201501,25.9,25.9,25.7,25.75,0.6,2.39%,78,25.85,762,25.6,25.8,25.9,18.6,,
2015/1/13,HS1,201506,-,-,-,-,-,-,-,25.85,1,-,-,23.05,15.5,,
2015/1/13,HS1,201509,-,-,-,-,-,-,-,25.75,1,-,-,23.2,16.95,,
2015/1/14,HS1,201501,25.55,25.7,25.5,25.7,-0.15,-0.58%,8,25.8,765,24.85,-,25.9,18.6,,
2015/1/14,HS1,201506,-,-,-,-,-,-,-,25.8,1,-,-,23.05,15.5,,
2015/1/14,HS1,201509,-,-,-,-,-,-,-,25.7,1,-,-,23.2,16.95,,
2015/1/15,HS1,201501,25.45,25.45,25.35,25.35,-0.45,-1.74%,26,25.25,765,25.1,-,25.9,18.6,,
2015/1/15,HS1,201506,-,-,-,-,-,-,-,25.25,1,-,-,23.05,15.5,,
2015/1/15,HS1,201509,-,-,-,-,-,-,-,25.15,1,-,-,23.2,16.95,,
2015/1/16,HS1,201501,25.35,25.6,25.2,25.55,0.3,1.19%,29,25.55,762,24.9,-,25.9,18.6,,
2015/1/16,HS1,201506,-,-,-,-,-,-,-,25.55,1,-,-,23.05,15.5,,
2015/1/16,HS1,201509,-,-,-,-,-,-,-,25.45,1,-,-,23.2,16.95,,
2015/1/19,HS1,201501,25.25,25.35,24.7,24.7,-0.85,-3.33%,21,24.55,749,24.05,24.85,25.9,18.6,,
2015/1/19,HS1,201506,-,-,-,-,-,-,-,24.55,1,-,-,23.05,15.5,,
2015/1/19,HS1,201509,-,-,-,-,-,-,-,24.45,1,-,-,23.2,16.95,,
2015/1/20,HS1,201501,24.8,24.8,24.8,24.8,0.25,1.02%,1,24.85,749,24.75,-,25.9,18.6,,
2015/1/20,HS1,201506,-,-,-,-,-,-,-,24.85,1,-,-,23.05,15.5,,
2015/1/20,HS1,201509,-,-,-,-,-,-,-,24.75,1,-,-,23.2,16.95,,
2015/1/21,HS1,201501,25.5,25.5,25.25,25.4,0.55,2.21%,54,0.0,743,25.3,25.45,25.9,18.6,,
2015/1/21,HS1,201506,-,-,-,-,-,-,-,25.4,1,-,-,23.05,15.5,,
2015/1/21,HS1,201509,-,-,-,-,-,-,-,25.3,1,-,-,23.2,16.95,,
2015/1/22,HS1,201506,-,-,-,-,-,-,-,25.35,1,-,-,23.05,15.5,,
2015/1/22,HS1,201509,-,-,-,-,-,-,-,25.25,1,-,-,23.2,16.95,,
2015/1/23,HS1,201506,-,-,-,-,-,-,-,25.3,1,-,-,23.05,15.5,,
2015/1/23,HS1,201509,-,-,-,-,-,-,-,25.2,1,-,-,23.2,16.95,,
