交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HWF,201501,10.25,10.25,10.25,10.25,0,0.00%,30,10.25,262,10.25,10.3,10.5,10.1,,
2015/1/5,HWF,201502,-,-,-,-,-,-,-,10.3,217,10.25,10.3,10.3,10.1,,
2015/1/5,HWF,201503,-,-,-,-,-,-,-,10.3,140,10.25,-,10.5,10.2,,
2015/1/5,HWF,201506,-,-,-,-,-,-,-,10.3,508,10.15,-,10.5,10.2,,
2015/1/5,HWF,201509,10.3,10.3,10.3,10.3,0,0.00%,5,10.3,2306,-,-,10.5,10.3,,
2015/1/6,HWF,201501,10.25,10.25,10.15,10.15,-0.1,-0.98%,103,10.15,316,10.15,10.2,10.5,10.1,,
2015/1/6,HWF,201502,10.2,10.25,10.15,10.2,-0.1,-0.97%,116,10.2,251,10.15,10.2,10.3,10.1,,
2015/1/6,HWF,201503,-,-,-,-,-,-,-,10.2,140,10.2,-,10.5,10.2,,
2015/1/6,HWF,201506,-,-,-,-,-,-,-,10.2,508,10.2,-,10.5,10.2,,
2015/1/6,HWF,201509,10.25,10.3,10.25,10.3,0,0.00%,7,10.3,2313,10.2,-,10.5,10.25,,
2015/1/7,HWF,201501,10.2,10.2,10.2,10.2,0.05,0.49%,5,10.2,311,9.99,10.25,10.5,10.1,,
2015/1/7,HWF,201502,-,-,-,-,-,-,-,10.25,251,9.99,10.25,10.3,10.1,,
2015/1/7,HWF,201503,-,-,-,-,-,-,-,10.25,140,-,-,10.5,10.2,,
2015/1/7,HWF,201506,-,-,-,-,-,-,-,10.25,508,-,-,10.5,10.2,,
2015/1/7,HWF,201509,10.25,10.25,10.25,10.25,-0.05,-0.49%,5,10.25,2318,-,-,10.5,10.25,,
2015/1/8,HWF,201501,10.25,10.25,10.2,10.2,0,0.00%,100,10.2,291,10.1,10.25,10.5,10.1,,
2015/1/8,HWF,201502,10.25,10.25,10.2,10.25,0,0.00%,15,10.25,251,10.15,10.3,10.3,10.1,,
2015/1/8,HWF,201503,-,-,-,-,-,-,-,10.25,140,10.2,-,10.5,10.2,,
2015/1/8,HWF,201506,-,-,-,-,-,-,-,10.25,508,10.2,-,10.5,10.2,,
2015/1/8,HWF,201509,-,-,-,-,-,-,-,10.25,2318,-,-,10.5,10.25,,
2015/1/9,HWF,201501,10.3,10.35,10.25,10.3,0.1,0.98%,219,10.3,273,10.25,10.3,10.5,10.1,,
2015/1/9,HWF,201502,10.3,10.35,10.3,10.3,0.05,0.49%,123,10.3,222,10.25,10.35,10.35,10.1,,
2015/1/9,HWF,201503,-,-,-,-,-,-,-,10.25,140,10.2,-,10.5,10.2,,
2015/1/9,HWF,201506,-,-,-,-,-,-,-,10.35,508,-,-,10.5,10.2,,
2015/1/9,HWF,201509,10.35,10.35,10.35,10.35,0.1,0.98%,5,10.35,2323,-,-,10.5,10.25,,
2015/1/12,HWF,201501,10.25,10.25,10.25,10.25,-0.05,-0.49%,11,10.25,273,10.25,10.3,10.5,10.1,,
2015/1/12,HWF,201502,10.3,10.3,10.3,10.3,0,0.00%,66,10.3,212,10.25,10.3,10.35,10.1,,
2015/1/12,HWF,201503,-,-,-,-,-,-,-,10.25,140,10.25,-,10.5,10.2,,
2015/1/12,HWF,201506,-,-,-,-,-,-,-,10.3,508,-,-,10.5,10.2,,
2015/1/12,HWF,201509,-,-,-,-,-,-,-,10.3,2323,-,-,10.5,10.25,,
2015/1/13,HWF,201501,10.3,10.3,10.3,10.3,0.05,0.49%,20,10.3,282,10.2,10.4,10.5,10.1,,
2015/1/13,HWF,201502,10.3,10.3,10.3,10.3,0,0.00%,18,10.3,219,10.25,10.4,10.35,10.1,,
2015/1/13,HWF,201503,-,-,-,-,-,-,-,10.3,140,10.15,-,10.5,10.2,,
2015/1/13,HWF,201506,-,-,-,-,-,-,-,10.35,508,-,-,10.5,10.2,,
2015/1/13,HWF,201509,10.35,10.35,10.35,10.35,0.05,0.49%,5,10.35,2328,10.3,-,10.5,10.25,,
2015/1/14,HWF,201501,-,-,-,-,-,-,-,10.3,282,10.25,10.35,10.5,10.1,,
2015/1/14,HWF,201502,10.3,10.3,10.3,10.3,0,0.00%,75,10.3,216,10.3,10.35,10.35,10.1,,
2015/1/14,HWF,201503,-,-,-,-,-,-,-,10.3,140,10.25,-,10.5,10.2,,
2015/1/14,HWF,201506,-,-,-,-,-,-,-,10.35,508,-,-,10.5,10.2,,
2015/1/14,HWF,201509,-,-,-,-,-,-,-,10.35,2328,-,-,10.5,10.25,,
2015/1/15,HWF,201501,10.25,10.3,10.25,10.3,0,0.00%,190,10.3,277,10.2,10.5,10.5,10.1,,
