交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HXF,201503,-,-,-,-,-,-,-,11.3,662,11.2,11.3,11.95,11.15,,
2015/1/5,HXF,201506,11.25,11.25,11.25,11.25,-0.05,-0.44%,112,11.25,355,-,-,11.3,11.15,,
2015/1/5,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.25,-,11.35,11.2,,
2015/1/6,HXF,201503,11.3,11.3,11.25,11.3,0,0.00%,15,11.3,657,11.25,11.3,11.95,11.15,,
2015/1/6,HXF,201506,11.25,11.25,11.25,11.25,0,0.00%,55,11.25,387,11.25,11.3,11.3,11.15,,
2015/1/6,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.3,11.45,11.35,11.2,,
2015/1/7,HXF,201503,11.3,11.35,11.25,11.3,0,0.00%,315,11.3,658,11.25,11.3,11.95,11.15,,
2015/1/7,HXF,201506,11.25,11.3,11.25,11.3,0.05,0.44%,75,11.3,422,11.25,11.3,11.3,11.15,,
2015/1/7,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.3,-,11.35,11.2,,
2015/1/8,HXF,201503,11.3,11.3,11.3,11.3,0,0.00%,30,11.3,658,11.2,11.25,11.95,11.15,,
2015/1/8,HXF,201506,11.3,11.3,11.25,11.25,-0.05,-0.44%,100,11.25,482,11.2,11.25,11.3,11.15,,
2015/1/8,HXF,201509,-,-,-,-,-,-,-,11.3,463,11.3,-,11.35,11.2,,
2015/1/9,HXF,201503,11.25,11.3,11.25,11.3,0,0.00%,7,11.3,665,11.25,-,11.95,11.15,,
2015/1/9,HXF,201506,11.25,11.25,11.25,11.25,0,0.00%,5,11.25,482,-,-,11.3,11.15,,
2015/1/9,HXF,201509,-,-,-,-,-,-,-,11.35,463,-,-,11.35,11.2,,
2015/1/12,HXF,201503,-,-,-,-,-,-,-,11.35,665,11.25,11.35,11.95,11.15,,
2015/1/12,HXF,201506,-,-,-,-,-,-,-,11.3,482,11.3,11.4,11.3,11.15,,
2015/1/12,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.3,-,11.35,11.2,,
2015/1/13,HXF,201503,11.3,11.3,11.3,11.3,-0.05,-0.44%,4,11.3,664,11.25,11.35,11.95,11.15,,
2015/1/13,HXF,201506,11.35,11.35,11.35,11.35,0.05,0.44%,16,11.35,498,11.3,11.4,11.35,11.15,,
2015/1/13,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.3,-,11.35,11.2,,
2015/1/14,HXF,201503,-,-,-,-,-,-,-,11.3,664,11.25,11.35,11.95,11.15,,
2015/1/14,HXF,201506,-,-,-,-,-,-,-,11.35,498,11.3,11.4,11.35,11.15,,
2015/1/14,HXF,201509,-,-,-,-,-,-,-,11.35,463,-,-,11.35,11.2,,
2015/1/15,HXF,201503,-,-,-,-,-,-,-,11.35,664,11.25,11.35,11.95,11.15,,
2015/1/15,HXF,201506,-,-,-,-,-,-,-,11.4,498,11.3,11.4,11.35,11.15,,
2015/1/15,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.3,-,11.35,11.2,,
2015/1/16,HXF,201503,-,-,-,-,-,-,-,11.3,664,11.25,-,11.95,11.15,,
2015/1/16,HXF,201506,-,-,-,-,-,-,-,11.35,498,11.2,-,11.35,11.15,,
2015/1/16,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.25,-,11.35,11.2,,
2015/1/19,HXF,201503,11.35,11.35,11.35,11.35,0.05,0.44%,5,11.35,669,11.25,11.35,11.95,11.15,,
2015/1/19,HXF,201506,11.35,11.35,11.35,11.35,0,0.00%,10,11.35,508,11.2,11.4,11.35,11.15,,
2015/1/19,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.3,-,11.35,11.2,,
2015/1/20,HXF,201503,11.35,11.35,11.35,11.35,0,0.00%,3,11.35,669,11.25,-,11.95,11.15,,
2015/1/20,HXF,201506,11.35,11.35,11.35,11.35,0,0.00%,5,11.35,510,-,-,11.35,11.15,,
2015/1/20,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.35,-,11.35,11.2,,
2015/1/21,HXF,201503,11.35,11.35,11.35,11.35,0,0.00%,3,11.35,669,11.3,-,11.95,11.15,,
2015/1/21,HXF,201506,11.4,11.4,11.4,11.4,0.05,0.44%,11,11.4,521,11.35,-,11.4,11.15,,
2015/1/21,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.35,-,11.35,11.2,,
2015/1/22,HXF,201503,-,-,-,-,-,-,-,11.3,669,11.25,11.35,11.95,11.15,,
2015/1/22,HXF,201506,-,-,-,-,-,-,-,11.35,521,-,11.45,11.4,11.15,,
2015/1/22,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.35,-,11.35,11.2,,
2015/1/23,HXF,201503,11.35,11.35,11.35,11.35,0.05,0.44%,20,11.35,684,11.3,11.4,11.95,11.15,,
2015/1/23,HXF,201506,11.4,11.4,11.4,11.4,0.05,0.44%,1,11.4,520,-,-,11.4,11.15,,
2015/1/23,HXF,201509,-,-,-,-,-,-,-,11.35,463,11.4,-,11.35,11.2,,
2015/1/26,HXF,201503,-,-,-,-,-,-,-,11.35,684,11.3,11.55,11.95,11.15,,
2015/1/26,HXF,201506,-,-,-,-,-,-,-,11.4,520,-,-,11.4,11.15,,
2015/1/26,HXF,201509,-,-,-,-,-,-,-,11.35,463,-,-,11.35,11.2,,
2015/1/27,HXF,201503,-,-,-,-,-,-,-,11.4,684,11.3,11.4,11.95,11.15,,
2015/1/27,HXF,201506,-,-,-,-,-,-,-,11.45,520,11.3,11.45,11.4,11.15,,
2015/1/27,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.25,-,11.35,11.2,,
2015/1/28,HXF,201503,-,-,-,-,-,-,-,11.4,684,11.3,11.55,11.95,11.15,,
2015/1/28,HXF,201506,11.4,11.4,11.4,11.4,-0.05,-0.44%,9,11.4,521,11.35,-,11.4,11.15,,
2015/1/28,HXF,201509,-,-,-,-,-,-,-,11.4,463,-,-,11.35,11.2,,
2015/1/29,HXF,201503,-,-,-,-,-,-,-,11.4,684,11.3,11.55,11.95,11.15,,
2015/1/29,HXF,201506,-,-,-,-,-,-,-,11.4,521,11.4,-,11.4,11.15,,
2015/1/29,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.4,-,11.35,11.2,,
2015/1/30,HXF,201503,-,-,-,-,-,-,-,11.4,684,11.3,11.6,11.95,11.15,,
2015/1/30,HXF,201506,11.5,11.5,11.5,11.5,0.1,0.88%,10,11.5,531,11.4,-,11.5,11.15,,
2015/1/30,HXF,201509,-,-,-,-,-,-,-,11.4,463,11.4,-,11.35,11.2,,
2015/2/2,HXF,201503,11.45,11.55,11.45,11.5,0.1,0.88%,55,11.5,715,11.45,11.75,11.95,11.15,,
2015/2/2,HXF,201506,11.55,11.6,11.55,11.6,0.1,0.87%,3,11.6,530,11.4,-,11.6,11.15,,
2015/2/2,HXF,201509,-,-,-,-,-,-,-,11.5,463,11.5,11.75,11.35,11.2,,
2015/2/3,HXF,201503,11.55,11.6,11.55,11.6,0.1,0.87%,8,11.6,713,11.6,11.65,11.95,11.15,,
2015/2/3,HXF,201506,-,-,-,-,-,-,-,11.6,530,11.55,11.6,11.6,11.15,,
2015/2/3,HXF,201509,-,-,-,-,-,-,-,11.55,463,11.45,-,11.35,11.2,,
2015/2/4,HXF,201503,-,-,-,-,-,-,-,11.6,713,11.5,11.6,11.95,11.15,,
2015/2/4,HXF,201506,11.6,11.6,11.6,11.6,0,0.00%,1,11.6,531,11.5,11.6,11.6,11.15,,
2015/2/4,HXF,201509,-,-,-,-,-,-,-,11.55,463,11.65,11.95,11.35,11.2,,
2015/2/5,HXF,201503,-,-,-,-,-,-,-,11.6,713,11.35,11.75,11.95,11.15,,
2015/2/5,HXF,201506,11.6,11.6,11.6,11.6,0,0.00%,1,11.6,532,11.4,-,11.6,11.15,,
2015/2/5,HXF,201509,-,-,-,-,-,-,-,11.55,463,-,-,11.35,11.2,,
2015/2/6,HXF,201503,-,-,-,-,-,-,-,11.6,713,11.5,11.6,11.95,11.15,,
2015/2/6,HXF,201506,-,-,-,-,-,-,-,11.6,532,11.5,11.6,11.6,11.15,,
2015/2/6,HXF,201509,-,-,-,-,-,-,-,11.55,463,-,-,11.35,11.2,,
2015/2/9,HXF,201503,-,-,-,-,-,-,-,11.55,713,11.35,11.75,11.95,11.15,,
2015/2/9,HXF,201506,-,-,-,-,-,-,-,11.55,532,11.45,-,11.6,11.15,,
2015/2/9,HXF,201509,-,-,-,-,-,-,-,11.5,463,-,-,11.35,11.2,,
2015/2/10,HXF,201503,-,-,-,-,-,-,-,11.65,713,11.4,11.75,11.95,11.15,,
2015/2/10,HXF,201506,-,-,-,-,-,-,-,11.65,532,11.5,-,11.6,11.15,,
2015/2/10,HXF,201509,-,-,-,-,-,-,-,11.6,463,11.55,-,11.35,11.2,,
2015/2/11,HXF,201503,-,-,-,-,-,-,-,11.6,713,11.4,11.75,11.95,11.15,,
2015/2/11,HXF,201506,-,-,-,-,-,-,-,11.6,532,11.45,-,11.6,11.15,,
2015/2/11,HXF,201509,-,-,-,-,-,-,-,11.55,463,-,-,11.35,11.2,,
2015/2/12,HXF,201503,-,-,-,-,-,-,-,11.65,713,11.35,-,11.95,11.15,,
2015/2/12,HXF,201506,-,-,-,-,-,-,-,11.65,532,11.45,-,11.6,11.15,,
2015/2/12,HXF,201509,-,-,-,-,-,-,-,11.6,463,-,-,11.35,11.2,,
2015/2/13,HXF,201503,-,-,-,-,-,-,-,11.55,713,11.35,11.75,11.95,11.15,,
