交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HZF,201501,18.8,18.85,18.7,18.85,0.15,0.80%,29,18.85,47,18.75,19.85,18.95,17.65,,
2015/1/5,HZF,201502,18.7,18.75,18.7,18.75,0.05,0.27%,7,18.75,91,18.75,19.15,18.85,17.85,,
2015/1/5,HZF,201503,-,-,-,-,-,-,-,18.85,118,17.9,19.15,21.75,17.75,,
2015/1/5,HZF,201506,-,-,-,-,-,-,-,18.8,66,18.4,18.85,20.55,16.05,,
2015/1/5,HZF,201509,-,-,-,-,-,-,-,18.85,4,-,18.95,18.1,18.1,,
2015/1/6,HZF,201501,18.7,18.75,18.7,18.75,-0.1,-0.53%,11,18.75,47,18.55,18.95,18.95,17.65,,
2015/1/6,HZF,201502,18.7,18.7,18.6,18.6,-0.15,-0.80%,10,18.6,88,18.55,18.95,18.85,17.85,,
2015/1/6,HZF,201503,18.65,18.65,18.6,18.6,-0.25,-1.33%,3,18.6,118,18.2,18.95,21.75,17.75,,
2015/1/6,HZF,201506,-,-,-,-,-,-,-,18.7,66,18.7,-,20.55,16.05,,
2015/1/6,HZF,201509,-,-,-,-,-,-,-,18.75,4,-,-,18.1,18.1,,
2015/1/7,HZF,201501,-,-,-,-,-,-,-,18.65,47,18.5,18.9,18.95,17.65,,
2015/1/7,HZF,201502,18.75,18.75,18.75,18.75,0.15,0.81%,5,18.75,88,18.7,18.9,18.85,17.85,,
2015/1/7,HZF,201503,-,-,-,-,-,-,-,18.5,118,18.15,18.9,21.75,17.75,,
2015/1/7,HZF,201506,-,-,-,-,-,-,-,18.6,66,18.65,-,20.55,16.05,,
2015/1/7,HZF,201509,-,-,-,-,-,-,-,18.65,4,-,-,18.1,18.1,,
2015/1/8,HZF,201501,-,-,-,-,-,-,-,18.75,47,18.65,19.05,18.95,17.65,,
2015/1/8,HZF,201502,18.8,18.8,18.8,18.8,0.05,0.27%,2,18.8,88,18.75,19.05,18.85,17.85,,
2015/1/8,HZF,201503,-,-,-,-,-,-,-,18.6,118,-,19.05,21.75,17.75,,
2015/1/8,HZF,201506,-,-,-,-,-,-,-,18.7,66,-,18.85,20.55,16.05,,
2015/1/8,HZF,201509,-,-,-,-,-,-,-,18.75,4,-,-,18.1,18.1,,
2015/1/9,HZF,201501,18.9,18.9,18.9,18.9,0.15,0.80%,5,18.9,47,18.6,18.9,18.95,17.65,,
2015/1/9,HZF,201502,18.9,18.9,18.85,18.9,0.1,0.53%,13,18.9,88,18.6,19.05,18.9,17.85,,
2015/1/9,HZF,201503,-,-,-,-,-,-,-,18.75,118,-,19.05,21.75,17.75,,
2015/1/9,HZF,201506,-,-,-,-,-,-,-,18.85,66,-,18.95,20.55,16.05,,
2015/1/9,HZF,201509,-,-,-,-,-,-,-,18.9,4,-,-,18.1,18.1,,
2015/1/12,HZF,201501,18.75,18.75,18.75,18.75,-0.15,-0.79%,1,18.75,47,18.45,18.85,18.95,17.65,,
2015/1/12,HZF,201502,-,-,-,-,-,-,-,18.75,88,18.45,18.85,18.9,17.85,,
2015/1/12,HZF,201503,-,-,-,-,-,-,-,18.6,118,-,18.85,21.75,17.75,,
2015/1/12,HZF,201506,-,-,-,-,-,-,-,18.7,66,-,18.9,20.55,16.05,,
2015/1/12,HZF,201509,-,-,-,-,-,-,-,18.75,4,-,-,18.1,18.1,,
2015/1/13,HZF,201501,18.8,18.85,18.8,18.85,0.1,0.53%,6,18.85,42,18.65,19.05,18.95,17.65,,
2015/1/13,HZF,201502,-,-,-,-,-,-,-,18.85,88,18.65,19.05,18.9,17.85,,
2015/1/13,HZF,201503,-,-,-,-,-,-,-,18.7,118,-,19.05,21.75,17.75,,
2015/1/13,HZF,201506,-,-,-,-,-,-,-,18.8,66,-,18.9,20.55,16.05,,
2015/1/13,HZF,201509,-,-,-,-,-,-,-,18.85,4,-,-,18.1,18.1,,
2015/1/14,HZF,201501,19.1,19.1,19.1,19.1,0.25,1.33%,5,19.1,46,18.75,19.15,19.1,17.65,,
2015/1/14,HZF,201502,19.1,19.15,19.1,19.15,0.3,1.59%,13,19.15,88,18.75,19.2,19.15,17.85,,
