交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IAF,201501,9.15,9.16,9.1,9.12,-0.06,-0.65%,164,9.12,339,9.09,9.16,9.22,8.88,,
2015/1/5,IAF,201502,9.14,9.14,9.1,9.13,-0.02,-0.22%,122,9.13,310,9.13,9.18,9.21,8.89,,
2015/1/5,IAF,201503,-,-,-,-,-,-,-,9.17,105,-,-,9.3,8.99,,
2015/1/5,IAF,201506,-,-,-,-,-,-,-,9.17,522,-,-,9.44,8.9,,
2015/1/5,IAF,201509,-,-,-,-,-,-,-,9.19,824,-,-,9.3,9.09,,
2015/1/6,IAF,201501,9.06,9.06,9.02,9.04,-0.08,-0.88%,289,9.04,355,8.99,9.05,9.22,8.88,,
2015/1/6,IAF,201502,9.09,9.09,9.02,9.04,-0.09,-0.99%,347,9.04,212,9,9.06,9.21,8.89,,
2015/1/6,IAF,201503,-,-,-,-,-,-,-,9.03,105,-,-,9.3,8.99,,
2015/1/6,IAF,201506,-,-,-,-,-,-,-,9.04,522,-,-,9.44,8.9,,
2015/1/6,IAF,201509,-,-,-,-,-,-,-,9.11,824,-,-,9.3,9.09,,
2015/1/7,IAF,201501,9.03,9.03,9.02,9.02,-0.02,-0.22%,56,9.02,355,9.01,9.03,9.22,8.88,,
2015/1/7,IAF,201502,9.03,9.03,9.03,9.03,-0.01,-0.11%,25,9.03,187,9,9.03,9.21,8.89,,
2015/1/7,IAF,201503,-,-,-,-,-,-,-,9.01,105,-,-,9.3,8.99,,
2015/1/7,IAF,201506,-,-,-,-,-,-,-,9.01,522,-,-,9.44,8.9,,
2015/1/7,IAF,201509,-,-,-,-,-,-,-,9.09,824,-,-,9.3,9.09,,
2015/1/8,IAF,201501,9.07,9.12,9.07,9.12,0.1,1.11%,200,9.12,413,9.1,9.12,9.22,8.88,,
2015/1/8,IAF,201502,9.07,9.12,9.07,9.12,0.09,1.00%,151,9.12,162,9.1,9.15,9.21,8.89,,
2015/1/8,IAF,201503,-,-,-,-,-,-,-,9.11,105,-,-,9.3,8.99,,
2015/1/8,IAF,201506,-,-,-,-,-,-,-,9.11,522,-,-,9.44,8.9,,
2015/1/8,IAF,201509,-,-,-,-,-,-,-,9.19,824,-,-,9.3,9.09,,
2015/1/9,IAF,201501,9.13,9.13,9.12,9.12,0,0.00%,54,9.12,359,9.09,9.13,9.22,8.88,,
2015/1/9,IAF,201502,9.13,9.14,9.11,9.11,-0.01,-0.11%,64,9.11,157,9.09,9.72,9.21,8.89,,
2015/1/9,IAF,201503,-,-,-,-,-,-,-,9.11,105,-,-,9.3,8.99,,
