交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IB1,201503,-,-,-,-,-,-,-,10.45,5,-,-,11.4,10.15,,
2015/1/5,IB1,201506,-,-,-,-,-,-,-,10.45,164,-,-,11.45,11.4,,
2015/1/6,IB1,201503,-,-,-,-,-,-,-,10.3,5,-,-,11.4,10.15,,
2015/1/6,IB1,201506,-,-,-,-,-,-,-,10.3,164,-,-,11.45,11.4,,
2015/1/7,IB1,201503,-,-,-,-,-,-,-,10.35,5,-,-,11.4,10.15,,
2015/1/7,IB1,201506,-,-,-,-,-,-,-,10.35,164,-,-,11.45,11.4,,
2015/1/8,IB1,201503,-,-,-,-,-,-,-,10.4,5,-,-,11.4,10.15,,
2015/1/8,IB1,201506,-,-,-,-,-,-,-,10.4,164,-,-,11.45,11.4,,
2015/1/9,IB1,201503,-,-,-,-,-,-,-,10.5,5,-,-,11.4,10.15,,
2015/1/9,IB1,201506,-,-,-,-,-,-,-,10.5,164,-,-,11.45,11.4,,
2015/1/12,IB1,201503,-,-,-,-,-,-,-,10.5,5,-,-,11.4,10.15,,
2015/1/12,IB1,201506,-,-,-,-,-,-,-,10.5,164,-,-,11.45,11.4,,
2015/1/13,IB1,201503,-,-,-,-,-,-,-,10.55,5,-,-,11.4,10.15,,
2015/1/13,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/14,IB1,201503,-,-,-,-,-,-,-,10.55,5,-,-,11.4,10.15,,
2015/1/14,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/15,IB1,201503,-,-,-,-,-,-,-,10.5,5,-,-,11.4,10.15,,
2015/1/15,IB1,201506,-,-,-,-,-,-,-,10.5,164,-,-,11.45,11.4,,
2015/1/16,IB1,201503,-,-,-,-,-,-,-,10.45,5,-,-,11.4,10.15,,
2015/1/16,IB1,201506,-,-,-,-,-,-,-,10.45,164,-,-,11.45,11.4,,
2015/1/19,IB1,201503,-,-,-,-,-,-,-,10.55,5,-,-,11.4,10.15,,
2015/1/19,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/20,IB1,201503,-,-,-,-,-,-,-,10.5,5,-,-,11.4,10.15,,
2015/1/20,IB1,201506,-,-,-,-,-,-,-,10.5,164,-,-,11.45,11.4,,
2015/1/21,IB1,201503,-,-,-,-,-,-,-,10.45,5,10.25,10.65,11.4,10.15,,
2015/1/21,IB1,201506,-,-,-,-,-,-,-,10.45,164,-,-,11.45,11.4,,
2015/1/22,IB1,201503,10.5,10.5,10.45,10.45,0,0.00%,10,10.5,10,10.35,10.75,11.4,10.15,,
2015/1/22,IB1,201506,-,-,-,-,-,-,-,10.5,164,-,-,11.45,11.4,,
2015/1/23,IB1,201503,10.55,10.6,10.55,10.6,0.1,0.95%,30,10.5,10,10.35,-,11.4,10.15,,
2015/1/23,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/26,IB1,201503,10.5,10.5,10.45,10.45,-0.05,-0.48%,20,10.5,10,10.3,10.7,11.4,10.15,,
2015/1/26,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/27,IB1,201503,-,-,-,-,-,-,-,10.5,10,-,10.75,11.4,10.15,,
2015/1/27,IB1,201506,-,-,-,-,-,-,-,10.6,164,-,-,11.45,11.4,,
2015/1/28,IB1,201503,-,-,-,-,-,-,-,10.5,10,10.3,-,11.4,10.15,,
2015/1/28,IB1,201506,-,-,-,-,-,-,-,10.55,164,-,-,11.45,11.4,,
2015/1/29,IB1,201503,-,-,-,-,-,-,-,10.5,10,-,10.7,11.4,10.15,,
