交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IFF,201501,27.6,27.6,27.6,27.6,-0.7,-2.47%,1,27.85,19,27.65,28.05,28,26.5,,
2015/1/5,IFF,201502,-,-,-,-,-,-,-,27.9,8,27.55,28.05,28.05,27.8,,
2015/1/5,IFF,201503,-,-,-,-,-,-,-,27.95,0,-,-,-,-,,
2015/1/5,IFF,201506,-,-,-,-,-,-,-,28.0,0,-,-,-,-,,
2015/1/5,IFF,201509,-,-,-,-,-,-,-,28.2,0,-,-,-,-,,
2015/1/6,IFF,201501,27.35,27.35,27.1,27.1,-0.75,-2.69%,2,27.1,20,26.05,27.4,28,26.5,,
2015/1/6,IFF,201502,27.35,27.35,27.3,27.3,-0.6,-2.15%,3,27.3,11,26.5,27.4,28.05,27.3,,
2015/1/6,IFF,201503,-,-,-,-,-,-,-,27.2,0,-,-,-,-,,
2015/1/6,IFF,201506,-,-,-,-,-,-,-,27.25,0,-,-,-,-,,
2015/1/6,IFF,201509,-,-,-,-,-,-,-,27.45,0,-,-,-,-,,
2015/1/7,IFF,201501,-,-,-,-,-,-,-,27.2,20,26.95,27.4,28,26.5,,
2015/1/7,IFF,201502,-,-,-,-,-,-,-,27.4,11,26.75,27.55,28.05,27.3,,
2015/1/7,IFF,201503,-,-,-,-,-,-,-,27.3,0,-,-,-,-,,
2015/1/7,IFF,201506,-,-,-,-,-,-,-,27.35,0,-,-,-,-,,
2015/1/7,IFF,201509,-,-,-,-,-,-,-,27.55,0,-,-,-,-,,
2015/1/8,IFF,201501,-,-,-,-,-,-,-,27.45,20,27.2,27.65,28,26.5,,
2015/1/8,IFF,201502,-,-,-,-,-,-,-,27.65,11,27.2,27.45,28.05,27.3,,
2015/1/8,IFF,201503,-,-,-,-,-,-,-,27.55,0,-,-,-,-,,
2015/1/8,IFF,201506,-,-,-,-,-,-,-,27.6,0,-,-,-,-,,
2015/1/8,IFF,201509,-,-,-,-,-,-,-,27.8,0,-,-,-,-,,
2015/1/9,IFF,201501,-,-,-,-,-,-,-,27.25,20,27.2,28.55,28,26.5,,
2015/1/9,IFF,201502,-,-,-,-,-,-,-,27.45,11,27.2,27.5,28.05,27.3,,
2015/1/9,IFF,201503,-,-,-,-,-,-,-,27.35,0,-,-,-,-,,
2015/1/9,IFF,201506,-,-,-,-,-,-,-,27.4,0,-,-,-,-,,
2015/1/9,IFF,201509,-,-,-,-,-,-,-,27.6,0,-,-,-,-,,
2015/1/12,IFF,201501,27.4,27.4,27.25,27.25,0,0.00%,6,27.25,19,27.15,27.5,28,26.5,,
2015/1/12,IFF,201502,-,-,-,-,-,-,-,27.45,11,27.1,27.45,28.05,27.3,,
2015/1/12,IFF,201503,-,-,-,-,-,-,-,27.35,0,-,-,-,-,,
2015/1/12,IFF,201506,-,-,-,-,-,-,-,27.4,0,-,-,-,-,,
