交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IHF,201501,18.95,19,18.65,18.65,0.35,1.91%,129,18.65,132,17.8,18.85,19,16.05,,
2015/1/5,IHF,201502,18.9,19,18.65,18.65,0.4,2.19%,157,18.65,133,17.75,18.85,19,16.5,,
2015/1/5,IHF,201503,-,-,-,-,-,-,-,18.6,37,-,-,18.65,16.2,,
2015/1/5,IHF,201506,-,-,-,-,-,-,-,18.45,3,-,-,17.85,16.6,,
2015/1/5,IHF,201509,-,-,-,-,-,-,-,18.95,0,-,-,-,-,,
2015/1/6,IHF,201501,18.25,18.45,18.2,18.45,-0.2,-1.07%,99,18.45,134,17.95,18.45,19,16.05,,
2015/1/6,IHF,201502,18.4,18.4,18.2,18.25,-0.4,-2.14%,102,18.25,122,18,18.45,19,16.5,,
2015/1/6,IHF,201503,-,-,-,-,-,-,-,18.4,37,-,-,18.65,16.2,,
2015/1/6,IHF,201506,-,-,-,-,-,-,-,18.25,3,-,-,17.85,16.6,,
2015/1/6,IHF,201509,-,-,-,-,-,-,-,18.75,0,-,-,-,-,,
2015/1/7,IHF,201501,18.3,18.3,18.15,18.25,-0.2,-1.08%,35,18.25,137,17.9,18.3,19,16.05,,
2015/1/7,IHF,201502,18.25,18.3,18.1,18.25,0,0.00%,94,18.25,99,17.9,18.3,19,16.5,,
2015/1/7,IHF,201503,18.2,18.2,18.2,18.2,-0.2,-1.09%,2,18.2,35,-,-,18.65,16.2,,
2015/1/7,IHF,201506,-,-,-,-,-,-,-,18.05,3,-,-,17.85,16.6,,
2015/1/7,IHF,201509,-,-,-,-,-,-,-,18.55,0,-,-,-,-,,
2015/1/8,IHF,201501,18.3,18.6,18.3,18.6,0.35,1.92%,23,18.6,150,18.15,18.6,19,16.05,,
2015/1/8,IHF,201502,18.3,18.5,18.2,18.3,0.05,0.27%,98,18.3,105,18.15,18.65,19,16.5,,
2015/1/8,IHF,201503,-,-,-,-,-,-,-,18.55,35,-,-,18.65,16.2,,
2015/1/8,IHF,201506,-,-,-,-,-,-,-,18.4,3,-,-,17.85,16.6,,
2015/1/8,IHF,201509,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/9,IHF,201501,18.5,18.5,18.3,18.3,-0.3,-1.61%,27,18.3,150,18.2,18.55,19,16.05,,
