交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IOF,201501,172.5,177,172.5,175.5,-1.5,-0.85%,44,175.5,122,175.5,176,186,165,,
2015/1/5,IOF,201502,175.5,177,175.5,176.5,-0.5,-0.28%,20,176.5,124,175.5,176.5,186,168,,
2015/1/5,IOF,201503,-,-,-,-,-,-,-,176.5,17,174.5,177,181,158,,
2015/1/5,IOF,201506,-,-,-,-,-,-,-,175.5,15,-,177,171.5,152,,
2015/1/5,IOF,201509,-,-,-,-,-,-,-,176.5,0,-,177,-,-,,
2015/1/6,IOF,201501,175,176.5,175,176.5,1,0.57%,10,176.5,118,175.5,176.5,186,165,,
2015/1/6,IOF,201502,175,175,175,175,-1.5,-0.85%,2,175.0,125,175.5,177,186,168,,
2015/1/6,IOF,201503,-,-,-,-,-,-,-,177.5,17,174.5,177.5,181,158,,
2015/1/6,IOF,201506,-,-,-,-,-,-,-,176.5,15,-,177.5,171.5,152,,
2015/1/6,IOF,201509,-,-,-,-,-,-,-,177.5,0,-,177.5,-,-,,
2015/1/7,IOF,201501,174,175.5,171.5,174.5,-2,-1.13%,60,174.5,107,173.5,174.5,186,165,,
2015/1/7,IOF,201502,174.5,175,172,174.5,-0.5,-0.29%,26,174.5,130,173.5,174.5,186,168,,
2015/1/7,IOF,201503,-,-,-,-,-,-,-,175.5,17,172.5,175.5,181,158,,
2015/1/7,IOF,201506,-,-,-,-,-,-,-,174.5,15,-,175.5,171.5,152,,
2015/1/7,IOF,201509,-,-,-,-,-,-,-,175.5,0,-,175.5,-,-,,
2015/1/8,IOF,201501,175.5,180.5,175.5,180,5.5,3.15%,46,180.0,104,179.5,181,186,165,,
2015/1/8,IOF,201502,178.5,180,178.5,180,5.5,3.15%,40,180.0,132,179.5,180.5,186,168,,
2015/1/8,IOF,201503,180,180,180,180,4.5,2.56%,1,180.0,17,178.5,181,181,158,,
2015/1/8,IOF,201506,-,-,-,-,-,-,-,180.0,15,-,181.5,171.5,152,,
2015/1/8,IOF,201509,-,-,-,-,-,-,-,181.0,0,-,181.5,-,-,,
2015/1/9,IOF,201501,180,186,180,182,2,1.11%,71,182.0,118,181,183,186,165,,
2015/1/9,IOF,201502,180,186,180,181,1,0.56%,19,181.0,133,180.5,183.5,186,168,,
2015/1/9,IOF,201503,179,179,179,179,-1,-0.56%,1,182.0,17,179.5,184,181,158,,
2015/1/9,IOF,201506,-,-,-,-,-,-,-,182.0,15,-,184,171.5,152,,
2015/1/9,IOF,201509,-,-,-,-,-,-,-,183.0,0,-,184,-,-,,
2015/1/12,IOF,201501,180.5,181.5,179,179.5,-2.5,-1.37%,46,179.5,107,179,180.5,186,165,,
2015/1/12,IOF,201502,180.5,181,179,179,-2,-1.10%,26,179.0,131,179,180.5,186,168,,
2015/1/12,IOF,201503,-,-,-,-,-,-,-,179.5,17,178,181.5,181,158,,
2015/1/12,IOF,201506,-,-,-,-,-,-,-,179.5,15,-,181.5,171.5,152,,
2015/1/12,IOF,201509,-,-,-,-,-,-,-,180.5,0,-,181.5,-,-,,
2015/1/13,IOF,201501,180.5,180.5,178,180,0.5,0.28%,19,180.0,98,177.5,180,186,165,,
2015/1/13,IOF,201502,180,180,178,180,1,0.56%,7,180.0,130,178,180,186,168,,
2015/1/13,IOF,201503,179,179,178,178,-1.5,-0.84%,3,178.5,15,177,180,181,158,,
2015/1/13,IOF,201506,-,-,-,-,-,-,-,180.0,15,-,181,171.5,152,,
2015/1/13,IOF,201509,-,-,-,-,-,-,-,181.0,0,-,181,-,-,,
2015/1/14,IOF,201501,179.5,183.5,179.5,183,3,1.67%,55,183.0,122,182,183,186,165,,
2015/1/14,IOF,201502,179,184,179,183,3,1.67%,50,183.0,130,181.5,183,186,168,,
2015/1/14,IOF,201503,180.5,180.5,180.5,180.5,2,1.12%,1,180.5,15,180.5,184,181,158,,
2015/1/14,IOF,201506,-,-,-,-,-,-,-,183.0,15,-,184,171.5,152,,
2015/1/14,IOF,201509,-,-,-,-,-,-,-,184.0,0,-,184,-,-,,
2015/1/15,IOF,201501,183.5,184.5,181,184,1,0.55%,27,184.0,120,184,184.5,186,165,,
2015/1/15,IOF,201502,183,184.5,183,183,0,0.00%,17,183.0,126,183.5,184,186,168,,
2015/1/15,IOF,201503,183.5,183.5,182.5,183.5,3,1.66%,4,183.5,12,182.5,185,183.5,158,,
2015/1/15,IOF,201506,182.5,183.5,182.5,183.5,0.5,0.27%,2,183.5,14,-,185,183.5,152,,
2015/1/15,IOF,201509,-,-,-,-,-,-,-,185.0,0,-,185,-,-,,
2015/1/16,IOF,201501,185,185,182.5,184,0,0.00%,7,184.0,120,182.5,183.5,186,165,,
2015/1/16,IOF,201502,184.5,184.5,183,183,0,0.00%,12,183.0,127,182,183.5,186,168,,
2015/1/16,IOF,201503,184,184,184,184,0.5,0.27%,1,184.0,12,181,184.5,184,158,,
2015/1/16,IOF,201506,-,-,-,-,-,-,-,183.5,14,-,184.5,183.5,152,,
2015/1/16,IOF,201509,-,-,-,-,-,-,-,185.0,0,-,184.5,-,-,,
2015/1/19,IOF,201501,186,187.5,184.5,185,1,0.54%,14,185.0,111,185.5,186,187.5,165,,
2015/1/19,IOF,201502,186,187,185,185,2,1.09%,16,185.0,131,185,185.5,187,168,,
2015/1/19,IOF,201503,-,-,-,-,-,-,-,185.0,12,184,186.5,184,158,,
2015/1/19,IOF,201506,185,185,184.5,184.5,1,0.54%,2,184.5,12,-,186.5,185,152,,
2015/1/19,IOF,201509,-,-,-,-,-,-,-,186.0,0,-,186.5,-,-,,
2015/1/20,IOF,201501,185.5,185.5,185,185,0,0.00%,21,185.0,90,185,186,187.5,165,,
2015/1/20,IOF,201502,185,185.5,185,185,0,0.00%,13,185.0,132,185,185.5,187,168,,
2015/1/20,IOF,201503,-,-,-,-,-,-,-,185.0,12,184.5,186,184,158,,
2015/1/20,IOF,201506,-,-,-,-,-,-,-,184.5,12,-,186.5,185,152,,
2015/1/20,IOF,201509,-,-,-,-,-,-,-,186.0,0,-,186.5,-,-,,
2015/1/21,IOF,201501,185,185,182.5,182.5,-2.5,-1.35%,40,0.0,30,182.5,183.5,187.5,165,,
2015/1/21,IOF,201502,183,185,180.5,182,-3,-1.62%,57,182.0,125,181.5,182.5,187,168,,
2015/1/21,IOF,201503,-,-,-,-,-,-,-,182.5,12,181,183,184,158,,
2015/1/21,IOF,201506,-,-,-,-,-,-,-,182.0,12,-,183.5,185,152,,
2015/1/21,IOF,201509,-,-,-,-,-,-,-,183.5,0,-,183.5,-,-,,
2015/1/22,IOF,201502,183.5,190.5,183.5,188,6,3.30%,65,188.0,123,187.5,188.5,190.5,168,,
2015/1/22,IOF,201503,186.5,190,186,186,3.5,1.92%,15,188.0,25,187,188.5,190,158,,
2015/1/22,IOF,201506,-,-,-,-,-,-,-,188.0,12,-,189.5,185,152,,
2015/1/22,IOF,201509,-,-,-,-,-,-,-,189.5,0,-,189.5,-,-,,
2015/1/22,IOF,201512,-,-,-,-,-,-,-,190.0,0,-,-,-,-,,
2015/1/23,IOF,201502,194,198,191,194,6,3.19%,109,194.0,128,193.5,194.5,198,168,,
2015/1/23,IOF,201503,193.5,196,191,194,6,3.19%,60,194.0,61,193.5,194,196,158,,
2015/1/23,IOF,201506,-,-,-,-,-,-,-,194.0,12,-,195,185,152,,
2015/1/23,IOF,201509,-,-,-,-,-,-,-,195.5,0,-,195.5,-,-,,
2015/1/23,IOF,201512,-,-,-,-,-,-,-,196.0,0,-,-,-,-,,
2015/1/26,IOF,201502,194.5,195,192,192,-2,-1.03%,55,192.0,124,192,193,198,168,,
2015/1/26,IOF,201503,193,193,191.5,191.5,-2.5,-1.29%,51,191.5,90,191.5,193.5,196,158,,
2015/1/26,IOF,201506,-,-,-,-,-,-,-,192.0,12,-,194,185,152,,
2015/1/26,IOF,201509,-,-,-,-,-,-,-,193.5,0,-,194,-,-,,
2015/1/26,IOF,201512,-,-,-,-,-,-,-,194.0,0,-,-,-,-,,
2015/1/27,IOF,201502,190,190,185,187.5,-4.5,-2.34%,140,187.5,102,186,188,198,168,,
2015/1/27,IOF,201503,189.5,189.5,185,186.5,-5,-2.61%,42,186.5,82,186,188,196,158,,
2015/1/27,IOF,201506,-,-,-,-,-,-,-,187.5,12,-,189,185,152,,
2015/1/27,IOF,201509,-,-,-,-,-,-,-,189.0,0,-,189,-,-,,
2015/1/27,IOF,201512,-,-,-,-,-,-,-,189.5,0,-,-,-,-,,
2015/1/28,IOF,201502,184,185,181.5,184.5,-3,-1.60%,61,184.5,124,184.5,185,198,168,,
2015/1/28,IOF,201503,182.5,184,182,183.5,-3,-1.61%,22,183.5,81,184.5,185.5,196,158,,
2015/1/28,IOF,201506,-,-,-,-,-,-,-,184.5,12,-,186,185,152,,
2015/1/28,IOF,201509,-,-,-,-,-,-,-,186.0,0,-,186,-,-,,
2015/1/28,IOF,201512,-,-,-,-,-,-,-,186.5,0,-,-,-,-,,
2015/1/29,IOF,201502,182,182,173,177.5,-7,-3.79%,147,177.5,141,176.5,178,198,168,,
2015/1/29,IOF,201503,180,180,174.5,178,-5.5,-3.00%,15,178.0,84,176.5,178.5,196,158,,
2015/1/29,IOF,201506,-,-,-,-,-,-,-,177.5,12,-,179,185,152,,
2015/1/29,IOF,201509,-,-,-,-,-,-,-,179.0,0,-,179,-,-,,
2015/1/29,IOF,201512,-,-,-,-,-,-,-,179.5,0,-,-,-,-,,
2015/1/30,IOF,201502,177.5,177.5,175.5,176.5,-1,-0.56%,42,176.5,150,176.5,177.5,198,168,,
2015/1/30,IOF,201503,177,177.5,175.5,176.5,-1.5,-0.84%,28,176.5,78,176,177.5,196,158,,
2015/1/30,IOF,201506,-,-,-,-,-,-,-,176.5,12,-,178.5,185,152,,
2015/1/30,IOF,201509,-,-,-,-,-,-,-,178.0,0,-,178.5,-,-,,
2015/1/30,IOF,201512,-,-,-,-,-,-,-,178.5,0,-,-,-,-,,
2015/2/2,IOF,201502,172,172.5,167,171,-5.5,-3.12%,126,171.0,169,171.5,172,198,167,,
2015/2/2,IOF,201503,171.5,172,168,172,-4.5,-2.55%,34,172.0,62,171.5,172.5,196,158,,
2015/2/2,IOF,201506,-,-,-,-,-,-,-,171.0,12,-,173,185,152,,
2015/2/2,IOF,201509,-,-,-,-,-,-,-,172.5,0,-,173,-,-,,
2015/2/2,IOF,201512,-,-,-,-,-,-,-,173.0,0,-,-,-,-,,
2015/2/3,IOF,201502,172,174,171,174,3,1.75%,51,174.0,171,173.5,174,198,167,,
2015/2/3,IOF,201503,172.5,172.5,170.5,172.5,0.5,0.29%,23,172.5,58,173.5,174.5,196,158,,
2015/2/3,IOF,201506,-,-,-,-,-,-,-,174.0,12,-,175,185,152,,
2015/2/3,IOF,201509,-,-,-,-,-,-,-,175.5,0,-,175,-,-,,
2015/2/3,IOF,201512,-,-,-,-,-,-,-,176.0,0,-,-,-,-,,
2015/2/4,IOF,201502,175.5,178,175.5,177,3,1.72%,52,177.0,149,177,178.5,198,167,,
2015/2/4,IOF,201503,177,178,177,177,4.5,2.61%,9,177.0,62,176.5,179,196,158,,
2015/2/4,IOF,201506,-,-,-,-,-,-,-,177.0,12,-,179.5,185,152,,
2015/2/4,IOF,201509,-,-,-,-,-,-,-,178.5,0,-,179.5,-,-,,
2015/2/4,IOF,201512,-,-,-,-,-,-,-,179.0,0,-,-,-,-,,
2015/2/5,IOF,201502,177,177,172,175.5,-1.5,-0.85%,78,175.5,174,175,177.5,198,167,,
2015/2/5,IOF,201503,174,176,172,175.5,-1.5,-0.85%,35,175.5,73,175.5,178,196,158,,
2015/2/5,IOF,201506,-,-,-,-,-,-,-,175.5,12,-,178.5,185,152,,
2015/2/5,IOF,201509,-,-,-,-,-,-,-,177.0,0,-,178.5,-,-,,
2015/2/5,IOF,201512,-,-,-,-,-,-,-,177.5,0,-,-,-,-,,
2015/2/6,IOF,201502,175.5,175.5,166.5,166.5,-9,-5.13%,94,166.5,179,165,166.5,198,166.5,,
2015/2/6,IOF,201503,172,172,166,166,-9.5,-5.41%,68,166.0,110,165.5,166,196,158,,
2015/2/6,IOF,201506,-,-,-,-,-,-,-,166.5,12,-,167,185,152,,
2015/2/6,IOF,201509,-,-,-,-,-,-,-,168.0,0,-,167.5,-,-,,
2015/2/6,IOF,201512,-,-,-,-,-,-,-,168.5,0,-,-,-,-,,
2015/2/9,IOF,201502,166.5,171,166.5,170,3.5,2.10%,49,170.0,167,169.5,170,198,166.5,,
2015/2/9,IOF,201503,169.5,170.5,169,170,4,2.41%,30,170.0,106,169,170,196,158,,
2015/2/9,IOF,201506,-,-,-,-,-,-,-,170.0,12,-,171,185,152,,
2015/2/9,IOF,201509,-,-,-,-,-,-,-,171.5,0,-,171,-,-,,
2015/2/9,IOF,201512,-,-,-,-,-,-,-,172.0,0,-,-,-,-,,
