交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,IXF,201501,103.5,104.5,102.5,104.5,-1,-0.95%,28,104.5,40,104.5,105,113.5,96.7,,
2015/1/5,IXF,201502,104,104.5,104,104.5,0,0.00%,3,104.5,17,104,105.5,106.5,99.1,,
2015/1/5,IXF,201503,-,-,-,-,-,-,-,104.0,10,-,106,133,114,,
2015/1/5,IXF,201506,-,-,-,-,-,-,-,103.0,2,-,106,122.5,115.5,,
2015/1/5,IXF,201509,-,-,-,-,-,-,-,106.0,0,-,106,-,-,,
2015/1/6,IXF,201501,103,103.5,103,103.5,-1,-0.96%,5,103.5,40,103.5,104,113.5,96.7,,
2015/1/6,IXF,201502,103.5,103.5,103.5,103.5,-1,-0.96%,1,103.5,17,103.5,104.5,106.5,99.1,,
2015/1/6,IXF,201503,-,-,-,-,-,-,-,103.0,10,-,105,133,114,,
2015/1/6,IXF,201506,-,-,-,-,-,-,-,102.0,2,-,105,122.5,115.5,,
2015/1/6,IXF,201509,-,-,-,-,-,-,-,105.0,0,-,105,-,-,,
2015/1/7,IXF,201501,103,104,103,104,0.5,0.48%,6,104.0,40,103,104,113.5,96.7,,
2015/1/7,IXF,201502,103,103,103,103,-0.5,-0.48%,4,103.0,19,103,104.5,106.5,99.1,,
2015/1/7,IXF,201503,-,-,-,-,-,-,-,103.5,10,-,105,133,114,,
2015/1/7,IXF,201506,-,-,-,-,-,-,-,102.5,2,-,105,122.5,115.5,,
2015/1/7,IXF,201509,-,-,-,-,-,-,-,105.5,0,-,105,-,-,,
2015/1/8,IXF,201501,104,104,103,103.5,-0.5,-0.48%,4,103.5,41,103,104,113.5,96.7,,
2015/1/8,IXF,201502,-,-,-,-,-,-,-,104.0,19,103,104.5,106.5,99.1,,
2015/1/8,IXF,201503,-,-,-,-,-,-,-,103.0,10,-,105,133,114,,
2015/1/8,IXF,201506,-,-,-,-,-,-,-,102.0,2,-,105,122.5,115.5,,
2015/1/8,IXF,201509,-,-,-,-,-,-,-,105.0,0,-,105,-,-,,
2015/1/9,IXF,201501,103.5,103.5,103.5,103.5,0,0.00%,5,103.5,40,103.5,104,113.5,96.7,,
2015/1/9,IXF,201502,-,-,-,-,-,-,-,104.0,19,103.5,104.5,106.5,99.1,,
2015/1/9,IXF,201503,-,-,-,-,-,-,-,103.0,10,-,105,133,114,,
2015/1/9,IXF,201506,-,-,-,-,-,-,-,102.0,2,-,105,122.5,115.5,,
2015/1/9,IXF,201509,-,-,-,-,-,-,-,105.0,0,-,105,-,-,,
2015/1/12,IXF,201501,103,103,103,103,-0.5,-0.48%,3,103.0,42,103,104,113.5,96.7,,
