交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/13,JD1,201507,20.85,21.35,20.85,21,0.4,1.94%,9,21.05,174,-,21.35,21.35,15.1,,
2015/7/13,JD1,201508,20.8,20.9,20.7,20.7,0.2,0.98%,9,21.05,162,-,20.7,20.9,16.8,,
2015/7/13,JD1,201512,-,-,-,-,-,-,-,21.15,1,-,-,16.6,16.6,,
2015/7/14,JD1,201507,20.55,20.75,20.35,20.4,-0.65,-3.09%,72,20.2,174,20,20.4,21.35,15.1,,
2015/7/14,JD1,201508,20.9,20.9,20.2,20.5,-0.55,-2.61%,36,20.15,160,-,-,20.9,16.8,,
2015/7/14,JD1,201512,-,-,-,-,-,-,-,20.3,1,-,-,16.6,16.6,,
2015/7/15,JD1,201507,19.5,20.15,19.5,20.15,-0.05,-0.25%,21,0.0,172,19.4,-,21.35,15.1,,
2015/7/15,JD1,201508,19.5,20.1,19.5,20.05,-0.1,-0.50%,35,20.0,160,19.8,21.05,20.9,16.8,,
2015/7/15,JD1,201512,-,-,-,-,-,-,-,20.05,1,-,-,16.6,16.6,,
2015/7/16,JD1,201508,19.9,20,19.9,19.95,-0.05,-0.25%,16,19.95,155,19.85,20.05,20.9,16.8,,
2015/7/16,JD1,201512,-,-,-,-,-,-,-,20.0,1,-,-,16.6,16.6,,
2015/7/17,JD1,201508,20.2,20.2,20.2,20.2,0.25,1.25%,2,20.3,155,-,-,20.9,16.8,,
2015/7/17,JD1,201512,-,-,-,-,-,-,-,20.35,1,-,20.1,16.6,16.6,,
2015/7/20,JD1,201508,-,-,-,-,-,-,-,19.65,155,19.35,-,20.9,16.8,,
2015/7/20,JD1,201512,-,-,-,-,-,-,-,19.7,1,-,-,16.6,16.6,,
2015/7/21,JD1,201508,20.9,20.95,20.4,20.4,0.75,3.82%,17,20.25,155,-,20.45,20.95,16.8,,
