交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/11/26,JF1,201812  ,175.5,180.5,174,175,1,0.57%,17.0,175,275,172.5,177,239,148,,一般,,
2018/11/26,JF1,201901  ,-,-,-,-,-,-,0.0,175,15,172,177.5,170.5,170.5,,一般,,
2018/11/26,JF1,201903  ,-,-,-,-,-,-,0.0,179,8,-,-,184.5,155,,一般,,
2018/11/27,JF1,201812  ,179,179,175,178,3,1.71%,33.0,178,268,177,178.5,239,148,,一般,,
2018/11/27,JF1,201901  ,175,175,175,175,0,0.00%,2.0,176,17,176.5,179,175,170.5,,一般,,
2018/11/27,JF1,201903  ,-,-,-,-,-,-,0.0,180.5,8,-,-,184.5,155,,一般,,
2018/11/28,JF1,201812  ,181,194,180,189.5,11.5,6.46%,49.0,189,239,188.5,191,239,148,,一般,,
2018/11/28,JF1,201901  ,181,193,180.5,192,16,9.09%,5.0,190,22,188,191.5,193,170.5,,一般,,
2018/11/28,JF1,201903  ,-,-,-,-,-,-,0.0,192,8,-,-,184.5,155,,一般,,
2018/11/29,JF1,201812  ,192,197,191,197,8,4.23%,35.0,195.5,219,195.5,196.5,239,148,,一般,,
2018/11/29,JF1,201901  ,190.5,197,190.5,197,7,3.68%,5.0,196,22,195,196,197,170.5,,一般,,
2018/11/29,JF1,201903  ,-,-,-,-,-,-,0.0,198.5,8,-,-,184.5,155,,一般,,
2018/11/30,JF1,201812  ,194.5,200.5,192.5,198,2.5,1.28%,25.0,198.5,219,197,201,239,148,,一般,,
2018/11/30,JF1,201901  ,197.5,197.5,197.5,197.5,1.5,0.77%,12.0,199,22,196.5,201.5,197.5,170.5,,一般,,
2018/11/30,JF1,201903  ,-,-,-,-,-,-,0.0,201.5,8,179,-,184.5,155,,一般,,
2018/11/28,JF1,201812/201901     ,-,-,-,-,-,-,,-,-,-,-,-,-,,一般,5.0,
2018/11/29,JF1,201812/201901     ,0.07,0.08,0.07,0.08,-,-,3.0,-,-,-0.17,4.07,0.1,0.07,,一般,2.0,
2018/11/30,JF1,201812/201901     ,0.09,0.11,0.09,0.11,-,-,7.0,-,-,-0.26,0.09,0.11,0.07,,一般,5.0,
2018/12/03,JF1,201812  ,210.5,217.5,210.5,212,13.5,6.80%,54.0,218,199,218,-,239,148,,一般,,
2018/12/03,JF1,201901  ,214,214,212,213,14,7.04%,14.0,218,29,217.5,-,214,170.5,,一般,,
2018/12/03,JF1,201903  ,-,-,-,-,-,-,0.0,221.5,8,-,-,184.5,155,,一般,,
2018/12/04,JF1,201812  ,214.5,215.5,210.5,210.5,-7.5,-3.44%,14.0,210.5,200,209,212,239,148,,一般,,
2018/12/04,JF1,201901  ,-,-,-,-,-,-,0.0,210,29,208.5,213,214,170.5,,一般,,
2018/12/04,JF1,201903  ,-,-,-,-,-,-,0.0,213,8,206,-,184.5,155,,一般,,
2018/12/05,JF1,201812  ,199,206,197.5,206,-4.5,-2.14%,16.0,206,209,205,209,239,148,,一般,,
2018/12/05,JF1,201901  ,197,205.5,197,205.5,-4.5,-2.14%,8.0,205.5,36,204.5,209.5,214,170.5,,一般,,
2018/12/05,JF1,201903  ,-,-,-,-,-,-,0.0,210,8,-,-,184.5,155,,一般,,
2018/12/06,JF1,201812  ,203.5,203.5,203,203.5,-2.5,-1.21%,4.0,200.5,209,199.5,202.5,239,148,,一般,,
2018/12/06,JF1,201901  ,-,-,-,-,-,-,0.0,200.5,36,199,202,214,170.5,,一般,,
2018/12/06,JF1,201903  ,-,-,-,-,-,-,0.0,203.5,8,-,-,184.5,155,,一般,,
2018/12/07,JF1,201812  ,204.5,205.5,202,204,3.5,1.75%,12.0,206.5,209,205,206,239,148,,一般,,
2018/12/07,JF1,201901  ,-,-,-,-,-,-,0.0,207,36,204.5,207,214,170.5,,一般,,
2018/12/07,JF1,201903  ,-,-,-,-,-,-,0.0,209.5,8,-,-,184.5,155,,一般,,
2018/12/10,JF1,201812  ,200.5,202,192,192,-14.5,-7.02%,26.0,194.5,212,191,198.5,239,148,,一般,,
2018/12/10,JF1,201901  ,-,-,-,-,-,-,0.0,193.5,36,190.5,199.5,214,170.5,,一般,,
2018/12/10,JF1,201903  ,-,-,-,-,-,-,0.0,197.5,8,-,-,184.5,155,,一般,,
2018/12/11,JF1,201812  ,199,201.5,199,201,6.5,3.34%,4.0,199,210,197,200.5,239,148,,一般,,
2018/12/11,JF1,201901  ,199.5,201,199.5,201,7.5,3.88%,3.0,199,34,196,200,214,170.5,,一般,,
2018/12/11,JF1,201903  ,-,-,-,-,-,-,0.0,202,8,-,-,184.5,155,,一般,,
2018/12/12,JF1,201812  ,203,203,203,203,4,2.01%,3.0,200.5,210,199.5,203,239,148,,一般,,
2018/12/12,JF1,201901  ,-,-,-,-,-,-,0.0,201.5,34,198.5,203.5,214,170.5,,一般,,
2018/12/12,JF1,201903  ,-,-,-,-,-,-,0.0,203.5,8,-,-,184.5,155,,一般,,
