交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JFF,201501,146,147.5,146,147.5,1.5,1.03%,136,147.5,82,146.5,147.5,173.5,128.5,,
2015/1/5,JFF,201502,148,148,145.5,147,2,1.38%,18,147.0,25,146.5,148,166,140,,
2015/1/5,JFF,201503,-,-,-,-,-,-,-,145.5,1,-,-,168,144,,
2015/1/5,JFF,201506,-,-,-,-,-,-,-,147.5,0,-,-,-,-,,
2015/1/5,JFF,201509,-,-,-,-,-,-,-,148.5,0,-,-,-,-,,
2015/1/6,JFF,201501,146.5,147,144.5,145.5,-2,-1.36%,42,145.5,72,144,146,173.5,128.5,,
2015/1/6,JFF,201502,145.5,146.5,144.5,144.5,-2.5,-1.70%,27,144.5,33,143.5,145.5,166,140,,
2015/1/6,JFF,201503,146,146,146,146,0.5,0.34%,1,146.0,0,-,-,168,144,,
2015/1/6,JFF,201506,-,-,-,-,-,-,-,145.5,0,-,-,-,-,,
2015/1/6,JFF,201509,-,-,-,-,-,-,-,146.5,0,-,-,-,-,,
2015/1/7,JFF,201501,145.5,147,144.5,145,-0.5,-0.34%,20,145.0,69,143.5,145.5,173.5,128.5,,
2015/1/7,JFF,201502,144.5,144.5,144.5,144.5,0,0.00%,1,144.5,32,143,146,166,140,,
2015/1/7,JFF,201503,-,-,-,-,-,-,-,145.5,0,-,-,168,144,,
2015/1/7,JFF,201506,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/1/7,JFF,201509,-,-,-,-,-,-,-,146.0,0,-,-,-,-,,
2015/1/8,JFF,201501,145.5,152.5,145.5,149.5,4.5,3.10%,70,149.5,53,149,150.5,173.5,128.5,,
2015/1/8,JFF,201502,147,152.5,147,149.5,5,3.46%,38,149.5,48,149,150,166,140,,
2015/1/8,JFF,201503,-,-,-,-,-,-,-,150.0,0,-,-,168,144,,
2015/1/8,JFF,201506,-,-,-,-,-,-,-,149.5,0,-,-,-,-,,
2015/1/8,JFF,201509,-,-,-,-,-,-,-,150.5,0,-,-,-,-,,
2015/1/9,JFF,201501,149.5,149.5,148,148,-1.5,-1.00%,22,148.0,57,147,148,173.5,128.5,,
2015/1/9,JFF,201502,149,149,148,148,-1.5,-1.00%,6,148.0,43,146.5,148.5,166,140,,
2015/1/9,JFF,201503,-,-,-,-,-,-,-,148.5,0,-,-,168,144,,
2015/1/9,JFF,201506,-,-,-,-,-,-,-,148.0,0,-,-,-,-,,
2015/1/9,JFF,201509,-,-,-,-,-,-,-,149.0,0,-,-,-,-,,
2015/1/12,JFF,201501,148,148,145,145,-3,-2.03%,24,145.0,58,144.5,145.5,173.5,128.5,,
2015/1/12,JFF,201502,147,147,146,146,-2,-1.35%,11,146.0,43,144,146,166,140,,
2015/1/12,JFF,201503,-,-,-,-,-,-,-,145.5,0,-,150,168,144,,
2015/1/12,JFF,201506,-,-,-,-,-,-,-,145.0,0,-,-,-,-,,
2015/1/12,JFF,201509,-,-,-,-,-,-,-,146.0,0,-,-,-,-,,
2015/1/13,JFF,201501,145,150.5,145,147,2,1.38%,51,147.0,54,146.5,148,173.5,128.5,,
2015/1/13,JFF,201502,148,149.5,147.5,147.5,1.5,1.03%,20,147.5,50,146,148,166,140,,
2015/1/13,JFF,201503,-,-,-,-,-,-,-,147.5,0,-,155,168,144,,
2015/1/13,JFF,201506,-,-,-,-,-,-,-,147.0,0,-,-,-,-,,
2015/1/13,JFF,201509,-,-,-,-,-,-,-,148.0,0,-,-,-,-,,
2015/1/14,JFF,201501,148,148,146,146,-1,-0.68%,16,146.0,61,145,146.5,173.5,128.5,,
2015/1/14,JFF,201502,148,148,146,146,-1.5,-1.02%,11,146.0,54,145.5,146.5,166,140,,
2015/1/14,JFF,201503,-,-,-,-,-,-,-,146.5,0,-,147.5,168,144,,
