交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JGF,201501,20.8,20.9,20.55,20.6,-0.3,-1.44%,42,20.6,142,20.45,20.85,21.8,16.95,,
2015/1/5,JGF,201502,20.75,20.75,20.6,20.65,-0.2,-0.96%,29,20.65,83,20.3,21.1,21.75,19.35,,
2015/1/5,JGF,201503,-,-,-,-,-,-,-,20.45,19,-,-,20.4,18.55,,
2015/1/5,JGF,201506,-,-,-,-,-,-,-,20.6,1,-,-,19.2,18.7,,
2015/1/5,JGF,201509,-,-,-,-,-,-,-,20.9,0,-,-,-,-,,
2015/1/6,JGF,201501,20,20,19.3,19.4,-1.2,-5.83%,46,19.4,148,19.25,19.8,21.8,16.95,,
2015/1/6,JGF,201502,20.45,20.45,19.45,19.45,-1.2,-5.81%,27,19.45,92,-,20.35,21.75,19.35,,
2015/1/6,JGF,201503,-,-,-,-,-,-,-,19.25,19,-,-,20.4,18.55,,
2015/1/6,JGF,201506,-,-,-,-,-,-,-,19.4,1,-,-,19.2,18.7,,
2015/1/6,JGF,201509,-,-,-,-,-,-,-,19.7,0,-,-,-,-,,
2015/1/7,JGF,201501,19.7,19.7,19.4,19.6,0.2,1.03%,50,19.6,136,19.5,19.8,21.8,16.95,,
2015/1/7,JGF,201502,19.8,19.8,19.55,19.7,0.25,1.29%,17,19.7,100,19.5,19.8,21.75,19.35,,
2015/1/7,JGF,201503,-,-,-,-,-,-,-,19.45,19,-,-,20.4,18.55,,
2015/1/7,JGF,201506,-,-,-,-,-,-,-,19.6,1,-,-,19.2,18.7,,
2015/1/7,JGF,201509,-,-,-,-,-,-,-,19.9,0,-,-,-,-,,
2015/1/8,JGF,201501,19.7,19.75,19.4,19.75,0.15,0.77%,56,19.75,123,19.7,20.7,21.8,16.95,,
2015/1/8,JGF,201502,19.7,19.8,19.35,19.8,0.1,0.51%,50,19.8,109,19.55,20.75,21.75,19.35,,
2015/1/8,JGF,201503,-,-,-,-,-,-,-,19.6,19,-,-,20.4,18.55,,
2015/1/8,JGF,201506,-,-,-,-,-,-,-,19.75,1,-,-,19.2,18.7,,
2015/1/8,JGF,201509,-,-,-,-,-,-,-,20.05,0,-,-,-,-,,
2015/1/9,JGF,201501,19.75,19.8,19.55,19.6,-0.15,-0.76%,37,19.6,131,19.35,20.7,21.8,16.95,,
2015/1/9,JGF,201502,19.7,19.75,19.6,19.65,-0.15,-0.76%,20,19.65,108,19.35,20.05,21.75,19.35,,
2015/1/9,JGF,201503,-,-,-,-,-,-,-,19.45,19,-,-,20.4,18.55,,
2015/1/9,JGF,201506,-,-,-,-,-,-,-,19.6,1,-,-,19.2,18.7,,
2015/1/9,JGF,201509,-,-,-,-,-,-,-,19.9,0,-,-,-,-,,
2015/1/12,JGF,201501,19.4,19.55,19.25,19.25,-0.35,-1.79%,26,19.25,128,19.2,19.5,21.8,16.95,,
2015/1/12,JGF,201502,19.3,19.3,19.3,19.3,-0.35,-1.78%,5,19.3,108,-,20.05,21.75,19.3,,
2015/1/12,JGF,201503,-,-,-,-,-,-,-,19.1,19,-,-,20.4,18.55,,
2015/1/12,JGF,201506,-,-,-,-,-,-,-,19.25,1,-,-,19.2,18.7,,
2015/1/12,JGF,201509,-,-,-,-,-,-,-,19.55,0,-,-,-,-,,
2015/1/13,JGF,201501,19.3,19.45,19.25,19.3,0.05,0.26%,29,19.3,139,19.15,19.65,21.8,16.95,,
2015/1/13,JGF,201502,-,-,-,-,-,-,-,19.35,108,19.15,19.95,21.75,19.3,,
2015/1/13,JGF,201503,-,-,-,-,-,-,-,19.15,19,-,-,20.4,18.55,,
2015/1/13,JGF,201506,-,-,-,-,-,-,-,19.3,1,-,-,19.2,18.7,,
2015/1/13,JGF,201509,-,-,-,-,-,-,-,19.6,0,-,-,-,-,,
2015/1/14,JGF,201501,19.5,19.5,19.4,19.4,0.1,0.52%,21,19.4,149,19.05,19.75,21.8,16.95,,
2015/1/14,JGF,201502,19.4,19.45,19.4,19.4,0.05,0.26%,18,19.4,116,19.05,19.95,21.75,19.3,,
2015/1/14,JGF,201503,-,-,-,-,-,-,-,19.25,19,-,-,20.4,18.55,,
2015/1/14,JGF,201506,-,-,-,-,-,-,-,19.4,1,-,-,19.2,18.7,,
2015/1/14,JGF,201509,-,-,-,-,-,-,-,19.7,0,-,-,-,-,,
2015/1/15,JGF,201501,19.35,19.5,19.35,19.5,0.1,0.52%,10,19.5,149,19.25,19.6,21.8,16.95,,
2015/1/15,JGF,201502,19.5,19.5,19.4,19.45,0.05,0.26%,20,19.45,116,19.25,19.95,21.75,19.3,,
2015/1/15,JGF,201503,-,-,-,-,-,-,-,19.35,19,-,-,20.4,18.55,,
2015/1/15,JGF,201506,-,-,-,-,-,-,-,19.5,1,-,-,19.2,18.7,,
2015/1/15,JGF,201509,-,-,-,-,-,-,-,19.8,0,-,-,-,-,,
2015/1/16,JGF,201501,18.95,19,18.45,18.55,-0.95,-4.87%,83,18.55,140,18.3,18.65,21.8,16.95,,
2015/1/16,JGF,201502,19.3,19.35,18.5,18.5,-0.95,-4.88%,110,18.5,128,18.35,18.75,21.75,18.5,,
2015/1/16,JGF,201503,-,-,-,-,-,-,-,18.4,19,-,-,20.4,18.55,,
2015/1/16,JGF,201506,-,-,-,-,-,-,-,18.55,1,-,-,19.2,18.7,,
2015/1/16,JGF,201509,-,-,-,-,-,-,-,18.85,0,-,-,-,-,,
2015/1/19,JGF,201501,18.9,18.9,18.6,18.6,0.05,0.27%,44,18.6,115,18.5,18.8,21.8,16.95,,
2015/1/19,JGF,201502,18.75,18.75,18.6,18.6,0.1,0.54%,30,18.6,135,18.5,18.7,21.75,18.5,,
2015/1/19,JGF,201503,-,-,-,-,-,-,-,18.45,19,-,-,20.4,18.55,,
2015/1/19,JGF,201506,-,-,-,-,-,-,-,18.6,1,-,-,19.2,18.7,,
2015/1/19,JGF,201509,-,-,-,-,-,-,-,18.9,0,-,-,-,-,,
2015/1/20,JGF,201501,18.7,19.25,18.65,19.2,0.6,3.23%,23,19.2,117,19.2,19.55,21.8,16.95,,
2015/1/20,JGF,201502,18.7,19.3,18.7,19.2,0.6,3.23%,43,19.2,142,18.1,19.85,21.75,18.5,,
2015/1/20,JGF,201503,-,-,-,-,-,-,-,19.05,19,-,-,20.4,18.55,,
2015/1/20,JGF,201506,-,-,-,-,-,-,-,19.2,1,-,-,19.2,18.7,,
2015/1/20,JGF,201509,-,-,-,-,-,-,-,19.5,0,-,-,-,-,,
2015/1/21,JGF,201501,19.2,19.2,18.95,18.95,-0.25,-1.30%,32,0.0,114,-,-,21.8,16.95,,
2015/1/21,JGF,201502,19.1,19.1,18.9,18.95,-0.25,-1.30%,35,18.95,154,18.7,18.95,21.75,18.5,,
