交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/09/01,JM1,202209  ,363.5,363.5,345,346,-18,-4.95%,40.0,346,364,345.5,346.5,438.5,320.5,,一般,,
2022/09/01,JM1,202210  ,-,-,-,-,-,-,0.0,345,98,344,346,434,393,,一般,,
2022/09/02,JM1,202209  ,350.5,377,345,374,28,8.09%,101.0,375,322,375,376.5,438.5,320.5,,一般,,
2022/09/02,JM1,202210  ,364,375,364,375,30,8.70%,11.0,376.5,92,373,376,434,364,,一般,,
2022/09/05,JM1,202209  ,379.5,387,374,378.5,3.5,0.93%,67.0,378.5,302,375.5,379.5,438.5,320.5,,一般,,
2022/09/05,JM1,202210  ,380,385,377.5,377.5,1,0.27%,9.0,377.5,95,373.5,378,434,364,,一般,,
2022/09/06,JM1,202209  ,382,382,375.5,377.5,-1,-0.26%,15.0,374,299,371,377.5,438.5,320.5,,一般,,
2022/09/06,JM1,202210  ,378,378,374,375.5,-2,-0.53%,9.0,375.5,95,369,376.5,434,364,,一般,,
2022/09/07,JM1,202209  ,371,375.5,365,375,1,0.27%,16.0,375,288,371.5,375.5,438.5,320.5,,一般,,
2022/09/07,JM1,202210  ,375.5,-,-,375.5,0,0.00%,3.0,374.5,92,369.5,374.5,434,364,,一般,,
2022/09/08,JM1,202209  ,377,389,375.5,383,8,2.13%,33.0,385,276,384.5,387,438.5,320.5,,一般,,
2022/09/08,JM1,202210  ,378,381,378,381,6.5,1.74%,2.0,384,93,382.5,385,434,364,,一般,,
2022/09/12,JM1,202209  ,391.5,393,390.5,392,7,1.82%,6.0,392,273,387.5,391.5,438.5,320.5,,一般,,
2022/09/12,JM1,202210  ,391,391,391,391,7,1.82%,1.0,392,93,385,390,434,364,,一般,,
2022/09/13,JM1,202209  ,392,392,387,387,-5,-1.28%,3.0,390,273,388.5,392,438.5,320.5,,一般,,
2022/09/13,JM1,202210  ,-,-,-,-,-,-,0.0,390.5,93,386,390.5,434,364,,一般,,
2022/09/14,JM1,202209  ,378,396,378,392,2,0.51%,12.0,394,269,390.5,393.5,438.5,320.5,,一般,,
2022/09/14,JM1,202210  ,392,392,391.5,391.5,1,0.26%,2.0,394.5,93,388.5,392,434,364,,一般,,
2022/09/15,JM1,202209  ,394,413,394,404.5,10.5,2.66%,44.0,404.5,249,400.5,403.5,438.5,320.5,,一般,,
2022/09/15,JM1,202210  ,392.5,399,392.5,399,4.5,1.14%,10.0,401.5,89,397.5,402,434,364,,一般,,
2022/09/16,JM1,202209  ,396,396,391,392,-12.5,-3.09%,8.0,392,247,391,394,438.5,320.5,,一般,,
2022/09/16,JM1,202210  ,-,-,-,-,-,-,0.0,390,89,388.5,392,434,364,,一般,,
2022/09/19,JM1,202209  ,391.5,394.5,388.5,388.5,-3.5,-0.89%,9.0,388,245,387.5,388,438.5,320.5,,一般,,
2022/09/19,JM1,202210  ,390,-,-,390,0,0.00%,4.0,385.5,93,385,386,434,364,,一般,,
2022/09/20,JM1,202209  ,387.5,387.5,385.5,386,-2,-0.52%,16.0,384.5,244,384,387,438.5,320.5,,一般,,
2022/09/20,JM1,202210  ,383,383,383,383,-2.5,-0.65%,6.0,383.5,98,372,385,434,364,,一般,,
2022/09/21,JM1,202209  ,385,385,376,376.5,-8,-2.08%,43.0,0,219,376.5,377,438.5,320.5,,一般,,
2022/09/21,JM1,202210  ,374.5,374.5,374.5,374.5,-9,-2.35%,12.0,379.5,99,374,397,434,364,,一般,,
2022/09/22,JM1,202210  ,-,-,-,-,-,-,0.0,390,99,388.5,389.5,434,364,,一般,,
2022/09/23,JM1,202210  ,390,390,390,390,0,0.00%,1.0,382.5,100,380,384,434,364,,一般,,
2022/09/26,JM1,202210  ,-,-,-,-,-,-,0.0,370,100,365,-,434,364,,一般,,
2022/09/27,JM1,202210  ,366,366,366,366,-4,-1.08%,1.0,372,100,367,-,434,364,,一般,,
2022/09/28,JM1,202210  ,363,363,356,356,-16,-4.30%,2.0,357,99,354.5,362,434,356,,一般,,
2022/09/29,JM1,202210  ,-,-,-,-,-,-,0.0,367,99,364,370,434,356,,一般,,
2022/09/30,JM1,202210  ,-,-,-,-,-,-,0.0,377.5,99,374.5,380,434,356,,一般,,
2022/09/02,JM1,202209/202210    ,-,-,-,-,-,-,0.0,-,-,-1.99,-0.99,-0.84,-1.49,,一般,9.0,
2022/09/05,JM1,202209/202210    ,-1.51,-1.51,-1.51,-1.51,-,-,5.0,-,-,-1.79,-1.51,-0.84,-1.51,,一般,3.0,
2022/09/06,JM1,202209/202210    ,-,-,-,-,-,-,0.0,-,-,-1.69,-1.49,-0.84,-1.51,,一般,6.0,
2022/09/07,JM1,202209/202210    ,-1.51,-1.51,-1.51,-1.51,-,-,3.0,-,-,-1.94,-1.49,-0.84,-1.51,,一般,0.0,
2022/09/08,JM1,202209/202210    ,-,-,-,-,-,-,0.0,-,-,-1.99,-1.51,-0.84,-1.51,,一般,2.0,
2022/09/12,JM1,202209/202210    ,-,-,-,-,-,-,0.0,-,-,-2.01,-1.53,-0.84,-1.51,,一般,1.0,
2022/09/14,JM1,202209/202210    ,-,-,-,-,-,-,0.0,-,-,-1.99,-1.51,-0.84,-1.51,,一般,1.0,
2022/09/15,JM1,202209/202210    ,-1.92,-1.92,-1.99,-1.99,-,-,5.0,-,-,-2.99,-1.94,-0.84,-1.99,,一般,4.0,
2022/09/19,JM1,202209/202210    ,-2.49,-2.49,-2.49,-2.49,-,-,4.0,-,-,-2.49,-2.03,-0.84,-2.49,,一般,0.0,
2022/09/20,JM1,202209/202210    ,-2.4,-2.4,-2.4,-2.4,-,-,5.0,-,-,-,-2.4,-0.84,-2.49,,一般,1.0,
2022/09/21,JM1,202209/202210    ,-2.75,-2.55,-2.9,-2.55,-,-,11.0,-,-,-,-,-0.84,-2.9,,一般,1.0,
2022/10/03,JM1,202210  ,-,-,-,-,-,-,0.0,379,99,375,381,434,356,,一般,,
2022/10/04,JM1,202210  ,-,-,-,-,-,-,0.0,390,99,386,392.5,434,356,,一般,,
2022/10/05,JM1,202210  ,-,-,-,-,-,-,0.0,402.5,99,400,404.5,434,356,,一般,,
2022/10/06,JM1,202210  ,404,409,404,409,6.5,1.61%,3.0,410.5,98,408,412,434,356,,一般,,
2022/10/07,JM1,202210  ,-,-,-,-,-,-,0.0,415,98,-,-,434,356,,一般,,
2022/10/11,JM1,202210  ,-,-,-,-,-,-,0.0,403,98,-,-,434,356,,一般,,
2022/10/12,JM1,202210  ,378.5,391,378.5,391,-12,-2.98%,2.0,391,97,379,396,434,356,,一般,,
2022/10/13,JM1,202210  ,398.5,398.5,398.5,398.5,7.5,1.92%,2.0,372.5,97,354,425.5,434,356,,一般,,
2022/10/14,JM1,202210  ,391,391,391,391,18.5,4.97%,2.0,382,95,336,398,434,356,,一般,,
2022/10/17,JM1,202210  ,379.5,379.5,364.5,370,-12,-3.14%,5.0,371,95,347,376.5,434,356,,一般,,
2022/10/18,JM1,202210  ,-,-,-,-,-,-,0.0,368,95,335,399,434,356,,一般,,
2022/10/19,JM1,202210  ,366.5,366.5,365.5,365.5,-2.5,-0.68%,18.0,0,93,364.5,365,434,356,,一般,,
