交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JNF,201501,188.5,195.5,183.5,195.5,5,2.62%,2253,195.5,1338,195,196,230,183.5,,
2015/1/5,JNF,201502,187,195.5,183.5,195,5,2.63%,179,195.0,248,195,196,220,183.5,,
2015/1/5,JNF,201503,195,195,195,195,4,2.09%,1,195.0,22,194,196.5,273,178,,
2015/1/5,JNF,201506,-,-,-,-,-,-,-,195.5,1,-,197,195,146,,
2015/1/5,JNF,201509,-,-,-,-,-,-,-,195.5,2,-,197,162,148,,
2015/1/6,JNF,201501,193,195,190.5,191.5,-4,-2.05%,1135,191.5,1451,191,191.5,230,183.5,,
2015/1/6,JNF,201502,192.5,194.5,190.5,191,-4,-2.05%,130,191.0,269,190.5,191.5,220,183.5,,
2015/1/6,JNF,201503,191.5,192,191.5,192,-3,-1.54%,2,192.0,22,189.5,192,273,178,,
2015/1/6,JNF,201506,-,-,-,-,-,-,-,191.5,1,-,192.5,195,146,,
2015/1/6,JNF,201509,-,-,-,-,-,-,-,191.5,2,-,192.5,162,148,,
2015/1/7,JNF,201501,191,204.5,187,204,12.5,6.53%,3079,204.0,1579,203.5,204,230,183.5,,
2015/1/7,JNF,201502,191,204,187,204,13,6.81%,266,204.0,306,203,204,220,183.5,,
2015/1/7,JNF,201503,190.5,202.5,187.5,202.5,10.5,5.47%,5,202.5,23,202,204.5,273,178,,
2015/1/7,JNF,201506,-,-,-,-,-,-,-,204.0,1,201,-,195,146,,
2015/1/7,JNF,201509,-,-,-,-,-,-,-,204.0,2,200,-,162,148,,
2015/1/8,JNF,201501,206,215,206,211.5,7.5,3.68%,2724,211.5,1688,211.5,212,230,183.5,,
2015/1/8,JNF,201502,205.5,214.5,205.5,211,7,3.43%,485,211.0,453,211,211.5,220,183.5,,
2015/1/8,JNF,201503,212,212,212,212,9.5,4.69%,1,212.0,23,210,212.5,273,178,,
2015/1/8,JNF,201506,-,-,-,-,-,-,-,211.5,1,209,212,195,146,,
2015/1/8,JNF,201509,-,-,-,-,-,-,-,211.5,2,208,212.5,162,148,,
2015/1/9,JNF,201501,213.5,215.5,209.5,211.5,0,0.00%,1330,211.5,1712,211.5,212,230,183.5,,
2015/1/9,JNF,201502,213,215,209,211,0,0.00%,129,211.0,494,211,212,220,183.5,,
2015/1/9,JNF,201503,-,-,-,-,-,-,-,212.0,23,210,212.5,273,178,,
2015/1/9,JNF,201506,-,-,-,-,-,-,-,211.5,1,209,213,195,146,,
2015/1/9,JNF,201509,-,-,-,-,-,-,-,211.5,2,208,213,162,148,,
2015/1/12,JNF,201501,210,212.5,208,211.5,0,0.00%,1504,212.0,1974,211.5,212,230,183.5,,
2015/1/12,JNF,201502,210.5,212.5,208,211.5,0.5,0.24%,380,211.5,547,211,212,220,183.5,,
2015/1/12,JNF,201503,-,-,-,-,-,-,-,212.5,23,210,212.5,273,178,,
2015/1/12,JNF,201506,-,-,-,-,-,-,-,212.0,1,209,212.5,195,146,,
2015/1/12,JNF,201509,-,-,-,-,-,-,-,212.0,2,208,213,162,148,,
2015/1/13,JNF,201501,211.5,211.5,207,209.5,-2.5,-1.18%,1335,209.5,1986,209,209.5,230,183.5,,
2015/1/13,JNF,201502,210.5,211,207,209,-2.5,-1.18%,230,209.0,646,208.5,209,220,183.5,,
2015/1/13,JNF,201503,-,-,-,-,-,-,-,209.0,23,207.5,210,273,178,,
2015/1/13,JNF,201506,208,208,208,208,-4,-1.89%,1,208.0,2,206.5,209.5,208,146,,
2015/1/13,JNF,201509,-,-,-,-,-,-,-,209.5,2,205.5,210,162,148,,
2015/1/14,JNF,201501,209.5,213.5,206,207,-2.5,-1.19%,2255,207.0,1410,206.5,207.5,230,183.5,,
2015/1/14,JNF,201502,208.5,213,206,207,-2,-0.96%,565,207.0,760,206.5,207,220,183.5,,
2015/1/14,JNF,201503,209,-,-,209,0,0.00%,3,206.5,26,205.5,208,273,178,,
2015/1/14,JNF,201506,-,-,-,-,-,-,-,205.5,2,204.5,207.5,208,146,,
2015/1/14,JNF,201509,-,-,-,-,-,-,-,207.0,2,203.5,208,162,148,,
2015/1/15,JNF,201501,208,209.5,197.5,200.5,-6.5,-3.14%,2582,200.5,1412,200,200.5,230,183.5,,
2015/1/15,JNF,201502,207,209.5,197.5,200,-7,-3.38%,654,200.0,822,199.5,200.5,220,183.5,,
2015/1/15,JNF,201503,-,-,-,-,-,-,-,200.0,26,198,201,273,178,,
2015/1/15,JNF,201506,205.5,205.5,204,204,-1.5,-0.73%,3,199.0,5,198,200,208,146,,
2015/1/15,JNF,201509,-,-,-,-,-,-,-,200.5,2,196,200.5,162,148,,
2015/1/16,JNF,201501,200,202.5,192.5,192.5,-8,-3.99%,1654,192.5,1124,192.5,193,230,183.5,,
2015/1/16,JNF,201502,199,202.5,192,192,-8,-4.00%,449,192.0,878,192.5,193,220,183.5,,
2015/1/16,JNF,201503,-,-,-,-,-,-,-,192.0,26,191.5,193.5,273,178,,
2015/1/16,JNF,201506,-,-,-,-,-,-,-,192.5,5,191.5,193.5,208,146,,
2015/1/16,JNF,201509,195,195,195,195,-5.5,-2.74%,1,192.5,3,192,193,195,148,,
2015/1/19,JNF,201501,194,196.5,190.5,193,0.5,0.26%,1041,192.5,981,192.5,193,230,183.5,,
2015/1/19,JNF,201502,194,196,190.5,192.5,0.5,0.26%,448,192.5,952,192,193,220,183.5,,
2015/1/19,JNF,201503,-,-,-,-,-,-,-,192.0,26,191,193.5,273,178,,
2015/1/19,JNF,201506,193,193,193,193,0.5,0.26%,1,193.0,6,190,193.5,208,146,,
2015/1/19,JNF,201509,-,-,-,-,-,-,-,192.5,3,189,194,195,148,,
2015/1/20,JNF,201501,193.5,204.5,193.5,204,11.5,5.97%,1618,204.0,759,204,204.5,230,183.5,,
2015/1/20,JNF,201502,194,204.5,194,204,11.5,5.97%,750,204.0,1129,203.5,204,220,183.5,,
2015/1/20,JNF,201503,197.5,203,197.5,203,11,5.73%,3,203.0,26,202.5,204,273,178,,
2015/1/20,JNF,201506,-,-,-,-,-,-,-,204.5,6,201.5,204.5,208,146,,
2015/1/20,JNF,201509,-,-,-,-,-,-,-,204.0,3,200.5,205,195,148,,
2015/1/21,JNF,201501,205,210,203,207.5,3.5,1.72%,954,0.0,498,207.5,208,230,183.5,,
2015/1/21,JNF,201502,205.5,209.5,203,205.5,1.5,0.74%,1582,205.5,1285,205.5,206,220,183.5,,
2015/1/21,JNF,201503,-,-,-,-,-,-,-,205.0,26,204.5,205,273,178,,
2015/1/21,JNF,201506,-,-,-,-,-,-,-,204.5,6,203.5,205.5,208,146,,
2015/1/21,JNF,201509,-,-,-,-,-,-,-,204.5,3,202.5,206,195,148,,
2015/1/22,JNF,201502,207,218.5,207,217,11.5,5.60%,2645,217.0,1571,216.5,217.5,220,183.5,,
2015/1/22,JNF,201503,207.5,218,207.5,216.5,11.5,5.61%,154,216.5,81,216.5,217,273,178,,
2015/1/22,JNF,201506,-,-,-,-,-,-,-,216.0,6,214.5,218,208,146,,
2015/1/22,JNF,201509,214,214,214,214,9.5,4.65%,1,215.5,2,213.5,217.5,214,148,,
2015/1/22,JNF,201512,-,-,-,-,-,-,-,218.5,0,-,-,-,-,,
2015/1/23,JNF,201502,219.5,221.5,215,216.5,-0.5,-0.23%,1397,216.5,1511,216,216.5,221.5,183.5,,
2015/1/23,JNF,201503,220,220,215,216.5,0,0.00%,75,216.5,86,215.5,216.5,273,178,,
2015/1/23,JNF,201506,-,-,-,-,-,-,-,215.5,6,214,217,208,146,,
2015/1/23,JNF,201509,-,-,-,-,-,-,-,215.5,2,213,217.5,214,148,,
2015/1/23,JNF,201512,-,-,-,-,-,-,-,218.0,0,-,-,-,-,,
2015/1/26,JNF,201502,215,222.5,214,216.5,0,0.00%,2292,216.5,1360,216,217,222.5,183.5,,
2015/1/26,JNF,201503,217,222,214,216,-0.5,-0.23%,300,216.0,193,215.5,216.5,273,178,,
2015/1/26,JNF,201506,-,-,-,-,-,-,-,215.5,6,214,217.5,208,146,,
2015/1/26,JNF,201509,-,-,-,-,-,-,-,215.5,2,213,218,214,148,,
2015/1/26,JNF,201512,-,-,-,-,-,-,-,218.0,0,-,-,-,-,,
2015/1/27,JNF,201502,218,222.5,216,222,5.5,2.54%,1940,222.0,1382,222,222.5,222.5,183.5,,
2015/1/27,JNF,201503,218.5,221.5,216,221.5,5.5,2.55%,96,221.5,212,221.5,222,273,178,,
