交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JTF,201501,-,-,-,-,-,-,-,91.8,7,91.3,92.8,88,87.9,,
2015/1/5,JTF,201502,-,-,-,-,-,-,-,91.9,0,90.7,92.2,-,-,,
2015/1/5,JTF,201503,-,-,-,-,-,-,-,92.3,0,-,-,-,-,,
2015/1/5,JTF,201506,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/1/5,JTF,201509,-,-,-,-,-,-,-,93.1,0,-,-,-,-,,
2015/1/6,JTF,201501,-,-,-,-,-,-,-,91.0,7,90,91,88,87.9,,
2015/1/6,JTF,201502,-,-,-,-,-,-,-,91.1,0,90,91,-,-,,
2015/1/6,JTF,201503,-,-,-,-,-,-,-,91.5,0,-,-,-,-,,
2015/1/6,JTF,201506,-,-,-,-,-,-,-,91.0,0,-,-,-,-,,
2015/1/6,JTF,201509,-,-,-,-,-,-,-,92.3,0,-,-,-,-,,
2015/1/7,JTF,201501,-,-,-,-,-,-,-,91.0,7,90,91.5,88,87.9,,
2015/1/7,JTF,201502,-,-,-,-,-,-,-,91.1,0,90.1,90.9,-,-,,
2015/1/7,JTF,201503,-,-,-,-,-,-,-,91.5,0,-,-,-,-,,
2015/1/7,JTF,201506,-,-,-,-,-,-,-,91.0,0,-,-,-,-,,
2015/1/7,JTF,201509,-,-,-,-,-,-,-,92.3,0,-,-,-,-,,
2015/1/8,JTF,201501,-,-,-,-,-,-,-,92.5,7,92.1,93.1,88,87.9,,
2015/1/8,JTF,201502,-,-,-,-,-,-,-,92.6,0,91.5,93.1,-,-,,
2015/1/8,JTF,201503,-,-,-,-,-,-,-,93.0,0,-,-,-,-,,
2015/1/8,JTF,201506,-,-,-,-,-,-,-,92.5,0,-,-,-,-,,
2015/1/8,JTF,201509,-,-,-,-,-,-,-,93.8,0,-,-,-,-,,
2015/1/9,JTF,201501,-,-,-,-,-,-,-,92.0,7,91.6,92.4,88,87.9,,
2015/1/9,JTF,201502,-,-,-,-,-,-,-,92.1,0,91.6,92.4,-,-,,
2015/1/9,JTF,201503,-,-,-,-,-,-,-,92.5,0,-,-,-,-,,
2015/1/9,JTF,201506,-,-,-,-,-,-,-,92.0,0,-,-,-,-,,
2015/1/9,JTF,201509,-,-,-,-,-,-,-,93.3,0,-,-,-,-,,
2015/1/12,JTF,201501,-,-,-,-,-,-,-,90.9,7,90.3,91.3,88,87.9,,
2015/1/12,JTF,201502,-,-,-,-,-,-,-,91.0,0,90.3,91.3,-,-,,
2015/1/12,JTF,201503,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/12,JTF,201506,-,-,-,-,-,-,-,90.9,0,-,-,-,-,,
2015/1/12,JTF,201509,-,-,-,-,-,-,-,92.2,0,-,-,-,-,,
2015/1/13,JTF,201501,-,-,-,-,-,-,-,91.3,7,90.8,91.7,88,87.9,,
2015/1/13,JTF,201502,-,-,-,-,-,-,-,90.9,0,90.1,91.7,-,-,,
2015/1/13,JTF,201503,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/1/13,JTF,201506,-,-,-,-,-,-,-,91.3,0,-,-,-,-,,
2015/1/13,JTF,201509,-,-,-,-,-,-,-,92.6,0,-,-,-,-,,
2015/1/14,JTF,201501,-,-,-,-,-,-,-,91.3,7,89.9,90.9,88,87.9,,
2015/1/14,JTF,201502,-,-,-,-,-,-,-,90.9,0,90.1,91.5,-,-,,
2015/1/14,JTF,201503,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/1/14,JTF,201506,-,-,-,-,-,-,-,91.3,0,-,-,-,-,,
2015/1/14,JTF,201509,-,-,-,-,-,-,-,92.6,0,-,-,-,-,,
2015/1/15,JTF,201501,90.1,90.1,90.1,90.1,-1.2,-1.31%,1,90.1,6,89.5,90.9,90.1,87.9,,
2015/1/15,JTF,201502,90.2,90.2,90.2,90.2,-0.7,-0.77%,1,90.2,1,90.1,91.5,90.2,90.2,,
2015/1/15,JTF,201503,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/15,JTF,201506,-,-,-,-,-,-,-,90.1,0,-,-,-,-,,
2015/1/15,JTF,201509,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/16,JTF,201501,-,-,-,-,-,-,-,90.1,6,89.6,90.6,90.1,87.9,,
2015/1/16,JTF,201502,-,-,-,-,-,-,-,90.2,1,89.7,91.7,90.2,90.2,,
2015/1/16,JTF,201503,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/16,JTF,201506,-,-,-,-,-,-,-,90.1,0,-,-,-,-,,
2015/1/16,JTF,201509,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/19,JTF,201501,-,-,-,-,-,-,-,91.3,6,91.2,92.2,90.1,87.9,,
2015/1/19,JTF,201502,-,-,-,-,-,-,-,91.4,1,91.3,92.4,90.2,90.2,,
2015/1/19,JTF,201503,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/1/19,JTF,201506,-,-,-,-,-,-,-,91.3,0,-,-,-,-,,
2015/1/19,JTF,201509,-,-,-,-,-,-,-,92.6,0,-,-,-,-,,
2015/1/20,JTF,201501,-,-,-,-,-,-,-,91.7,6,91.4,92.3,90.1,87.9,,
2015/1/20,JTF,201502,-,-,-,-,-,-,-,91.8,1,90.6,92.4,90.2,90.2,,
2015/1/20,JTF,201503,-,-,-,-,-,-,-,92.2,0,-,-,-,-,,
2015/1/20,JTF,201506,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/20,JTF,201509,-,-,-,-,-,-,-,93.0,0,-,-,-,-,,
2015/1/21,JTF,201501,-,-,-,-,-,-,-,0.0,6,-,-,90.1,87.9,,
2015/1/21,JTF,201502,91.3,91.3,91.3,91.3,-0.5,-0.54%,1,91.3,2,90.7,91.6,91.3,90.2,,
