交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,JZF,201501,32.05,32.55,32.05,32.55,0.4,1.24%,12,32.55,128,32.3,32.7,34.4,30.25,,
2015/1/5,JZF,201502,32.35,32.55,32.35,32.5,0.3,0.93%,6,32.5,36,32.35,32.75,32.7,30.45,,
2015/1/5,JZF,201503,-,-,-,-,-,-,-,31.95,218,-,-,-,-,,
2015/1/5,JZF,201506,-,-,-,-,-,-,-,31.95,0,-,-,-,-,,
2015/1/5,JZF,201509,-,-,-,-,-,-,-,32.35,0,-,-,-,-,,
2015/1/6,JZF,201501,32.15,33.5,32.15,33.45,0.9,2.76%,91,33.45,114,33.45,33.75,34.4,30.25,,
2015/1/6,JZF,201502,32.2,33.35,32.2,33.25,0.75,2.31%,38,33.25,45,33.4,33.75,33.35,30.45,,
2015/1/6,JZF,201503,-,-,-,-,-,-,-,32.85,218,-,-,-,-,,
2015/1/6,JZF,201506,-,-,-,-,-,-,-,32.85,0,-,-,-,-,,
2015/1/6,JZF,201509,-,-,-,-,-,-,-,33.25,0,-,-,-,-,,
2015/1/7,JZF,201501,33.5,33.8,33.1,33.2,-0.25,-0.75%,91,33.2,129,33.05,33.35,34.4,30.25,,
2015/1/7,JZF,201502,33.6,33.7,33.25,33.3,0.05,0.15%,12,33.3,49,33,33.3,33.7,30.45,,
2015/1/7,JZF,201503,-,-,-,-,-,-,-,32.6,218,-,-,-,-,,
2015/1/7,JZF,201506,-,-,-,-,-,-,-,32.6,0,-,-,-,-,,
2015/1/7,JZF,201509,-,-,-,-,-,-,-,33.0,0,-,-,-,-,,
2015/1/8,JZF,201501,33.55,33.7,33,33,-0.2,-0.60%,23,33.0,132,33.2,33.25,34.4,30.25,,
2015/1/8,JZF,201502,33.6,33.6,33.45,33.45,0.15,0.45%,10,33.45,45,33.15,33.3,33.7,30.45,,
2015/1/8,JZF,201503,-,-,-,-,-,-,-,32.4,218,-,-,-,-,,
