交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,KAF,201501,101.5,102.5,101.5,102,1.5,1.49%,5,102.0,43,102,102.5,110.5,99.8,,
2015/1/5,KAF,201502,101.5,102,101.5,102,0.5,0.49%,3,102.0,14,101.5,102.5,103,100,,
2015/1/5,KAF,201503,-,-,-,-,-,-,-,101.5,0,100.5,103.5,-,-,,
2015/1/5,KAF,201506,-,-,-,-,-,-,-,101.5,0,-,103.5,-,-,,
2015/1/5,KAF,201509,-,-,-,-,-,-,-,102.0,0,-,103.5,-,-,,
2015/1/6,KAF,201501,100.5,101,100,100.5,-1.5,-1.47%,18,100.5,40,100.5,103,110.5,99.8,,
2015/1/6,KAF,201502,100.5,101,100.5,100.5,-1.5,-1.47%,7,100.5,12,100,102.5,103,100,,
2015/1/6,KAF,201503,-,-,-,-,-,-,-,100.0,0,99,103.5,-,-,,
2015/1/6,KAF,201506,-,-,-,-,-,-,-,100.0,0,-,104.5,-,-,,
2015/1/6,KAF,201509,-,-,-,-,-,-,-,100.5,0,-,104.5,-,-,,
2015/1/7,KAF,201501,100,101,99.9,100,-0.5,-0.50%,11,100.0,45,99.9,100.5,110.5,99.8,,
2015/1/7,KAF,201502,100,100.5,100,100.5,0,0.00%,7,100.5,13,100,101,103,100,,
2015/1/7,KAF,201503,-,-,-,-,-,-,-,99.5,0,99,101.5,-,-,,
2015/1/7,KAF,201506,-,-,-,-,-,-,-,99.5,0,-,101.5,-,-,,
2015/1/7,KAF,201509,-,-,-,-,-,-,-,100.0,0,-,101.5,-,-,,
2015/1/8,KAF,201501,101.5,101.5,98,98.6,-1.4,-1.40%,44,98.6,44,98.2,99.8,110.5,98,,
2015/1/8,KAF,201502,100.5,100.5,98.3,99.1,-1.4,-1.39%,10,99.1,16,98.3,99.9,103,98.3,,
2015/1/8,KAF,201503,-,-,-,-,-,-,-,98.1,0,97.3,101,-,-,,
2015/1/8,KAF,201506,-,-,-,-,-,-,-,98.1,0,-,101,-,-,,
2015/1/8,KAF,201509,-,-,-,-,-,-,-,98.6,0,-,101,-,-,,
2015/1/9,KAF,201501,100,100,98.2,98.2,-0.4,-0.41%,6,98.2,46,97.5,98.9,110.5,98,,
2015/1/9,KAF,201502,99.2,99.2,99.2,99.2,0.1,0.10%,2,98.2,18,97.4,98.9,103,98.3,,
2015/1/9,KAF,201503,-,-,-,-,-,-,-,97.7,0,96.4,99.5,-,-,,
2015/1/9,KAF,201506,-,-,-,-,-,-,-,97.7,0,-,99.9,-,-,,
2015/1/9,KAF,201509,-,-,-,-,-,-,-,98.2,0,-,99.9,-,-,,
2015/1/12,KAF,201501,99,99,99,99,0.8,0.81%,1,99.0,46,98.7,99.4,110.5,98,,
2015/1/12,KAF,201502,99.2,99.4,99,99.4,1.2,1.22%,5,99.4,18,98.6,99.4,103,98.3,,
2015/1/12,KAF,201503,-,-,-,-,-,-,-,98.5,0,97.6,100,-,-,,
2015/1/12,KAF,201506,-,-,-,-,-,-,-,98.5,0,-,100.5,-,-,,
2015/1/12,KAF,201509,-,-,-,-,-,-,-,99.0,0,-,100.5,-,-,,
2015/1/13,KAF,201501,99.9,101.5,99.6,99.6,0.6,0.61%,15,99.6,45,99.5,100,110.5,98,,
2015/1/13,KAF,201502,100.5,101,99.7,100,0.6,0.60%,5,100.0,18,99.6,100,103,98.3,,
2015/1/13,KAF,201503,-,-,-,-,-,-,-,99.1,0,98.6,101,-,-,,
2015/1/13,KAF,201506,-,-,-,-,-,-,-,99.1,0,-,101,-,-,,
2015/1/13,KAF,201509,-,-,-,-,-,-,-,99.6,0,-,101,-,-,,
2015/1/14,KAF,201501,99.4,99.4,99,99.3,-0.3,-0.30%,4,99.3,43,99.3,100,110.5,98,,
2015/1/14,KAF,201502,99.5,99.5,99.3,99.3,-0.7,-0.70%,2,99.3,20,99.1,100,103,98.3,,
2015/1/14,KAF,201503,-,-,-,-,-,-,-,98.8,0,97.1,101,-,-,,
2015/1/14,KAF,201506,-,-,-,-,-,-,-,98.8,0,-,101,-,-,,
2015/1/14,KAF,201509,-,-,-,-,-,-,-,99.3,0,-,101,-,-,,
2015/1/15,KAF,201501,99.8,101.5,99.8,101.5,2.2,2.22%,33,101.5,46,101.5,102,110.5,98,,
2015/1/15,KAF,201502,99.9,100.5,99.9,100.5,1.2,1.21%,5,100.5,21,101,101.5,103,98.3,,
2015/1/15,KAF,201503,-,-,-,-,-,-,-,101.0,0,99.5,102.5,-,-,,
2015/1/15,KAF,201506,-,-,-,-,-,-,-,101.0,0,-,103,-,-,,
2015/1/15,KAF,201509,-,-,-,-,-,-,-,101.5,0,-,103,-,-,,
2015/1/16,KAF,201501,102,102,99.9,100,-1.5,-1.48%,29,100.0,48,100,101,110.5,98,,
2015/1/16,KAF,201502,102,102,100,100.5,0,0.00%,16,100.5,23,100,100.5,103,98.3,,
2015/1/16,KAF,201503,-,-,-,-,-,-,-,99.5,0,100,101.5,-,-,,
2015/1/16,KAF,201506,-,-,-,-,-,-,-,99.5,0,-,102,-,-,,
2015/1/16,KAF,201509,-,-,-,-,-,-,-,100.0,0,-,102,-,-,,
2015/1/19,KAF,201501,99.1,99.6,95,95.8,-4.2,-4.20%,17,95.8,44,95.9,98,110.5,95,,
